sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
145	1	1	1	2	-1	0.2626	0.0500	0	1	5.666
145	1	2	1	2	-1	0.2626	0.0500	1	1	1.263
145	1	3	1	1	-1	0.2626	0.0500	1	1	0.750
145	1	4	1	2	-1	0.2626	0.0500	0	1	0.979
145	1	5	1	1	-1	0.2626	0.0500	0	1	0.765
145	1	6	1	2	-1	0.2626	0.0500	1	1	0.718
145	1	7	1	2	-1	0.2626	0.0500	1	1	0.721
145	1	8	1	1	-1	0.2626	0.0500	1	1	0.805
145	1	9	1	2	-1	0.2626	0.0500	0	1	0.781
145	1	10	1	1	-1	0.2626	0.0500	1	1	0.630
145	1	11	1	1	-1	0.2626	0.0500	0	1	0.830
145	1	12	1	2	-1	0.2626	0.0500	1	1	0.845
145	1	13	1	1	-1	0.2626	0.0500	0	1	0.667
145	1	14	1	2	-1	0.2626	0.0500	1	1	0.553
145	1	15	1	1	-1	0.2626	0.0500	1	1	0.595
145	1	16	1	2	-1	0.2626	0.0500	0	1	0.604
145	1	17	1	2	-1	0.2626	0.0500	1	1	0.622
145	1	18	1	1	-1	0.2626	0.0500	0	1	0.566
145	1	19	1	2	-1	0.2626	0.0500	0	1	0.489
145	1	20	1	1	-1	0.2626	0.0500	0	1	0.569
145	1	21	1	1	-1	0.2626	0.0500	1	1	0.714
145	1	22	1	2	-1	0.2626	0.0500	0	1	0.656
145	1	23	1	2	-1	0.2626	0.0500	1	1	0.585
145	1	24	1	1	-1	0.2626	0.0500	0	1	0.425
145	1	25	1	2	-1	0.2626	0.0500	0	1	0.827
145	1	26	1	1	-1	0.2626	0.0500	1	1	0.629
145	1	27	1	2	-1	0.2626	0.0500	1	1	0.740
145	1	28	1	1	-1	0.2626	0.0500	0	1	0.648
145	1	29	1	1	-1	0.2626	0.0500	0	1	0.679
145	1	30	1	2	-1	0.2626	0.0500	0	1	0.852
145	1	31	1	1	-1	0.2626	0.0500	1	1	0.548
145	1	32	1	1	-1	0.2626	0.0500	1	1	0.719
145	1	33	0	2	-1	0.2626	0.0500	1	1	0.962
145	1	34	0	2	-1	0.2626	0.0500	1	1	0.629
145	1	35	0	2	-1	0.2626	0.0500	0	1	1.558
145	1	36	0	2	-1	0.2626	0.0500	1	1	0.633
145	1	37	0	2	-1	0.2626	0.0500	0	1	1.129
145	1	38	0	2	-1	0.2626	0.0500	0	1	0.934
145	1	39	0	1	-1	0.2626	0.0500	0	1	1.220
145	1	40	0	1	-1	0.2626	0.0500	0	1	0.645
145	1	41	0	2	-1	0.2626	0.0500	0	1	0.507
145	1	42	0	1	-1	0.2626	0.0500	1	1	0.895
145	1	43	0	2	-1	0.2626	0.0500	1	1	0.957
145	1	44	0	1	-1	0.2626	0.0500	0	1	0.503
145	1	45	0	2	-1	0.2626	0.0500	0	1	0.659
145	1	46	0	2	-1	0.2626	0.0500	1	1	1.026
145	1	47	0	1	-1	0.2626	0.0500	0	1	1.281
145	1	48	0	1	-1	0.2626	0.0500	1	1	0.886
145	1	49	0	2	-1	0.2626	0.0500	0	0	2.406
145	1	50	0	1	-1	0.2626	0.0500	1	1	0.663
145	1	51	0	1	-1	0.2626	0.0500	1	1	0.758
145	1	52	0	1	-1	0.2626	0.0500	0	1	0.608
145	1	53	0	1	-1	0.2626	0.0500	0	1	0.575
145	1	54	0	2	-1	0.2626	0.0500	1	1	0.601
145	1	55	0	2	-1	0.2626	0.0500	0	0	0.843
145	1	56	0	1	-1	0.2626	0.0500	1	1	0.684
145	1	57	0	2	-1	0.2626	0.0500	0	1	0.810
145	1	58	0	1	-1	0.2626	0.0500	1	1	0.588
145	1	59	0	1	-1	0.2626	0.0500	0	1	0.575
145	1	60	0	2	-1	0.2626	0.0500	1	1	0.704
145	1	61	0	1	-1	0.2626	0.0500	1	1	0.743
145	1	62	0	1	-1	0.2626	0.0500	0	1	0.505
145	1	63	0	1	-1	0.2626	0.0500	1	1	0.582
145	1	64	0	2	-1	0.2626	0.0500	1	1	0.626
