sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
118	1	1	1	1	-1	0.0500	0.0909	1	1	1.646
118	1	2	1	2	-1	0.0500	0.0909	1	1	0.591
118	1	3	1	2	-1	0.0500	0.0909	0	0	0.424
118	1	4	1	2	-1	0.0500	0.0909	0	1	0.567
118	1	5	1	2	-1	0.0500	0.0909	1	1	0.593
118	1	6	1	1	-1	0.0500	0.0909	1	0	0.739
118	1	7	1	2	-1	0.0500	0.0909	1	1	0.648
118	1	8	1	1	-1	0.0500	0.0909	0	1	0.506
118	1	9	1	2	-1	0.0500	0.0909	1	1	0.815
118	1	10	1	1	-1	0.0500	0.0909	0	1	0.478
118	1	11	1	1	-1	0.0500	0.0909	1	1	0.674
118	1	12	1	2	-1	0.0500	0.0909	0	1	0.427
118	1	13	1	2	-1	0.0500	0.0909	0	1	0.458
118	1	14	1	2	-1	0.0500	0.0909	1	1	0.649
118	1	15	1	2	-1	0.0500	0.0909	0	1	0.569
118	1	16	1	1	-1	0.0500	0.0909	1	1	0.612
118	1	17	1	1	-1	0.0500	0.0909	1	1	0.580
118	1	18	1	1	-1	0.0500	0.0909	1	1	0.463
118	1	19	1	2	-1	0.0500	0.0909	0	1	0.421
118	1	20	1	2	-1	0.0500	0.0909	1	1	0.446
118	1	21	1	2	-1	0.0500	0.0909	0	1	0.399
118	1	22	1	1	-1	0.0500	0.0909	0	1	0.609
118	1	23	1	2	-1	0.0500	0.0909	1	1	0.634
118	1	24	1	1	-1	0.0500	0.0909	0	1	0.393
118	1	25	1	1	-1	0.0500	0.0909	1	0	0.643
118	1	26	1	1	-1	0.0500	0.0909	0	1	0.545
118	1	27	1	1	-1	0.0500	0.0909	1	1	0.835
118	1	28	1	1	-1	0.0500	0.0909	0	1	0.435
118	1	29	1	1	-1	0.0500	0.0909	0	1	0.875
118	1	30	1	1	-1	0.0500	0.0909	0	0	0.695
118	1	31	1	2	-1	0.0500	0.0909	1	0	0.788
118	1	32	1	2	-1	0.0500	0.0909	0	1	0.476
118	1	33	0	1	-1	0.0500	0.0909	0	0	0.601
118	1	34	0	2	-1	0.0500	0.0909	0	1	0.434
118	1	35	0	2	-1	0.0500	0.0909	1	1	0.412
118	1	36	0	1	-1	0.0500	0.0909	1	1	0.485
118	1	37	0	1	-1	0.0500	0.0909	1	1	0.450
118	1	38	0	2	-1	0.0500	0.0909	1	1	0.395
118	1	39	0	2	-1	0.0500	0.0909	0	1	0.438
118	1	40	0	2	-1	0.0500	0.0909	0	1	0.422
118	1	41	0	1	-1	0.0500	0.0909	1	1	0.424
118	1	42	0	1	-1	0.0500	0.0909	1	1	0.566
118	1	43	0	1	-1	0.0500	0.0909	1	1	0.424
118	1	44	0	1	-1	0.0500	0.0909	1	1	0.424
118	1	45	0	1	-1	0.0500	0.0909	0	1	0.416
118	1	46	0	1	-1	0.0500	0.0909	1	1	0.449
118	1	47	0	2	-1	0.0500	0.0909	1	1	0.439
118	1	48	0	1	-1	0.0500	0.0909	0	1	0.471
118	1	49	0	2	-1	0.0500	0.0909	0	1	0.427
118	1	50	0	2	-1	0.0500	0.0909	1	1	0.362
118	1	51	0	2	-1	0.0500	0.0909	1	1	0.574
118	1	52	0	2	-1	0.0500	0.0909	0	1	0.568
118	1	53	0	2	-1	0.0500	0.0909	0	1	0.393
118	1	54	0	2	-1	0.0500	0.0909	1	1	0.411
118	1	55	0	1	-1	0.0500	0.0909	1	1	0.490
118	1	56	0	2	-1	0.0500	0.0909	0	1	0.385
118	1	57	0	2	-1	0.0500	0.0909	1	1	0.421
118	1	58	0	2	-1	0.0500	0.0909	1	1	0.567
118	1	59	0	1	-1	0.0500	0.0909	0	1	0.403
118	1	60	0	1	-1	0.0500	0.0909	0	1	0.550
118	1	61	0	1	-1	0.0500	0.0909	0	1	0.490
118	1	62	0	2	-1	0.0500	0.0909	0	1	0.417
118	1	63	0	1	-1	0.0500	0.0909	0	0	0.635
118	1	64	0	1	-1	0.0500	0.0909	0	1	0.565
