"","htgt/hdst_.2","htgt/ldst_.2","ltgt/ldst_.2","ltgt/hdst_.2","htgt/hdst_.5","htgt/ldst_.5","ltgt/ldst_.5","ltgt/hdst_.5","htgt/hdst_.8","htgt/ldst_.8","ltgt/ldst_.8","ltgt/hdst_.8","htgt/ldst_.2","ltgt/ldst_.2","ltgt/hdst_.2","htgt/hdst_.5","htgt/ldst_.5","ltgt/ldst_.5","ltgt/hdst_.5","htgt/hdst_.8","htgt/ldst_.8","ltgt/ldst_.8","ltgt/hdst_.8"
"1",-0.207204933316733,-0.306588251514673,0.400012090922682,0.712900090855822,-0.0820587716142428,-0.425324956100244,-0.151490816325775,0.0923757116689345,-0.489451422332075,-0.756357233373228,-0.409363793794577,-0.745234811393361,-0.273841056097099,-0.119429415967352,-0.356645690490279,-0.287905135907128,-0.391455779201383,-0.337333945896532,-0.29403599917057,-0.292542249839891,-0.376733233839443,-0.274007369359071,-0.192428258584121
"2",-0.075956009719984,-0.230520750548131,0.493546201260382,-0.00056484732966863,0.121063960248606,0.228671212514611,0.0105119536790133,-0.268107068978189,-0.0168104145465518,-0.11455440411126,0.154092106391455,-0.271856465886731,-0.347580174633906,-0.146695336265424,-0.365069229589874,-0.376148204211339,-0.298826695921588,-0.297489229960409,-0.35315587807845,-0.275604978676487,-0.34890146287374,-0.222681549458225,-0.429754195704557
"3",0.34279055604107,-0.0449160481897679,-0.304611540287993,0.147048588156985,-0.0856223283135907,0.0523126951353247,-0.135913626902237,-0.101971526592993,-0.0279751627619583,0.245481329377161,-0.118449062720268,-0.155390365008115,-0.00371478185140662,-0.124987400873901,0.598016721726955,-0.182822701724142,-0.29221473585479,-0.254801792704338,-0.302532282803986,-0.126729357040397,-0.201013748062902,-0.182535421856059,-0.380746673121203
"4",-0.694700935247512,-0.589559355110212,-0.504150975675087,-0.849342101377925,-0.694990523902137,-0.638424831266882,-0.469265480565936,-0.487531370241655,-0.58621257353226,-0.458936410056706,-0.446110917719753,-0.666338420475589,-0.308423508306718,-0.308610444552397,-0.454592194402821,-0.243969947452569,-0.240059128363136,-0.280117389178144,-0.239175416566059,-0.220245559634803,-0.29387149448821,-0.190651079136182,-0.429370814207991
"5",-0.713450781475619,-0.723438156811326,-0.638216533825791,-0.873944340625701,-0.972947946451299,-0.447369770772655,-0.774578393267268,-0.838610252263202,-0.943484516425254,-0.411975227427782,-0.936072570055434,-0.576171116569564,-0.289123620938826,-0.238374822541175,-0.347928840715738,-0.1663119322276,-0.262031444786085,-0.27672291212082,-0.401425075895173,-0.157082488847386,-0.0672811125756564,-0.223166810591645,-0.257979064948593
"6",-0.0822059584626864,-0.565217754800918,-0.0084201908852758,-0.132801883286462,-0.224601039588172,-0.32244915429566,0.0105119536790133,-0.224222208725496,-0.199167968731518,-0.498070728914143,-0.0725151578137971,-0.170418248992452,-0.393325792693606,-0.295092222588098,-0.41629730856924,-0.379782675027901,-0.169668606192894,-0.207796414335832,-0.142928508662561,-0.241195400494531,-0.24601268427151,-0.176234168327093,-0.281386276362864
"7",-0.454077908653474,0.149816754284581,-0.594567282334864,0.374619301198909,-0.495431348738637,-0.344493968968071,-0.472380918450644,0.0516254842914339,-0.638314731870822,-0.224130496912084,-0.305246942673246,-0.174175219988536,0.193670156885482,-0.306508395993651,-0.191783245140651,-0.218926001950172,-0.321459916298003,-0.179199403828968,0.257970467406985,-0.215052406190299,-0.245944591990005,-0.188994196965682,0.250730138020179
"8",-0.125955599661603,-0.665626856076754,-0.195488411560676,0.208554186276424,0.131754630346651,-0.44369563499392,-0.188876070942265,0.220895659551823,0.351626276561847,-0.302399134626958,0.147967585737259,0.389370429424118,-0.447614989350556,-0.181527925673244,-0.0166675001491072,-0.236932677059263,-0.199397464472583,-0.162287510711779,-0.0219504267983928,-0.0828641092937352,-0.183626102844757,-0.147814052831785,0.0524409343053061
"9",-1.13219734723667,0.00680985246748067,-0.949996901618125,-0.24043667999548,-0.744880317693013,-0.127719958022698,-0.730962262881364,-0.540820129119926,-0.988143509286878,-0.302399134626958,-0.715589826504378,-0.741477840397277,-0.0640773352138415,-0.108970296649953,-0.320760711133513,-0.195946370295857,-0.0896202317121073,-0.0817368105166435,-0.127741554904274,-0.128565420943917,-0.194431872154261,-0.0687857822394132,-0.334987725623319
"10",-0.160330317746466,-0.607815555342182,-0.304611540287993,-0.609470268712113,-0.787642998085191,-1.19689346963462,-0.755885765959023,-0.713224937255507,-1.092347825964,-1.13596012629037,-1.00956681790579,-1.51165689459457,-0.415782529938882,-0.251685987707937,-0.475670949132265,-0.118960454120997,-0.447011760258614,-0.30678565411035,-0.282873601048305,-0.31521998171811,-0.420669382903056,-0.288714913133038,-0.504662968851892
