"","sub","mu_1_htgt/hdst_.2","mu_1_htgt/ldst_.2","mu_1_ltgt/ldst_.2","mu_1_ltgt/hdst_.2","mu_1_htgt/hdst_.5","mu_1_htgt/ldst_.5","mu_1_ltgt/ldst_.5","mu_1_ltgt/hdst_.5","mu_1_htgt/hdst_.8","mu_1_htgt/ldst_.8","mu_1_ltgt/ldst_.8","mu_1_ltgt/hdst_.8","mu_2_htgt/hdst_.2","mu_2_htgt/ldst_.2","mu_2_ltgt/ldst_.2","mu_2_ltgt/hdst_.2","mu_2_htgt/hdst_.5","mu_2_htgt/ldst_.5","mu_2_ltgt/ldst_.5","mu_2_ltgt/hdst_.5","mu_2_htgt/hdst_.8","mu_2_htgt/ldst_.8","mu_2_ltgt/ldst_.8","mu_2_ltgt/hdst_.8","vari_1_htgt/hdst_.2","vari_1_htgt/ldst_.2","vari_1_ltgt/ldst_.2","vari_1_ltgt/hdst_.2","vari_1_htgt/hdst_.5","vari_1_htgt/ldst_.5","vari_1_ltgt/ldst_.5","vari_1_ltgt/hdst_.5","vari_1_htgt/hdst_.8","vari_1_htgt/ldst_.8","vari_1_ltgt/ldst_.8","vari_1_ltgt/hdst_.8","vari_2_htgt/hdst_.2","vari_2_htgt/ldst_.2","vari_2_ltgt/ldst_.2","vari_2_ltgt/hdst_.2","vari_2_htgt/hdst_.5","vari_2_htgt/ldst_.5","vari_2_ltgt/ldst_.5","vari_2_ltgt/hdst_.5","vari_2_htgt/hdst_.8","vari_2_htgt/ldst_.8","vari_2_ltgt/ldst_.8","vari_2_ltgt/hdst_.8"
"99",100,0.396,0.401,0.43,0.5375,0.38,0.415,0.411,0.462,0.41,0.391,0.408,0.4695,0.3405,0.367,0.407,0.542,0.401,0.417,0.404,0.516,0.38,0.399,0.398,0.5105,0.00822225,0.00476161111111111,0.00672428571428571,0.0190403,0.0124266602822581,0.0100582670454545,0.00812506216931217,0.023418347826087,0.00934671182795699,0.00325532773109244,0.00837252463054187,0.0117989861538462,0.0110725714285714,0.00141725,0.004712,0.014945619047619,0.0118470587121212,0.00360808253968254,0.00842070454545455,0.0273200476190476,0.00552191834677419,0.00283124153297683,0.0123466420454545,0.0160275953846154
"100",101,0.573,0.601,0.585,0.673,0.555,0.548,0.603,0.543,0.585,0.545,0.614,0.536,0.6,0.504,0.5495,0.496,0.502,0.527,0.566,0.5555,0.531,0.499,0.541,0.459,0.00861125,0.0137578095238095,0.00155461904761905,0.0225658333333333,0.0192795932773109,0.0308699865546219,0.0248194678030303,0.0145107612903226,0.0165764962121212,0.0125567697478992,0.0103023579831933,0.0110046782531194,0.0145922678571429,0.0376928392857143,0.00520662222222222,0.00435428571428571,0.0157072322580645,0.0117466944444444,0.0163864804804805,0.0215062182539683,0.0131285197044335,0.00841444946236559,0.0133296781609195,0.00623448850574713
"101",102,0.476,0.529,0.5,0.732,0.493,0.483,0.483,0.727,0.443,0.5245,0.513,0.72,0.444,0.382,0.5385,0.564,0.466,0.397,0.457,0.464,0.476,0.448,0.4805,0.477,0.0801744444444445,0.0285156944444444,0.00871386111111111,0.0261758666666667,0.0168471381381381,0.0165522438423645,0.0103752178030303,0.066755921182266,0.00847164369747899,0.0235187689655172,0.0190606921921922,0.0391451794871795,0.00632202777777778,0.0106729047619048,0.0413864107142857,0.0411454666666667,0.0120660534759358,0.0236457161290323,0.0173498188405797,0.0448602,0.013772711827957,0.0245447025210084,0.0105093373015873,0.0331793201970443
"102",103,0.6505,0.712,0.504,0.686,0.5895,0.67,0.564,0.641,0.564,0.657,0.601,0.585,0.532,0.561,0.456,0.653,0.461,0.525,0.456,0.5555,0.446,0.564,0.4865,0.576,0.0205389821428571,0.0431553333333333,0.0108002678571429,0.0311096428571428,0.0308332984615385,0.0286550634920635,0.017851578817734,0.0254823768939394,0.0258604989247312,0.0143297973484848,0.0258795591397849,0.014982367816092,0.0180210714285714,0.0169924761904762,0.00947356666666667,0.00832057142857143,0.030145464516129,0.0224214068965517,0.0220906588235294,0.0120832489919355,0.0199079247311828,0.027843567816092,0.0142025443548387,0.0118867229885057
"103",104,0.543,0.678,0.491,0.684,0.534,0.569,0.531,0.5985,0.548,0.511,0.5275,0.538,0.473,0.6,0.49,0.4975,0.49,0.448,0.5025,0.548,0.474,0.475,0.458,0.474,0.0303117777777778,0.0230905535714286,0.010279,0.0590156111111111,0.0100702660098522,0.114882894623656,0.0130509992063492,0.0306420071301248,0.0101031666666667,0.0109489084084084,0.025269953654189,0.019209871657754,0.0245157142857143,0.0233596944444444,0.0105218392857143,0.00889907142857143,0.0101621630252101,0.0214900748663102,0.0147316,0.0571933842364532,0.0171318768939394,0.0100161378151261,0.0158980231854839,0.0205389161290323
"104",105,0.483,0.475,0.4465,0.494,0.417,0.468,0.436,0.5045,0.411,0.462,0.4385,0.523,0.4145,0.412,0.352,0.457,0.3695,0.4125,0.417,0.474,0.3785,0.427,0.3975,0.456,0.00841737777777778,0.0086642380952381,0.00893306666666667,0.00319228571428571,0.00868428978978979,0.00702047311827957,0.00446431461675579,0.0105601683467742,0.00606600504201681,0.00573744367816092,0.00819522177419355,0.00695358068783069,0.0051784,0.0014165,0.00348352777777778,0.00543947619047619,0.00266260695187166,0.00638999092741935,0.00860536129032258,0.00972917241379311,0.00615589919354839,0.0105070806722689,0.00692548286290322,0.0110732575757576
"105",106,0.45,0.515,0.444,0.502,0.486,0.5,0.448,0.49,0.4645,0.506,0.457,0.526,0.465,0.481,0.4245,0.421,0.426,0.481,0.442,0.4395,0.44,0.484,0.4415,0.469,0.0046218,0.0122116,0.0031935,0.00298507142857143,0.00532794466936572,0.00823392857142857,0.00655874621212121,0.00744069230769231,0.00490857397504456,0.00793925615763547,0.00777261861861862,0.00465949892473118,0.00229823809523809,0.0177073611111111,0.00341821428571429,0.00509586111111111,0.00483520634920635,0.00466822365591398,0.00676141532258065,0.00333945402298851,0.00540618719211823,0.00829366534391534,0.00373674598930481,0.00803448717948718
"106",107,0.375,0.503,0.425,0.568,0.427,0.4625,0.406,0.4385,0.398,0.455,0.4015,0.4795,0.3295,0.481,0.348,0.452,0.304,0.4285,0.385,0.374,0.334,0.377,0.3685,0.4145,0.0133610277777778,0.00836119444444444,0.00290575,0.00425328571428571,0.0158216477272727,0.0116354474153298,0.00385358968253968,0.0112405132275132,0.00798788965517242,0.0066928428030303,0.00363362142857143,0.0101864551724138,0.00775973333333333,0.00973057142857143,0.004196,0.00510878571428571,0.0114971378151261,0.0133935873015873,0.00309527419354839,0.0100720344827586,0.00890384670231729,0.00439512258064516,0.00407951724137931,0.0124918240740741
"107",108,0.6045,0.671,0.6905,0.593,0.52,0.549,0.542,0.7115,0.483,0.492,0.5035,0.712,0.537,0.5515,0.551,0.678,0.4785,0.51,0.507,0.616,0.495,0.5015,0.487,0.559,0.0215924888888889,0.016967125,0.0253456111111111,0.0262094761904762,0.0110262432432432,0.0126950810810811,0.00743160984848485,0.0489701684491979,0.0130717447447447,0.00714391349206349,0.0268945606060606,0.0661145241820768,0.0114927777777778,0.00748164285714286,0.00878528571428571,0.02394875,0.00616182857142857,0.00562796302521008,0.00582379327731092,0.0349759071428571,0.00935537651821862,0.00782934206349206,0.0143513258258258,0.0647676785714286
"108",109,0.448,0.459,0.51,0.494,0.459,0.445,0.4675,0.44,0.464,0.453,0.47,0.4325,0.473,0.3915,0.445,0.378,0.4425,0.4135,0.44,0.4215,0.424,0.3785,0.4395,0.355,0.01101025,0.00815252777777778,0.0110211111111111,0.0175364,0.0131467932773109,0.0104288963963964,0.0056625311942959,0.0104542944444444,0.0125772050420168,0.00719203303303303,0.0132197109243697,0.00924481878306878,0.00560935714285714,0.00562126785714286,0.01829475,0.013645619047619,0.00779212834224599,0.0112848277777778,0.00662555798319328,0.00927209274193548,0.00929605806451613,0.00804226470588235,0.0126406853832442,0.00905078655462185
