sub	sess	t	loc	cue	co1	co2	or	resp	rt
110	1	1	2	2	0.1079	0.0500	1	1	2.710
110	1	2	1	1	0.1079	0.0500	0	1	1.855
110	1	3	1	1	0.1079	0.0500	1	1	1.423
110	1	4	1	2	0.1079	0.0500	1	1	1.737
110	1	5	2	2	0.1079	0.0500	0	1	1.161
110	1	6	1	3	0.1079	0.0500	1	1	1.674
110	1	7	1	1	0.1079	0.0500	1	1	1.001
110	1	8	1	1	0.1079	0.0500	0	0	1.235
110	1	9	2	2	0.1079	0.0500	0	1	1.037
110	1	10	2	1	0.1079	0.0500	1	1	1.666
110	1	11	1	3	0.1079	0.0500	1	1	1.436
110	1	12	2	3	0.1079	0.0500	0	0	1.674
110	1	13	2	3	0.1079	0.0500	1	1	0.901
110	1	14	1	1	0.1079	0.0500	1	1	1.344
110	1	15	1	1	0.1079	0.0500	0	1	1.084
110	1	16	2	1	0.1079	0.0500	1	1	0.959
110	1	17	2	3	0.1079	0.0500	0	1	2.254
110	1	18	1	1	0.1079	0.0500	1	1	1.487
110	1	19	1	1	0.1079	0.0500	0	0	1.009
110	1	20	1	1	0.1079	0.0500	0	1	0.965
110	1	21	1	3	0.1079	0.0500	0	1	1.064
110	1	22	2	3	0.1079	0.0500	0	1	2.950
110	1	23	1	3	0.1079	0.0500	0	1	1.111
110	1	24	2	3	0.1079	0.0500	1	1	1.078
110	1	25	2	2	0.1079	0.0500	1	1	1.381
110	1	26	2	2	0.1079	0.0500	0	1	0.877
110	1	27	1	1	0.1079	0.0500	0	1	1.266
110	1	28	1	1	0.1079	0.0500	1	1	0.884
110	1	29	1	1	0.1079	0.0500	0	1	1.775
110	1	30	2	2	0.1079	0.0500	0	1	1.379
110	1	31	1	2	0.1079	0.0500	1	1	1.186
110	1	32	2	3	0.1079	0.0500	1	1	0.872
110	1	33	2	2	0.1079	0.0500	0	0	1.283
110	1	34	2	2	0.1079	0.0500	1	1	1.200
110	1	35	2	1	0.1079	0.0500	0	0	2.050
110	1	36	2	2	0.1079	0.0500	1	1	1.075
110	1	37	1	1	0.1079	0.0500	0	1	0.796
110	1	38	1	2	0.1079	0.0500	0	1	0.751
110	1	39	2	2	0.1079	0.0500	1	1	1.799
110	1	40	1	3	0.1079	0.0500	0	1	0.865
110	1	41	1	3	0.1079	0.0500	1	1	1.037
110	1	42	2	2	0.1079	0.0500	1	1	0.926
110	1	43	2	2	0.1079	0.0500	0	0	1.047
110	1	44	1	1	0.1079	0.0500	1	1	2.721
110	1	45	1	3	0.1079	0.0500	0	1	0.794
110	1	46	1	3	0.1079	0.0500	1	1	1.726
110	1	47	2	2	0.1079	0.0500	0	1	0.839
