sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
14	1	1	1	2	-1	0.0500	0.1657	0	1	1.178
14	1	2	1	1	-1	0.0500	0.1657	1	1	1.194
14	1	3	1	1	-1	0.0500	0.1657	1	1	0.786
14	1	4	1	1	-1	0.0500	0.1657	0	1	0.603
14	1	5	1	1	-1	0.0500	0.1657	0	1	0.572
14	1	6	1	2	-1	0.0500	0.1657	1	1	0.686
14	1	7	1	2	-1	0.0500	0.1657	0	1	0.587
14	1	8	1	2	-1	0.0500	0.1657	0	1	0.563
14	1	9	1	1	-1	0.0500	0.1657	0	1	0.487
14	1	10	1	1	-1	0.0500	0.1657	0	1	0.373
14	1	11	1	1	-1	0.0500	0.1657	1	0	0.369
14	1	12	1	2	-1	0.0500	0.1657	1	1	0.348
14	1	13	1	1	-1	0.0500	0.1657	0	1	0.351
14	1	14	1	1	-1	0.0500	0.1657	1	1	0.378
14	1	15	1	2	-1	0.0500	0.1657	0	1	0.438
14	1	16	1	2	-1	0.0500	0.1657	1	1	0.341
14	1	17	1	2	-1	0.0500	0.1657	0	1	0.407
14	1	18	1	1	-1	0.0500	0.1657	0	1	0.464
14	1	19	1	2	-1	0.0500	0.1657	1	1	0.423
14	1	20	1	1	-1	0.0500	0.1657	1	0	0.416
14	1	21	1	1	-1	0.0500	0.1657	1	1	0.464
14	1	22	1	2	-1	0.0500	0.1657	1	1	0.511
14	1	23	1	1	-1	0.0500	0.1657	1	0	0.525
14	1	24	1	1	-1	0.0500	0.1657	0	1	0.449
14	1	25	1	2	-1	0.0500	0.1657	0	0	0.498
14	1	26	1	2	-1	0.0500	0.1657	1	1	0.390
14	1	27	1	1	-1	0.0500	0.1657	1	1	0.512
14	1	28	1	2	-1	0.0500	0.1657	0	1	0.406
14	1	29	1	2	-1	0.0500	0.1657	1	1	0.360
14	1	30	1	1	-1	0.0500	0.1657	0	1	0.340
14	1	31	1	2	-1	0.0500	0.1657	0	1	0.406
14	1	32	1	2	-1	0.0500	0.1657	1	1	0.671
14	1	33	0	1	-1	0.0500	0.1657	1	1	0.591
14	1	34	0	2	-1	0.0500	0.1657	1	1	0.358
14	1	35	0	1	-1	0.0500	0.1657	0	1	0.359
14	1	36	0	2	-1	0.0500	0.1657	1	1	0.355
14	1	37	0	1	-1	0.0500	0.1657	0	1	0.312
14	1	38	0	1	-1	0.0500	0.1657	1	0	0.349
14	1	39	0	2	-1	0.0500	0.1657	0	1	0.352
14	1	40	0	2	-1	0.0500	0.1657	0	1	0.427
14	1	41	0	1	-1	0.0500	0.1657	1	0	0.420
14	1	42	0	2	-1	0.0500	0.1657	0	1	0.380
14	1	43	0	2	-1	0.0500	0.1657	1	1	0.333
14	1	44	0	2	-1	0.0500	0.1657	0	1	0.335
14	1	45	0	1	-1	0.0500	0.1657	0	1	0.403
14	1	46	0	2	-1	0.0500	0.1657	1	1	0.310
14	1	47	0	1	-1	0.0500	0.1657	0	1	0.372
14	1	48	0	1	-1	0.0500	0.1657	0	1	0.358
14	1	49	0	2	-1	0.0500	0.1657	0	1	0.418
14	1	50	0	2	-1	0.0500	0.1657	1	1	0.411
14	1	51	0	1	-1	0.0500	0.1657	1	1	0.476
14	1	52	0	2	-1	0.0500	0.1657	0	1	0.394
14	1	53	0	1	-1	0.0500	0.1657	0	1	0.410
14	1	54	0	1	-1	0.0500	0.1657	1	0	0.515
14	1	55	0	2	-1	0.0500	0.1657	1	1	0.425
14	1	56	0	1	-1	0.0500	0.1657	1	0	0.531
14	1	57	0	2	-1	0.0500	0.1657	1	1	0.673
14	1	58	0	2	-1	0.0500	0.1657	1	1	0.343
14	1	59	0	1	-1	0.0500	0.1657	0	1	0.345
14	1	60	0	1	-1	0.0500	0.1657	1	1	0.420
14	1	61	0	2	-1	0.0500	0.1657	0	1	0.396
14	1	62	0	2	-1	0.0500	0.1657	0	1	0.429
14	1	63	0	1	-1	0.0500	0.1657	1	1	0.427
14	1	64	0	1	-1	0.0500	0.1657	0	1	0.461
