sub	sess	t	loc	co1	co2	or	resp	rt
84	1	1	1	1.0000	1.0000	1	1	0.708
84	1	2	2	1.0000	1.0000	0	0	0.548
84	1	3	2	1.0000	1.0000	0	1	0.451
84	1	4	1	1.0000	1.0000	0	0	0.493
84	1	5	2	1.0000	1.0000	1	0	0.452
84	1	6	2	1.0000	1.0000	1	0	0.469
84	1	7	2	1.0000	1.0000	0	1	1.126
84	1	8	2	1.0000	1.0000	1	1	0.483
84	1	9	2	1.0000	1.0000	0	1	0.435
84	1	10	2	1.0000	1.0000	0	0	0.868
84	1	11	1	1.0000	1.0000	0	1	0.965
84	1	12	1	1.0000	1.0000	1	1	0.888
84	1	13	1	1.0000	1.0000	1	1	0.510
84	1	14	1	1.0000	1.0000	0	1	0.748
84	1	15	1	1.0000	1.0000	0	1	0.632
84	1	16	1	1.0000	1.0000	1	1	0.545
84	1	17	2	1.0000	1.0000	0	1	0.506
84	1	18	1	1.0000	1.0000	0	1	0.708
84	1	19	2	1.0000	1.0000	1	1	0.799
84	1	20	1	1.0000	1.0000	0	1	0.635
84	1	21	2	1.0000	1.0000	1	1	0.853
84	1	22	1	1.0000	1.0000	1	1	0.896
84	1	23	2	1.0000	1.0000	1	0	0.579
84	1	24	1	1.0000	1.0000	1	1	0.925
84	1	25	1	1.0000	1.0000	1	1	0.727
84	1	26	2	1.0000	1.0000	0	1	1.065
84	1	27	2	1.0000	1.0000	1	1	0.586
84	1	28	1	1.0000	1.0000	1	1	1.118
84	1	29	1	1.0000	1.0000	1	0	1.191
84	1	30	2	1.0000	1.0000	0	1	0.893
84	1	31	1	1.0000	1.0000	0	1	0.930
84	1	32	1	1.0000	1.0000	0	1	0.599
84	1	33	2	1.0000	1.0000	1	1	0.695
84	1	34	1	0.2500	0.2500	0	1	0.589
84	1	35	2	0.2629	0.2629	0	1	0.588
84	1	36	1	0.2758	0.2758	0	0	0.699
84	1	37	2	0.2887	0.2887	1	1	0.719
84	1	38	1	0.3016	0.3016	1	1	1.133
84	1	39	1	0.3145	0.3145	0	1	0.649
84	1	40	2	0.3274	0.3274	0	1	0.655
84	1	41	2	0.3403	0.3403	0	1	0.719
84	1	42	1	0.3532	0.3532	1	1	0.748
