sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
78	1	2	9	2	-1	0.1298	0.2096	1	1	1.142
78	1	4	9	2	-1	0.1298	0.2096	0	1	0.747
78	1	6	9	1	-1	0.1298	0.2096	1	1	0.508
78	1	8	9	1	-1	0.1298	0.2096	1	1	0.497
78	1	10	9	2	-1	0.1298	0.2096	1	1	0.710
78	1	12	9	2	-1	0.1298	0.2096	0	1	0.418
78	1	14	9	1	-1	0.1298	0.2096	0	1	0.522
78	1	16	9	1	-1	0.1298	0.2096	0	1	0.463
78	1	18	9	2	-1	0.1298	0.2096	0	1	0.385
78	1	20	9	2	-1	0.1298	0.2096	1	1	0.406
78	1	22	9	1	-1	0.1298	0.2096	0	1	0.481
78	1	24	9	2	-1	0.1298	0.2096	1	1	0.342
78	1	26	9	2	-1	0.1298	0.2096	1	1	0.377
78	1	28	9	2	-1	0.1298	0.2096	0	1	0.465
78	1	30	9	1	-1	0.1298	0.2096	1	1	0.388
78	1	32	9	1	-1	0.1298	0.2096	1	1	0.398
78	1	34	9	1	-1	0.1298	0.2096	0	1	0.399
78	1	36	9	1	-1	0.1298	0.2096	1	1	0.345
78	1	38	9	1	-1	0.1298	0.2096	1	1	0.270
78	1	40	9	2	-1	0.1298	0.2096	0	1	0.315
78	1	42	9	2	-1	0.1298	0.2096	0	1	0.396
78	1	44	9	1	-1	0.1298	0.2096	0	1	0.375
78	1	46	9	1	-1	0.1298	0.2096	1	1	0.352
78	1	48	9	2	-1	0.1298	0.2096	1	1	0.367
78	1	50	9	2	-1	0.1298	0.2096	1	1	0.314
78	1	52	9	2	-1	0.1298	0.2096	1	1	0.320
78	1	54	9	2	-1	0.1298	0.2096	0	1	0.402
78	1	56	9	1	-1	0.1298	0.2096	0	0	0.379
78	1	58	9	1	-1	0.1298	0.2096	1	1	0.441
78	1	60	9	1	-1	0.1298	0.2096	0	1	0.334
78	1	62	9	1	-1	0.1298	0.2096	0	1	0.343
78	1	64	9	2	-1	0.1298	0.2096	0	1	0.306
78	1	66	9	1	-1	0.1298	0.2096	1	1	0.350
78	1	68	9	2	-1	0.1298	0.2096	1	1	0.345
78	1	70	9	1	-1	0.1298	0.2096	0	1	0.374
78	1	72	9	1	-1	0.1298	0.2096	1	1	0.371
78	1	74	9	1	-1	0.1298	0.2096	1	1	0.518
78	1	76	9	2	-1	0.1298	0.2096	1	1	0.484
78	1	78	9	2	-1	0.1298	0.2096	0	1	0.301
78	1	80	9	2	-1	0.1298	0.2096	0	1	0.728
78	1	82	9	1	-1	0.1298	0.2096	0	1	0.343
78	1	84	9	2	-1	0.1298	0.2096	1	1	0.367
78	1	86	9	1	-1	0.1298	0.2096	0	1	0.532
78	1	88	9	1	-1	0.1298	0.2096	1	1	0.294
78	1	90	9	1	-1	0.1298	0.2096	0	1	0.419
78	1	92	9	1	-1	0.1298	0.2096	1	1	0.320
78	1	94	9	1	-1	0.1298	0.2096	0	0	0.306
78	1	96	9	1	-1	0.1298	0.2096	1	1	0.322
78	1	98	9	2	-1	0.1298	0.2096	1	1	0.430
78	1	100	9	2	-1	0.1298	0.2096	0	1	0.270
78	1	102	9	2	-1	0.1298	0.2096	1	1	0.280
78	1	104	9	2	-1	0.1298	0.2096	0	1	0.318
78	1	106	9	2	-1	0.1298	0.2096	0	1	0.334
78	1	108	9	1	-1	0.1298	0.2096	1	1	0.249
78	1	110	9	2	-1	0.1298	0.2096	0	1	0.374
78	1	112	9	1	-1	0.1298	0.2096	1	1	0.276
78	1	114	9	2	-1	0.1298	0.2096	1	0	0.288
78	1	116	9	2	-1	0.1298	0.2096	1	1	0.348
78	1	118	9	2	-1	0.1298	0.2096	0	1	0.310
78	1	120	9	2	-1	0.1298	0.2096	1	1	0.363
78	1	122	9	1	-1	0.1298	0.2096	0	1	0.395
78	1	124	9	1	-1	0.1298	0.2096	0	1	0.371
78	1	126	9	1	-1	0.1298	0.2096	0	1	0.403
78	1	128	9	2	-1	0.1298	0.2096	0	1	0.322
