sub	sess	t	loc	cue	co1	co2	or	resp	rt
136	1	1	2	1	0.2193	0.2987	1	1	2.822
136	1	2	2	2	0.2193	0.2987	1	0	2.713
136	1	3	1	1	0.2193	0.2987	1	1	2.455
136	1	4	1	3	0.2193	0.2987	1	1	1.208
136	1	5	2	3	0.2193	0.2987	0	1	1.362
136	1	6	2	3	0.2193	0.2987	1	1	0.840
136	1	7	1	1	0.2193	0.2987	0	1	0.893
136	1	8	2	2	0.2193	0.2987	1	1	1.184
136	1	9	1	3	0.2193	0.2987	0	1	1.622
136	1	10	2	2	0.2193	0.2987	1	1	0.805
136	1	11	1	2	0.2193	0.2987	1	1	2.338
136	1	12	2	2	0.2193	0.2987	0	1	0.893
136	1	13	1	1	0.2193	0.2987	1	1	0.848
136	1	14	1	1	0.2193	0.2987	1	1	0.874
136	1	15	2	1	0.2193	0.2987	0	1	0.947
136	1	16	1	2	0.2193	0.2987	0	1	2.604
136	1	17	1	1	0.2193	0.2987	1	1	1.368
136	1	18	1	2	0.2193	0.2987	0	1	2.096
136	1	19	1	1	0.2193	0.2987	0	1	1.329
136	1	20	2	3	0.2193	0.2987	0	1	1.445
136	1	21	2	2	0.2193	0.2987	1	1	1.877
136	1	22	2	2	0.2193	0.2987	0	1	0.967
136	1	23	1	3	0.2193	0.2987	0	1	0.870
136	1	24	2	2	0.2193	0.2987	1	1	0.829
136	1	25	1	1	0.2193	0.2987	1	1	2.858
136	1	26	2	2	0.2193	0.2987	1	1	0.809
136	1	27	1	1	0.2193	0.2987	0	1	1.364
136	1	28	2	3	0.2193	0.2987	0	1	1.060
136	1	29	1	1	0.2193	0.2987	0	1	0.814
136	1	30	1	2	0.2193	0.2987	1	1	1.378
136	1	31	1	1	0.2193	0.2987	0	1	1.876
136	1	32	2	2	0.2193	0.2987	1	1	1.408
136	1	33	1	3	0.2193	0.2987	0	1	0.997
136	1	34	1	1	0.2193	0.2987	0	1	0.914
136	1	35	1	1	0.2193	0.2987	1	1	1.072
136	1	36	2	2	0.2193	0.2987	0	1	0.911
136	1	37	2	1	0.2193	0.2987	1	1	0.895
136	1	38	2	2	0.2193	0.2987	0	1	1.089
136	1	39	1	1	0.2193	0.2987	0	1	1.885
136	1	40	2	2	0.2193	0.2987	0	1	1.463
136	1	41	2	3	0.2193	0.2987	1	1	0.991
136	1	42	1	3	0.2193	0.2987	1	1	1.046
136	1	43	2	3	0.2193	0.2987	1	1	0.601
136	1	44	2	2	0.2193	0.2987	0	1	0.645
136	1	45	1	1	0.2193	0.2987	1	1	0.784
136	1	46	2	3	0.2193	0.2987	0	1	0.646
136	1	47	2	2	0.2193	0.2987	0	1	0.668
136	1	48	1	1	0.2193	0.2987	1	1	0.588
136	1	49	2	3	0.2193	0.2987	1	1	1.685
136	1	50	1	3	0.2193	0.2987	0	1	1.214
136	1	51	1	1	0.2193	0.2987	0	1	0.608
136	1	52	2	1	0.2193	0.2987	0	1	1.129
136	1	53	1	3	0.2193	0.2987	1	1	0.950
136	1	54	2	2	0.2193	0.2987	0	1	1.107
136	1	55	2	2	0.2193	0.2987	1	1	0.807
136	1	56	1	3	0.2193	0.2987	1	1	1.423
136	1	57	2	3	0.2193	0.2987	0	1	0.518
136	1	58	1	3	0.2193	0.2987	0	1	0.823
136	1	59	2	2	0.2193	0.2987	0	1	0.587
136	1	60	2	2	0.2193	0.2987	1	1	0.752
136	1	61	1	1	0.2193	0.2987	1	1	1.272
136	1	62	1	1	0.2193	0.2987	1	1	0.749
136	1	63	1	1	0.2193	0.2987	1	1	0.715
136	1	64	1	2	0.2193	0.2987	1	1	0.688
136	1	65	2	2	0.2193	0.2987	1	1	1.127
136	1	66	1	1	0.2193	0.2987	0	1	0.665
136	1	67	2	2	0.2193	0.2987	1	1	0.759
136	1	68	2	3	0.2193	0.2987	0	1	0.950
136	1	69	1	1	0.2193	0.2987	0	1	0.709
136	1	70	1	3	0.2193	0.2987	1	1	0.711
136	1	71	1	3	0.2193	0.2987	0	1	0.802
136	1	72	1	2	0.2193	0.2987	0	1	0.711
136	1	73	1	1	0.2193	0.2987	0	1	0.706
136	1	74	1	1	0.2193	0.2987	1	1	0.731
136	1	75	1	1	0.2193	0.2987	0	1	0.639
136	1	76	1	3	0.2193	0.2987	1	1	0.637
136	1	77	1	1	0.2193	0.2987	0	1	0.758
136	1	78	2	2	0.2193	0.2987	1	1	1.044
136	1	79	1	2	0.2193	0.2987	0	1	0.581
136	1	80	2	1	0.2193	0.2987	1	1	0.624
136	1	81	1	3	0.2193	0.2987	0	1	1.322
136	1	82	2	2	0.2193	0.2987	0	1	0.976
136	1	83	1	1	0.2193	0.2987	0	1	0.532
136	1	84	2	1	0.2193	0.2987	1	1	0.644
136	1	85	1	3	0.2193	0.2987	0	1	0.562
136	1	86	1	1	0.2193	0.2987	1	1	1.011
136	1	87	1	3	0.2193	0.2987	1	1	0.740
136	1	88	2	2	0.2193	0.2987	0	1	0.653
136	1	89	2	2	0.2193	0.2987	1	1	0.628
136	1	90	1	1	0.2193	0.2987	0	1	1.315
136	1	91	2	1	0.2193	0.2987	0	1	1.470
136	1	92	2	2	0.2193	0.2987	0	1	0.897
136	1	93	2	3	0.2193	0.2987	1	1	0.783
136	1	94	2	2	0.2193	0.2987	0	1	0.854
136	1	95	2	3	0.2193	0.2987	0	1	0.932
136	1	96	2	2	0.2193	0.2987	0	1	1.050
136	1	97	2	2	0.2193	0.2987	0	1	0.613
136	1	98	2	2	0.2193	0.2987	1	1	0.628
136	1	99	2	3	0.2193	0.2987	1	1	0.920
136	1	100	2	3	0.2193	0.2987	1	1	0.581
136	1	101	1	3	0.2193	0.2987	1	1	0.785
136	1	102	2	2	0.2193	0.2987	1	1	0.501
136	1	103	1	1	0.2193	0.2987	1	1	0.678
136	1	104	2	2	0.2193	0.2987	0	1	0.689
136	1	105	1	1	0.2193	0.2987	1	1	0.718
136	1	106	2	1	0.2193	0.2987	0	1	0.875
136	1	107	1	2	0.2193	0.2987	1	1	0.621
136	1	108	2	3	0.2193	0.2987	0	1	0.721
136	1	109	1	1	0.2193	0.2987	0	1	0.699
136	1	110	1	1	0.2193	0.2987	1	1	0.678
136	1	111	2	2	0.2193	0.2987	1	1	1.217
136	1	112	2	3	0.2193	0.2987	1	1	1.053
