sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
8	1	2	0	1	-1	0.2675	0.0500	0	1	2.198
8	1	4	0	1	-1	0.2675	0.0500	0	0	0.847
8	1	6	0	1	-1	0.2675	0.0500	1	1	0.592
8	1	8	0	1	-1	0.2675	0.0500	1	1	0.879
8	1	10	0	1	-1	0.2675	0.0500	1	1	0.601
8	1	12	0	2	-1	0.2675	0.0500	0	0	2.120
8	1	14	0	1	-1	0.2675	0.0500	0	1	1.460
8	1	16	0	2	-1	0.2675	0.0500	1	1	1.085
8	1	18	0	1	-1	0.2675	0.0500	1	1	0.604
8	1	20	0	2	-1	0.2675	0.0500	1	1	1.319
8	1	22	0	2	-1	0.2675	0.0500	1	1	0.679
8	1	24	0	2	-1	0.2675	0.0500	0	1	0.602
8	1	26	0	1	-1	0.2675	0.0500	0	1	1.173
8	1	28	0	1	-1	0.2675	0.0500	1	1	0.510
8	1	30	0	2	-1	0.2675	0.0500	0	1	0.713
8	1	32	0	1	-1	0.2675	0.0500	1	1	0.458
8	1	34	0	1	-1	0.2675	0.0500	0	1	0.480
8	1	36	0	2	-1	0.2675	0.0500	1	0	0.966
8	1	38	0	1	-1	0.2675	0.0500	0	1	0.520
8	1	40	0	1	-1	0.2675	0.0500	0	0	0.755
8	1	42	0	1	-1	0.2675	0.0500	0	0	0.937
8	1	44	0	2	-1	0.2675	0.0500	0	1	0.695
8	1	46	0	2	-1	0.2675	0.0500	1	1	0.658
8	1	48	0	2	-1	0.2675	0.0500	1	1	0.706
8	1	50	0	1	-1	0.2675	0.0500	1	1	0.734
8	1	52	0	2	-1	0.2675	0.0500	0	1	0.517
8	1	54	0	2	-1	0.2675	0.0500	1	0	0.890
8	1	56	0	2	-1	0.2675	0.0500	0	1	0.620
8	1	58	0	2	-1	0.2675	0.0500	0	1	0.533
8	1	60	0	1	-1	0.2675	0.0500	1	1	0.522
8	1	62	0	2	-1	0.2675	0.0500	0	1	0.692
8	1	64	0	2	-1	0.2675	0.0500	1	1	0.532
8	1	66	1	2	-1	0.2675	0.0500	1	1	0.581
8	1	68	1	2	-1	0.2675	0.0500	1	0	0.740
8	1	70	1	2	-1	0.2675	0.0500	0	1	0.574
8	1	72	1	1	-1	0.2675	0.0500	1	1	0.452
8	1	74	1	2	-1	0.2675	0.0500	0	1	0.432
8	1	76	1	2	-1	0.2675	0.0500	0	1	0.717
8	1	78	1	2	-1	0.2675	0.0500	1	1	0.430
8	1	80	1	1	-1	0.2675	0.0500	0	1	0.516
8	1	82	1	1	-1	0.2675	0.0500	0	1	0.529
8	1	84	1	1	-1	0.2675	0.0500	1	1	0.411
8	1	86	1	2	-1	0.2675	0.0500	1	0	0.872
8	1	88	1	1	-1	0.2675	0.0500	0	0	0.541
8	1	90	1	1	-1	0.2675	0.0500	1	1	0.493
8	1	92	1	2	-1	0.2675	0.0500	1	0	0.655
8	1	94	1	1	-1	0.2675	0.0500	1	1	0.521
8	1	96	1	2	-1	0.2675	0.0500	1	1	0.508
8	1	98	1	1	-1	0.2675	0.0500	1	1	0.493
8	1	100	1	1	-1	0.2675	0.0500	1	1	0.538
8	1	102	1	1	-1	0.2675	0.0500	0	1	0.822
8	1	104	1	2	-1	0.2675	0.0500	0	0	0.696
8	1	106	1	2	-1	0.2675	0.0500	1	1	0.563
8	1	108	1	2	-1	0.2675	0.0500	0	1	0.582
8	1	110	1	2	-1	0.2675	0.0500	0	1	0.632
8	1	112	1	1	-1	0.2675	0.0500	1	1	0.553
8	1	114	1	2	-1	0.2675	0.0500	0	1	0.523
8	1	116	1	1	-1	0.2675	0.0500	0	1	0.587
8	1	118	1	1	-1	0.2675	0.0500	0	1	0.485
8	1	120	1	1	-1	0.2675	0.0500	0	1	0.547
8	1	122	1	2	-1	0.2675	0.0500	1	0	0.734
8	1	124	1	1	-1	0.2675	0.0500	0	1	0.418
8	1	126	1	1	-1	0.2675	0.0500	1	1	0.446
8	1	128	1	2	-1	0.2675	0.0500	0	1	0.703
