sub	sess	t	loc	cue	co1	co2	or	resp	rt
8	1	1	1	1	0.2675	0.0500	1	0	3.841
8	1	2	1	3	0.2675	0.0500	0	0	1.232
8	1	3	2	2	0.2675	0.0500	0	1	1.760
8	1	4	1	1	0.2675	0.0500	0	0	1.636
8	1	5	1	1	0.2675	0.0500	1	1	1.032
8	1	6	2	3	0.2675	0.0500	1	1	1.040
8	1	7	2	1	0.2675	0.0500	0	1	0.900
8	1	8	2	1	0.2675	0.0500	1	1	0.789
8	1	9	1	3	0.2675	0.0500	0	1	0.763
8	1	10	2	3	0.2675	0.0500	1	1	1.156
8	1	11	2	2	0.2675	0.0500	0	1	0.686
8	1	12	1	3	0.2675	0.0500	1	1	0.945
8	1	13	2	1	0.2675	0.0500	1	1	0.647
8	1	14	2	2	0.2675	0.0500	0	1	0.743
8	1	15	2	3	0.2675	0.0500	0	1	0.980
8	1	16	2	2	0.2675	0.0500	1	1	0.608
8	1	17	2	1	0.2675	0.0500	0	1	0.637
8	1	18	1	1	0.2675	0.0500	0	1	2.533
8	1	19	1	2	0.2675	0.0500	0	1	2.536
8	1	20	1	1	0.2675	0.0500	0	1	0.988
8	1	21	1	3	0.2675	0.0500	0	1	0.756
8	1	22	1	1	0.2675	0.0500	1	1	0.905
8	1	23	2	2	0.2675	0.0500	1	1	0.877
8	1	24	1	2	0.2675	0.0500	1	1	0.761
8	1	25	2	2	0.2675	0.0500	1	1	0.889
8	1	26	2	2	0.2675	0.0500	1	1	0.683
8	1	27	2	2	0.2675	0.0500	1	1	0.714
8	1	28	1	3	0.2675	0.0500	1	1	1.163
8	1	29	2	3	0.2675	0.0500	0	1	0.737
8	1	30	1	1	0.2675	0.0500	0	1	0.961
8	1	31	1	2	0.2675	0.0500	1	0	1.898
8	1	32	1	1	0.2675	0.0500	1	1	1.102
8	1	33	1	1	0.2675	0.0500	1	1	0.907
8	1	34	2	2	0.2675	0.0500	0	1	0.743
8	1	35	2	2	0.2675	0.0500	0	1	0.888
8	1	36	1	3	0.2675	0.0500	1	1	1.051
8	1	37	1	1	0.2675	0.0500	0	1	0.788
8	1	38	1	1	0.2675	0.0500	1	1	1.012
8	1	39	2	3	0.2675	0.0500	1	1	0.651
8	1	40	1	3	0.2675	0.0500	0	1	0.517
8	1	41	2	2	0.2675	0.0500	0	1	0.942
8	1	42	2	3	0.2675	0.0500	0	1	0.584
8	1	43	2	2	0.2675	0.0500	1	0	0.666
8	1	44	1	1	0.2675	0.0500	0	1	0.826
8	1	45	1	3	0.2675	0.0500	1	1	0.955
8	1	46	2	2	0.2675	0.0500	0	1	1.004
8	1	47	2	3	0.2675	0.0500	0	1	0.748
8	1	48	1	1	0.2675	0.0500	1	1	0.578
8	1	49	1	1	0.2675	0.0500	1	1	0.642
8	1	50	2	2	0.2675	0.0500	1	1	0.718
8	1	51	2	2	0.2675	0.0500	0	1	0.815
8	1	52	2	2	0.2675	0.0500	1	1	0.889
8	1	53	2	3	0.2675	0.0500	1	1	0.657
8	1	54	1	1	0.2675	0.0500	0	1	0.990
8	1	55	1	1	0.2675	0.0500	0	1	2.187
8	1	56	1	2	0.2675	0.0500	0	1	0.690
8	1	57	1	3	0.2675	0.0500	0	1	0.605
8	1	58	1	1	0.2675	0.0500	1	1	0.559
8	1	59	2	2	0.2675	0.0500	1	1	1.107
8	1	60	1	1	0.2675	0.0500	1	0	0.818
8	1	61	2	2	0.2675	0.0500	0	1	1.214
8	1	62	1	3	0.2675	0.0500	1	1	0.759
8	1	63	1	1	0.2675	0.0500	0	1	0.943
8	1	64	2	2	0.2675	0.0500	0	1	0.860
8	1	65	2	3	0.2675	0.0500	1	1	0.786
8	1	66	1	1	0.2675	0.0500	0	1	0.860
8	1	67	2	3	0.2675	0.0500	1	1	0.661
8	1	68	2	2	0.2675	0.0500	1	1	1.945
8	1	69	2	3	0.2675	0.0500	0	1	0.646
8	1	70	1	2	0.2675	0.0500	0	1	1.067
8	1	71	1	2	0.2675	0.0500	1	1	0.939
8	1	72	2	2	0.2675	0.0500	1	1	1.110
8	1	73	2	1	0.2675	0.0500	0	1	1.017
8	1	74	2	2	0.2675	0.0500	0	1	0.751
8	1	75	1	3	0.2675	0.0500	1	1	0.885
8	1	76	1	3	0.2675	0.0500	0	1	1.949
8	1	77	1	1	0.2675	0.0500	0	1	0.699
8	1	78	1	2	0.2675	0.0500	0	1	0.598
8	1	79	1	1	0.2675	0.0500	0	1	0.543
8	1	80	2	2	0.2675	0.0500	1	1	0.645
8	1	81	2	2	0.2675	0.0500	0	1	0.819
8	1	82	1	3	0.2675	0.0500	0	1	0.778
8	1	83	2	1	0.2675	0.0500	1	1	0.574
8	1	84	2	2	0.2675	0.0500	0	1	0.608
8	1	85	2	1	0.2675	0.0500	1	1	0.607
8	1	86	2	3	0.2675	0.0500	0	1	0.578
8	1	87	1	1	0.2675	0.0500	0	1	0.708
8	1	88	2	3	0.2675	0.0500	0	1	0.932
8	1	89	1	1	0.2675	0.0500	0	0	0.604
8	1	90	1	1	0.2675	0.0500	0	1	0.679
8	1	91	2	3	0.2675	0.0500	0	1	1.530
8	1	92	2	3	0.2675	0.0500	1	1	0.616
8	1	93	2	2	0.2675	0.0500	0	1	2.174
8	1	94	1	2	0.2675	0.0500	1	1	0.580
8	1	95	1	1	0.2675	0.0500	1	1	0.628
8	1	96	2	1	0.2675	0.0500	0	1	0.781
8	1	97	2	2	0.2675	0.0500	0	1	0.600
8	1	98	1	1	0.2675	0.0500	0	1	0.951
8	1	99	1	3	0.2675	0.0500	0	1	1.079
8	1	100	2	2	0.2675	0.0500	1	1	0.570
8	1	101	1	3	0.2675	0.0500	1	1	0.709
8	1	102	2	2	0.2675	0.0500	1	1	0.621
8	1	103	1	1	0.2675	0.0500	1	1	0.615
8	1	104	2	3	0.2675	0.0500	1	1	0.888
8	1	105	2	2	0.2675	0.0500	0	0	0.812
8	1	106	2	2	0.2675	0.0500	1	1	0.527
8	1	107	1	1	0.2675	0.0500	1	1	0.572
8	1	108	1	1	0.2675	0.0500	1	1	0.557
8	1	109	2	2	0.2675	0.0500	1	1	1.234
8	1	110	1	3	0.2675	0.0500	1	1	0.544
8	1	111	1	1	0.2675	0.0500	1	1	0.537
8	1	112	1	1	0.2675	0.0500	1	1	0.501
