sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt	rew_tot	left_col	right_col
68	1	1	9	2	2	0.0527	0.0500	0	1	0.824	0	0	0
68	1	2	9	1	1	0.0527	0.0500	0	1	1.071	0	82	82
68	1	3	0	2	2	0.0527	0.0500	0	1	0.784	6	82	82
68	1	4	0	1	2	0.0527	0.0500	1	1	1.172	5	82	0
68	1	5	0	1	3	0.0527	0.0500	1	1	1.015	5	82	0
68	1	6	0	1	3	0.0527	0.0500	1	0	0.681	0	82	0
68	1	7	1	2	3	0.0527	0.0500	1	1	0.648	70	82	0
68	1	8	9	2	3	0.0527	0.0500	1	0	0.615	0	0	82
68	1	9	0	1	1	0.0527	0.0500	1	1	0.958	5	82	0
68	1	10	1	2	3	0.0527	0.0500	0	1	0.504	85	0	0
68	1	11	0	1	3	0.0527	0.0500	1	1	0.679	7	82	0
68	1	12	1	2	3	0.0527	0.0500	0	1	0.588	76	0	0
68	1	13	1	2	3	0.0527	0.0500	0	1	0.564	79	0	0
68	1	14	0	1	3	0.0527	0.0500	1	1	0.584	8	82	0
68	1	15	1	1	2	0.0527	0.0500	0	0	0.772	0	0	0
68	1	16	9	1	1	0.0527	0.0500	1	1	0.743	0	0	82
68	1	17	1	1	3	0.0527	0.0500	0	0	1.314	0	0	0
68	1	18	0	1	1	0.0527	0.0500	0	1	0.668	7	82	82
68	1	19	0	1	1	0.0527	0.0500	1	1	0.954	5	82	0
68	1	20	9	1	3	0.0527	0.0500	1	1	0.797	0	0	82
68	1	21	9	1	3	0.0527	0.0500	1	1	1.040	0	0	82
68	1	22	1	1	3	0.0527	0.0500	0	1	1.218	50	0	0
68	1	23	1	1	2	0.0527	0.0500	0	1	0.690	66	0	0
68	1	24	1	1	2	0.0527	0.0500	1	1	0.618	73	0	82
68	1	25	9	2	2	0.0527	0.0500	1	1	1.571	0	82	0
68	1	26	0	1	3	0.0527	0.0500	1	1	0.692	7	82	0
68	1	27	1	1	1	0.0527	0.0500	0	1	0.608	74	0	0
68	1	28	1	2	3	0.0527	0.0500	1	1	1.175	50	82	0
68	1	29	1	1	1	0.0527	0.0500	1	1	0.762	59	0	82
68	1	30	9	2	2	0.0527	0.0500	0	1	0.583	0	0	0
68	1	31	1	1	1	0.0527	0.0500	1	0	0.800	0	0	82
68	1	32	0	1	2	0.0527	0.0500	0	1	1.112	5	82	82
68	1	33	1	1	1	0.0527	0.0500	1	1	0.670	68	0	82
68	1	34	1	2	2	0.0527	0.0500	1	1	0.973	50	82	0
68	1	35	9	2	2	0.0527	0.0500	0	1	0.681	0	82	82
68	1	36	1	1	3	0.0527	0.0500	1	1	0.801	55	0	82
68	1	37	9	2	3	0.0527	0.0500	0	0	1.539	0	82	82
68	1	38	0	1	3	0.0527	0.0500	1	1	1.433	5	82	0
68	1	39	1	1	3	0.0527	0.0500	1	1	0.849	50	0	82
68	1	40	0	2	1	0.0527	0.0500	1	0	0.695	0	0	82
68	1	41	0	2	2	0.0527	0.0500	1	1	0.699	7	0	82
68	1	42	1	2	2	0.0527	0.0500	0	1	0.551	80	0	0
68	1	43	9	2	1	0.0527	0.0500	0	1	0.562	0	0	0
68	1	44	0	2	1	0.0527	0.0500	1	1	0.758	6	0	82
68	1	45	0	1	1	0.0527	0.0500	1	0	2.034	0	82	0
68	1	46	0	2	2	0.0527	0.0500	0	1	0.642	7	82	82
68	1	47	0	1	1	0.0527	0.0500	0	1	1.545	5	82	82
68	1	48	1	1	1	0.0527	0.0500	0	1	0.772	58	0	0
68	1	49	0	1	1	0.0527	0.0500	0	1	0.695	7	82	82
68	1	50	9	1	1	0.0527	0.0500	0	1	0.676	0	0	0
68	1	51	0	2	3	0.0527	0.0500	1	0	0.858	0	0	82
68	1	52	0	1	3	0.0527	0.0500	1	1	0.576	8	82	0
68	1	53	9	2	3	0.0527	0.0500	0	0	0.801	0	0	0
68	1	54	1	2	3	0.0527	0.0500	0	1	0.770	58	0	0
68	1	55	1	1	3	0.0527	0.0500	0	1	0.869	50	0	0
68	1	56	0	2	2	0.0527	0.0500	1	0	1.291	0	0	82
68	1	57	1	1	3	0.0527	0.0500	1	1	0.907	50	0	82
68	1	58	1	2	3	0.0527	0.0500	0	1	0.631	72	0	0
68	1	59	1	2	2	0.0527	0.0500	1	1	0.648	70	82	0
68	1	60	0	1	1	0.0527	0.0500	0	1	0.791	6	82	82
68	1	61	1	2	3	0.0527	0.0500	0	1	0.570	78	0	0
68	1	62	0	1	1	0.0527	0.0500	1	1	1.021	5	82	0
68	1	63	1	1	1	0.0527	0.0500	0	1	0.622	73	0	0
68	1	64	1	2	2	0.0527	0.0500	1	1	0.830	52	82	0
68	1	65	0	2	2	0.0527	0.0500	1	1	0.720	6	0	82
68	1	66	9	1	1	0.0527	0.0500	1	1	0.861	0	82	0
68	1	67	9	2	2	0.0527	0.0500	1	1	0.709	0	82	0
68	1	68	0	2	2	0.0527	0.0500	0	1	0.681	7	82	82
68	1	69	0	1	2	0.0527	0.0500	0	0	1.209	0	82	82
68	1	70	0	2	3	0.0527	0.0500	1	1	0.595	8	0	82
68	1	71	1	2	3	0.0527	0.0500	1	1	0.973	50	82	0
68	1	72	0	1	3	0.0527	0.0500	0	1	0.991	5	82	82
68	1	73	0	2	3	0.0527	0.0500	1	1	0.658	7	0	82
68	1	74	1	2	2	0.0527	0.0500	0	1	0.566	78	0	0
68	1	75	1	1	3	0.0527	0.0500	0	1	0.866	50	0	0
68	1	76	0	2	2	0.0527	0.0500	1	1	1.074	5	0	82
68	1	77	1	2	2	0.0527	0.0500	0	1	0.904	50	0	0
68	1	78	0	2	3	0.0527	0.0500	1	1	0.563	8	0	82
68	1	79	0	1	2	0.0527	0.0500	1	0	0.813	0	82	0
68	1	80	0	2	2	0.0527	0.0500	0	1	0.607	7	82	82
68	1	81	9	2	3	0.0527	0.0500	1	1	0.724	0	82	0
68	1	82	1	1	2	0.0527	0.0500	0	1	1.017	50	0	0
68	1	83	9	1	1	0.0527	0.0500	1	1	0.641	0	0	82
68	1	84	1	1	3	0.0527	0.0500	1	1	0.904	50	0	82
68	1	85	1	1	1	0.0527	0.0500	1	0	0.811	0	0	82
68	1	86	0	2	3	0.0527	0.0500	0	1	0.885	5	82	82
68	1	87	0	2	3	0.0527	0.0500	1	1	0.571	8	0	82
68	1	88	1	1	1	0.0527	0.0500	1	0	0.831	0	0	82
68	1	89	0	2	2	0.0527	0.0500	0	1	0.584	8	82	82
68	1	90	0	1	1	0.0527	0.0500	0	1	0.788	6	82	82
68	1	91	0	1	1	0.0527	0.0500	1	1	0.823	5	82	0
68	1	92	1	1	2	0.0527	0.0500	1	1	0.743	61	0	82
68	1	93	1	1	1	0.0527	0.0500	0	1	0.601	75	0	0
68	1	94	0	1	3	0.0527	0.0500	0	1	0.610	7	82	82
68	1	95	0	1	1	0.0527	0.0500	1	1	0.772	6	82	0
68	1	96	1	2	3	0.0527	0.0500	1	1	1.693	50	82	0
