sub	sess	t	loc	cue	co1	co2	or	resp	rt
93	1	1	2	2	0.0500	0.2290	1	1	2.982
93	1	2	2	2	0.0500	0.2290	1	0	0.995
93	1	3	2	3	0.0500	0.2290	0	1	0.852
93	1	4	1	1	0.0500	0.2290	0	1	1.195
93	1	5	1	1	0.0500	0.2290	0	1	1.281
93	1	6	1	2	0.0500	0.2290	0	1	0.676
93	1	7	1	3	0.0500	0.2290	0	1	0.717
93	1	8	2	2	0.0500	0.2290	0	1	0.662
93	1	9	2	2	0.0500	0.2290	0	1	1.307
93	1	10	1	1	0.0500	0.2290	1	1	0.667
93	1	11	2	2	0.0500	0.2290	1	0	0.759
93	1	12	2	3	0.0500	0.2290	1	1	0.912
93	1	13	1	3	0.0500	0.2290	0	1	0.667
93	1	14	1	1	0.0500	0.2290	1	1	0.676
93	1	15	2	3	0.0500	0.2290	1	0	0.852
93	1	16	2	2	0.0500	0.2290	1	1	1.444
93	1	17	1	1	0.0500	0.2290	1	1	0.657
93	1	18	1	1	0.0500	0.2290	0	1	0.661
93	1	19	1	3	0.0500	0.2290	1	1	0.680
93	1	20	1	1	0.0500	0.2290	1	1	0.921
93	1	21	2	2	0.0500	0.2290	1	1	0.863
93	1	22	1	1	0.0500	0.2290	1	1	0.645
93	1	23	1	1	0.0500	0.2290	0	1	0.561
93	1	24	2	1	0.0500	0.2290	0	1	0.783
93	1	25	1	1	0.0500	0.2290	1	1	0.673
93	1	26	2	1	0.0500	0.2290	1	1	0.912
93	1	27	2	3	0.0500	0.2290	1	0	0.673
93	1	28	2	2	0.0500	0.2290	0	1	0.792
93	1	29	1	3	0.0500	0.2290	1	0	1.206
93	1	30	1	3	0.0500	0.2290	1	1	0.937
93	1	31	1	2	0.0500	0.2290	0	0	0.881
93	1	32	1	3	0.0500	0.2290	0	1	0.778
93	1	33	1	2	0.0500	0.2290	1	1	0.800
93	1	34	1	1	0.0500	0.2290	1	0	0.630
93	1	35	1	1	0.0500	0.2290	0	1	0.818
93	1	36	2	2	0.0500	0.2290	0	1	0.837
93	1	37	2	2	0.0500	0.2290	0	1	0.739
93	1	38	2	2	0.0500	0.2290	0	1	0.714
93	1	39	1	1	0.0500	0.2290	0	1	0.866
93	1	40	2	1	0.0500	0.2290	1	1	0.743
93	1	41	2	3	0.0500	0.2290	0	1	0.679
93	1	42	2	2	0.0500	0.2290	1	1	0.874
93	1	43	2	2	0.0500	0.2290	1	1	0.676
93	1	44	1	3	0.0500	0.2290	1	1	0.761
93	1	45	2	3	0.0500	0.2290	0	1	0.847
93	1	46	2	3	0.0500	0.2290	1	0	0.716
93	1	47	1	1	0.0500	0.2290	0	1	0.821
93	1	48	1	1	0.0500	0.2290	0	1	0.730
93	1	49	2	2	0.0500	0.2290	1	1	0.950
