sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
96	1	2	0	2	-1	0.6471	0.4824	0	1	7.639
96	1	4	0	2	-1	0.6471	0.4824	0	1	3.256
96	1	6	0	2	-1	0.6471	0.4824	0	1	2.342
96	1	8	0	1	-1	0.6471	0.4824	1	1	1.762
96	1	10	0	1	-1	0.6471	0.4824	1	0	5.124
96	1	12	0	1	-1	0.6471	0.4824	1	0	1.693
96	1	14	0	2	-1	0.6471	0.4824	0	0	2.433
96	1	16	0	1	-1	0.6471	0.4824	0	1	1.395
96	1	18	0	1	-1	0.6471	0.4824	0	1	1.965
96	1	20	0	1	-1	0.6471	0.4824	1	1	0.283
96	1	22	0	1	-1	0.6471	0.4824	1	0	0.252
96	1	24	0	1	-1	0.6471	0.4824	0	0	-0.161
96	1	26	0	1	-1	0.6471	0.4824	0	1	0.235
96	1	28	0	2	-1	0.6471	0.4824	1	1	0.581
96	1	30	0	2	-1	0.6471	0.4824	0	1	0.869
96	1	32	0	1	-1	0.6471	0.4824	1	1	0.735
96	1	34	0	2	-1	0.6471	0.4824	1	0	0.634
96	1	36	0	2	-1	0.6471	0.4824	1	1	0.452
96	1	38	0	2	-1	0.6471	0.4824	1	1	0.495
96	1	40	0	2	-1	0.6471	0.4824	1	1	0.656
96	1	42	0	1	-1	0.6471	0.4824	0	1	0.279
96	1	44	0	1	-1	0.6471	0.4824	0	0	0.341
96	1	46	0	2	-1	0.6471	0.4824	1	1	0.481
96	1	48	0	2	-1	0.6471	0.4824	0	0	0.419
96	1	50	0	1	-1	0.6471	0.4824	0	1	0.281
96	1	52	0	2	-1	0.6471	0.4824	0	0	0.364
96	1	54	0	2	-1	0.6471	0.4824	1	0	0.276
96	1	56	0	2	-1	0.6471	0.4824	1	1	0.360
96	1	58	0	1	-1	0.6471	0.4824	1	1	0.291
96	1	60	0	2	-1	0.6471	0.4824	0	1	0.258
96	1	62	0	1	-1	0.6471	0.4824	1	1	0.151
96	1	64	0	1	-1	0.6471	0.4824	0	0	0.364
96	1	66	1	2	-1	0.6471	0.4824	0	0	0.779
96	1	68	1	2	-1	0.6471	0.4824	1	0	0.771
96	1	70	1	2	-1	0.6471	0.4824	0	1	0.694
96	1	72	1	2	-1	0.6471	0.4824	1	1	0.370
96	1	74	1	1	-1	0.6471	0.4824	0	0	2.173
96	1	76	1	1	-1	0.6471	0.4824	1	1	0.553
96	1	78	1	2	-1	0.6471	0.4824	1	1	0.620
96	1	80	1	1	-1	0.6471	0.4824	0	0	0.626
96	1	82	1	1	-1	0.6471	0.4824	1	0	0.674
96	1	84	1	1	-1	0.6471	0.4824	0	0	0.420
96	1	86	1	2	-1	0.6471	0.4824	1	0	0.464
96	1	88	1	2	-1	0.6471	0.4824	0	0	0.462
96	1	90	1	1	-1	0.6471	0.4824	1	1	0.461
96	1	92	1	2	-1	0.6471	0.4824	0	1	0.613
96	1	94	1	1	-1	0.6471	0.4824	1	1	0.518
96	1	96	1	2	-1	0.6471	0.4824	0	1	0.542
96	1	98	1	1	-1	0.6471	0.4824	1	1	0.372
96	1	100	1	1	-1	0.6471	0.4824	0	0	0.731
96	1	102	1	1	-1	0.6471	0.4824	1	0	0.379
96	1	104	1	2	-1	0.6471	0.4824	1	1	0.289
96	1	106	1	2	-1	0.6471	0.4824	0	0	0.237
96	1	108	1	2	-1	0.6471	0.4824	0	1	-0.006
96	1	110	1	1	-1	0.6471	0.4824	1	1	-0.008
96	1	112	1	2	-1	0.6471	0.4824	1	0	-0.087
96	1	114	1	1	-1	0.6471	0.4824	0	0	-0.098
96	1	116	1	2	-1	0.6471	0.4824	0	1	-0.014
96	1	118	1	1	-1	0.6471	0.4824	1	1	0.289
96	1	120	1	2	-1	0.6471	0.4824	1	0	0.235
96	1	122	1	2	-1	0.6471	0.4824	1	1	0.202
96	1	124	1	1	-1	0.6471	0.4824	0	0	0.253
96	1	126	1	1	-1	0.6471	0.4824	0	1	0.217
96	1	128	1	1	-1	0.6471	0.4824	0	1	0.076
