sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt	rew_tot	left_col	right_col
90	1	1	1	1	3	0.5201	0.2220	1	1	0.802	55	0	82
90	1	2	0	1	3	0.5201	0.2220	1	1	0.631	7	82	0
90	1	3	0	2	3	0.5201	0.2220	1	1	0.724	6	0	82
90	1	4	0	1	1	0.5201	0.2220	0	1	0.853	5	82	82
90	1	5	0	1	1	0.5201	0.2220	1	1	1.316	5	82	0
90	1	6	1	1	3	0.5201	0.2220	0	1	0.660	69	0	0
90	1	7	9	2	2	0.5201	0.2220	0	1	0.715	0	0	0
90	1	8	0	2	3	0.5201	0.2220	1	1	0.743	6	0	82
90	1	9	1	1	3	0.5201	0.2220	1	1	0.740	61	0	82
90	1	10	1	1	3	0.5201	0.2220	1	1	0.584	77	0	82
90	1	11	1	1	3	0.5201	0.2220	0	0	0.682	0	0	0
90	1	12	0	2	1	0.5201	0.2220	0	1	0.871	5	82	82
90	1	13	0	2	3	0.5201	0.2220	0	1	0.668	7	82	82
90	1	14	1	2	2	0.5201	0.2220	0	1	0.727	62	0	0
90	1	15	9	2	2	0.5201	0.2220	1	1	0.666	0	82	0
90	1	16	1	2	2	0.5201	0.2220	1	1	0.544	81	82	0
90	1	17	9	1	1	0.5201	0.2220	0	1	1.110	0	82	82
90	1	18	0	1	3	0.5201	0.2220	1	0	1.755	0	82	0
90	1	19	0	1	3	0.5201	0.2220	0	1	1.122	5	82	82
90	1	20	0	1	3	0.5201	0.2220	1	1	1.370	5	82	0
90	1	21	0	2	2	0.5201	0.2220	0	1	0.776	6	82	82
90	1	22	1	1	1	0.5201	0.2220	1	1	0.924	50	0	82
90	1	23	1	2	2	0.5201	0.2220	1	1	0.732	62	82	0
90	1	24	0	2	3	0.5201	0.2220	0	1	0.799	6	82	82
90	1	25	0	1	1	0.5201	0.2220	0	1	0.815	5	82	82
90	1	26	9	1	2	0.5201	0.2220	0	1	0.777	0	0	0
90	1	27	0	2	2	0.5201	0.2220	0	1	0.580	8	82	82
90	1	28	0	2	2	0.5201	0.2220	1	0	1.461	0	0	82
90	1	29	1	1	1	0.5201	0.2220	0	1	1.613	50	0	0
90	1	30	1	2	3	0.5201	0.2220	0	1	0.677	67	0	0
90	1	31	9	1	3	0.5201	0.2220	0	1	0.660	0	82	82
90	1	32	1	2	1	0.5201	0.2220	1	1	0.707	64	82	0
90	1	33	0	1	3	0.5201	0.2220	0	1	0.906	5	82	82
90	1	34	1	1	3	0.5201	0.2220	1	1	0.766	58	0	82
90	1	35	9	2	2	0.5201	0.2220	0	1	0.701	0	82	82
90	1	36	9	1	1	0.5201	0.2220	0	1	1.023	0	82	82
90	1	37	1	2	2	0.5201	0.2220	0	1	0.630	72	0	0
90	1	38	0	2	3	0.5201	0.2220	1	1	0.826	5	0	82
90	1	39	1	1	1	0.5201	0.2220	1	1	0.713	64	0	82
90	1	40	9	1	3	0.5201	0.2220	1	1	0.675	0	0	82
90	1	41	0	2	3	0.5201	0.2220	1	1	0.843	5	0	82
90	1	42	1	1	3	0.5201	0.2220	1	1	0.600	75	0	82
90	1	43	1	1	2	0.5201	0.2220	1	1	0.585	77	0	82
90	1	44	1	2	2	0.5201	0.2220	1	1	0.603	75	82	0
90	1	45	1	1	3	0.5201	0.2220	1	1	0.577	77	0	82
90	1	46	0	2	1	0.5201	0.2220	1	1	1.084	5	0	82
90	1	47	9	1	3	0.5201	0.2220	0	1	0.740	0	0	0
90	1	48	9	2	3	0.5201	0.2220	0	1	0.581	0	82	82
90	1	49	1	2	3	0.5201	0.2220	0	1	0.551	80	0	0
90	1	50	0	1	1	0.5201	0.2220	0	1	1.133	5	82	82
90	1	51	9	1	1	0.5201	0.2220	0	1	0.641	0	0	0
90	1	52	0	1	3	0.5201	0.2220	1	0	1.623	0	82	0
90	1	53	1	1	1	0.5201	0.2220	0	1	0.701	65	0	0
90	1	54	9	1	3	0.5201	0.2220	0	1	0.722	0	0	0
90	1	55	1	1	2	0.5201	0.2220	0	1	0.592	76	0	0
90	1	56	9	1	2	0.5201	0.2220	1	1	1.415	0	82	0
90	1	57	0	1	1	0.5201	0.2220	1	1	1.013	5	82	0
90	1	58	0	2	3	0.5201	0.2220	0	1	0.721	6	82	82
90	1	59	0	2	2	0.5201	0.2220	0	1	0.631	7	82	82
90	1	60	0	1	2	0.5201	0.2220	1	1	1.133	5	82	0
90	1	61	0	1	1	0.5201	0.2220	0	1	0.735	6	82	82
90	1	62	9	1	3	0.5201	0.2220	0	1	0.671	0	82	82
90	1	63	9	2	3	0.5201	0.2220	1	1	0.878	0	0	82
90	1	64	1	1	2	0.5201	0.2220	1	1	0.795	55	0	82
90	1	65	9	2	3	0.5201	0.2220	1	1	0.837	0	82	0
90	1	66	9	2	2	0.5201	0.2220	0	1	0.844	0	82	82
90	1	67	0	1	1	0.5201	0.2220	1	1	0.740	6	82	0
90	1	68	1	1	1	0.5201	0.2220	1	1	0.777	57	0	82
90	1	69	0	1	3	0.5201	0.2220	0	1	1.176	5	82	82
90	1	70	9	1	1	0.5201	0.2220	1	1	0.970	0	82	0
90	1	71	9	1	1	0.5201	0.2220	1	1	1.248	0	82	0
90	1	72	0	1	1	0.5201	0.2220	1	1	1.030	5	82	0
90	1	73	1	2	2	0.5201	0.2220	1	1	0.686	66	82	0
90	1	74	1	2	2	0.5201	0.2220	0	1	0.845	50	0	0
90	1	75	0	2	2	0.5201	0.2220	0	1	0.720	6	82	82
90	1	76	1	1	1	0.5201	0.2220	1	1	0.634	72	0	82
90	1	77	0	1	1	0.5201	0.2220	1	1	1.011	5	82	0
90	1	78	0	1	3	0.5201	0.2220	0	1	0.806	5	82	82
90	1	79	1	1	1	0.5201	0.2220	0	1	0.836	51	0	0
90	1	80	0	1	3	0.5201	0.2220	1	1	0.763	6	82	0
90	1	81	1	2	3	0.5201	0.2220	1	1	0.667	68	82	0
90	1	82	0	2	3	0.5201	0.2220	0	1	0.582	8	82	82
90	1	83	1	1	3	0.5201	0.2220	0	1	0.811	54	0	0
90	1	84	0	2	3	0.5201	0.2220	0	1	0.570	8	82	82
90	1	85	0	2	2	0.5201	0.2220	1	1	0.686	7	0	82
90	1	86	0	1	3	0.5201	0.2220	1	1	1.042	5	82	0
90	1	87	1	1	1	0.5201	0.2220	0	1	1.088	50	0	0
90	1	88	1	1	1	0.5201	0.2220	1	1	0.722	63	0	82
90	1	89	1	2	3	0.5201	0.2220	1	1	0.645	71	82	0
90	1	90	0	2	3	0.5201	0.2220	1	1	0.771	6	0	82
90	1	91	1	2	2	0.5201	0.2220	1	1	0.532	82	82	0
90	1	92	1	1	1	0.5201	0.2220	1	1	1.089	50	0	82
90	1	93	0	1	3	0.5201	0.2220	1	1	1.544	5	82	0
90	1	94	1	1	2	0.5201	0.2220	1	1	0.756	59	0	82
90	1	95	1	2	3	0.5201	0.2220	1	1	0.763	59	82	0
90	1	96	0	1	1	0.5201	0.2220	0	1	1.030	5	82	82
90	1	97	1	2	3	0.5201	0.2220	0	1	0.715	63	0	0
90	1	98	0	2	3	0.5201	0.2220	1	1	0.675	7	0	82
90	1	99	1	2	1	0.5201	0.2220	0	1	0.598	75	0	0
90	1	100	1	2	2	0.5201	0.2220	1	1	0.560	79	82	0
90	1	101	1	2	3	0.5201	0.2220	1	1	0.601	75	82	0
90	1	102	9	2	2	0.5201	0.2220	0	1	0.662	0	82	82
90	1	103	0	1	3	0.5201	0.2220	0	1	0.985	5	82	82
90	1	104	9	2	2	0.5201	0.2220	1	1	0.676	0	82	0
90	1	105	1	1	2	0.5201	0.2220	0	0	0.928	0	0	0
90	1	106	9	2	2	0.5201	0.2220	1	1	0.702	0	0	82
90	1	107	1	1	3	0.5201	0.2220	1	1	1.013	50	0	82
90	1	108	0	1	3	0.5201	0.2220	1	1	0.986	5	82	0
90	1	109	9	2	1	0.5201	0.2220	1	1	0.702	0	0	82
90	1	110	0	2	3	0.5201	0.2220	0	1	0.648	7	82	82
90	1	111	1	1	1	0.5201	0.2220	0	0	1.343	0	0	0
90	1	112	0	1	3	0.5201	0.2220	0	1	0.944	5	82	82
90	1	113	0	1	2	0.5201	0.2220	0	1	0.580	8	82	82
90	1	114	1	2	3	0.5201	0.2220	0	1	1.110	50	0	0
90	1	115	0	1	3	0.5201	0.2220	1	1	0.718	6	82	0
90	1	116	0	1	2	0.5201	0.2220	0	1	0.810	5	82	82
90	1	117	0	1	1	0.5201	0.2220	1	1	0.710	6	82	0
90	1	118	1	1	1	0.5201	0.2220	1	1	0.671	68	0	82
90	1	119	0	2	2	0.5201	0.2220	0	1	0.683	7	82	82
90	1	120	1	1	1	0.5201	0.2220	0	1	0.781	57	0	0
90	1	121	9	2	3	0.5201	0.2220	0	1	0.572	0	82	82
90	1	122	0	1	3	0.5201	0.2220	0	1	0.726	6	82	82
90	1	123	0	1	1	0.5201	0.2220	1	1	0.649	7	82	0
90	1	124	9	1	3	0.5201	0.2220	1	1	0.696	0	82	0
90	1	125	1	1	3	0.5201	0.2220	0	1	0.796	55	0	0
90	1	126	0	1	3	0.5201	0.2220	1	1	0.925	5	82	0
90	1	127	1	2	3	0.5201	0.2220	1	1	1.149	50	82	0
