sub	sess	t	loc	cue	co1	co2	or	resp	rt
9	1	1	1	1	0.0605	0.0984	0	1	1.628
9	1	2	2	2	0.0605	0.0984	0	1	3.338
9	1	3	1	1	0.0605	0.0984	0	1	0.640
9	1	4	2	2	0.0605	0.0984	1	1	0.587
9	1	5	1	1	0.0605	0.0984	1	1	0.547
9	1	6	2	1	0.0605	0.0984	0	1	1.297
9	1	7	2	2	0.0605	0.0984	1	1	0.602
9	1	8	1	1	0.0605	0.0984	0	1	0.650
9	1	9	2	3	0.0605	0.0984	1	1	0.760
9	1	10	1	3	0.0605	0.0984	0	1	0.975
9	1	11	2	2	0.0605	0.0984	0	1	1.418
9	1	12	2	3	0.0605	0.0984	0	1	0.695
9	1	13	2	2	0.0605	0.0984	0	1	0.698
9	1	14	1	1	0.0605	0.0984	1	1	0.656
9	1	15	1	3	0.0605	0.0984	1	1	1.275
9	1	16	1	3	0.0605	0.0984	1	1	0.767
9	1	17	2	2	0.0605	0.0984	1	1	0.627
9	1	18	1	1	0.0605	0.0984	0	1	0.793
9	1	19	1	3	0.0605	0.0984	0	1	1.433
9	1	20	2	3	0.0605	0.0984	1	1	0.615
9	1	21	2	1	0.0605	0.0984	1	1	1.128
9	1	22	2	2	0.0605	0.0984	1	1	0.881
9	1	23	1	3	0.0605	0.0984	1	1	1.189
9	1	24	2	2	0.0605	0.0984	0	1	0.578
9	1	25	2	2	0.0605	0.0984	0	1	0.485
9	1	26	1	2	0.0605	0.0984	0	1	0.899
9	1	27	1	1	0.0605	0.0984	1	1	0.621
9	1	28	2	3	0.0605	0.0984	0	1	0.704
9	1	29	1	2	0.0605	0.0984	1	1	0.867
9	1	30	1	1	0.0605	0.0984	1	1	0.553
9	1	31	2	1	0.0605	0.0984	1	1	1.056
9	1	32	1	1	0.0605	0.0984	1	1	0.658
9	1	33	1	1	0.0605	0.0984	1	1	0.721
9	1	34	2	1	0.0605	0.0984	0	1	0.736
9	1	35	1	1	0.0605	0.0984	1	1	0.862
9	1	36	1	1	0.0605	0.0984	0	0	1.361
9	1	37	1	1	0.0605	0.0984	0	1	0.833
9	1	38	2	3	0.0605	0.0984	1	1	0.604
9	1	39	1	2	0.0605	0.0984	1	1	0.746
9	1	40	1	1	0.0605	0.0984	1	1	0.586
9	1	41	2	2	0.0605	0.0984	0	1	0.714
9	1	42	2	2	0.0605	0.0984	1	1	0.613
9	1	43	2	2	0.0605	0.0984	1	0	0.804
9	1	44	1	1	0.0605	0.0984	0	0	1.003
9	1	45	1	2	0.0605	0.0984	0	1	0.611
9	1	46	1	3	0.0605	0.0984	1	1	0.590
9	1	47	2	2	0.0605	0.0984	0	1	0.517
9	1	48	2	2	0.0605	0.0984	0	1	0.564
9	1	49	2	3	0.0605	0.0984	0	1	0.576
9	1	50	2	3	0.0605	0.0984	0	1	0.541
9	1	51	2	2	0.0605	0.0984	1	1	0.542
9	1	52	2	2	0.0605	0.0984	1	1	0.746
9	1	53	1	3	0.0605	0.0984	0	1	0.987
9	1	54	2	3	0.0605	0.0984	1	1	0.595
9	1	55	1	1	0.0605	0.0984	0	1	0.667
9	1	56	1	3	0.0605	0.0984	0	1	0.512
9	1	57	1	3	0.0605	0.0984	0	1	2.032
9	1	58	1	1	0.0605	0.0984	0	1	0.536
9	1	59	2	2	0.0605	0.0984	1	1	0.673
9	1	60	1	1	0.0605	0.0984	0	1	0.650
9	1	61	1	1	0.0605	0.0984	1	1	0.648
9	1	62	1	1	0.0605	0.0984	0	1	0.564
9	1	63	1	1	0.0605	0.0984	1	1	0.506
9	1	64	2	2	0.0605	0.0984	0	1	0.655
9	1	65	2	1	0.0605	0.0984	0	1	1.069
9	1	66	2	2	0.0605	0.0984	0	1	0.443
9	1	67	2	3	0.0605	0.0984	1	1	0.537
9	1	68	1	3	0.0605	0.0984	1	0	0.603
9	1	69	2	3	0.0605	0.0984	0	1	0.561
9	1	70	1	3	0.0605	0.0984	1	0	0.832
9	1	71	2	2	0.0605	0.0984	0	1	0.555
9	1	72	1	2	0.0605	0.0984	0	1	0.883
9	1	73	2	3	0.0605	0.0984	1	1	0.622
9	1	74	1	1	0.0605	0.0984	0	1	0.527
9	1	75	2	2	0.0605	0.0984	1	1	0.800
9	1	76	2	2	0.0605	0.0984	0	1	0.531
9	1	77	2	2	0.0605	0.0984	1	1	0.576
9	1	78	1	3	0.0605	0.0984	1	1	1.186
9	1	79	1	1	0.0605	0.0984	1	1	0.666
9	1	80	1	1	0.0605	0.0984	0	1	0.560
9	1	81	2	2	0.0605	0.0984	1	1	0.647
9	1	82	1	1	0.0605	0.0984	0	1	0.437
9	1	83	2	3	0.0605	0.0984	0	1	0.557
9	1	84	1	1	0.0605	0.0984	1	1	0.593
9	1	85	2	2	0.0605	0.0984	1	1	0.560
9	1	86	2	2	0.0605	0.0984	1	1	0.729
9	1	87	1	1	0.0605	0.0984	1	1	0.689
9	1	88	2	1	0.0605	0.0984	1	0	0.592
9	1	89	1	3	0.0605	0.0984	0	0	1.482
9	1	90	2	2	0.0605	0.0984	1	1	0.624
9	1	91	1	2	0.0605	0.0984	1	1	0.845
9	1	92	1	1	0.0605	0.0984	1	1	2.533
9	1	93	1	2	0.0605	0.0984	0	1	0.571
9	1	94	2	3	0.0605	0.0984	1	1	0.678
9	1	95	2	2	0.0605	0.0984	0	1	0.516
9	1	96	1	1	0.0605	0.0984	0	1	0.485
9	1	97	1	1	0.0605	0.0984	1	1	3.118
9	1	98	2	2	0.0605	0.0984	0	1	0.551
9	1	99	2	2	0.0605	0.0984	0	1	0.663
9	1	100	2	1	0.0605	0.0984	1	1	0.972
9	1	101	1	2	0.0605	0.0984	1	1	1.304
9	1	102	2	3	0.0605	0.0984	0	1	0.540
9	1	103	1	1	0.0605	0.0984	1	1	1.083
9	1	104	1	3	0.0605	0.0984	1	1	0.808
9	1	105	2	2	0.0605	0.0984	0	1	0.491
9	1	106	2	3	0.0605	0.0984	1	1	0.617
9	1	107	2	2	0.0605	0.0984	1	1	0.524
9	1	108	1	3	0.0605	0.0984	0	1	0.950
9	1	109	2	1	0.0605	0.0984	0	0	0.950
9	1	110	1	3	0.0605	0.0984	0	1	0.810
