sub	sess	t	loc	co1	co2	or	resp	rt
128	1	1	2	1.0000	1.0000	0	0	13.032
128	1	2	1	1.0000	1.0000	0	1	3.878
128	1	3	2	1.0000	1.0000	1	1	2.800
128	1	4	2	1.0000	1.0000	0	1	3.171
128	1	5	1	1.0000	1.0000	0	1	1.484
128	1	6	1	1.0000	1.0000	0	1	1.379
128	1	7	2	1.0000	1.0000	1	1	0.804
128	1	8	2	1.0000	1.0000	1	1	0.623
128	1	9	1	1.0000	1.0000	0	1	0.618
128	1	10	2	1.0000	1.0000	0	0	0.612
128	1	11	2	1.0000	1.0000	1	1	0.670
128	1	12	1	1.0000	1.0000	1	0	0.557
128	1	13	1	1.0000	1.0000	1	0	0.985
128	1	14	1	1.0000	1.0000	1	0	1.322
128	1	15	2	1.0000	1.0000	0	0	0.925
128	1	16	1	1.0000	1.0000	1	0	1.419
128	1	17	1	1.0000	1.0000	0	0	0.659
128	1	18	1	1.0000	1.0000	1	0	0.823
128	1	19	2	1.0000	1.0000	0	1	2.833
128	1	20	2	1.0000	1.0000	1	1	1.315
128	1	21	2	1.0000	1.0000	1	1	1.302
128	1	22	1	1.0000	1.0000	0	1	1.734
128	1	23	2	1.0000	1.0000	0	1	1.314
128	1	24	1	1.0000	1.0000	1	0	1.136
128	1	25	1	1.0000	1.0000	1	0	1.564
128	1	26	2	1.0000	1.0000	0	1	1.470
128	1	27	1	1.0000	1.0000	0	1	1.022
128	1	28	2	1.0000	1.0000	0	1	1.901
128	1	29	1	1.0000	1.0000	1	0	0.889
128	1	30	2	1.0000	1.0000	1	1	0.797
128	1	31	1	1.0000	1.0000	0	1	0.798
128	1	32	1	1.0000	1.0000	1	0	0.703
128	1	33	2	1.0000	1.0000	1	1	1.133
128	1	34	2	1.0000	1.0000	0	0	1.026
128	1	35	1	1.0000	1.0000	0	1	1.178
128	1	36	1	1.0000	1.0000	1	0	1.980
128	1	37	2	1.0000	1.0000	1	0	1.238
128	1	38	2	1.0000	1.0000	0	0	0.789
128	1	39	2	1.0000	1.0000	1	0	1.032
128	1	40	2	1.0000	1.0000	1	1	0.663
128	1	41	1	1.0000	1.0000	1	0	1.311
128	1	42	2	1.0000	1.0000	1	0	1.876
128	1	43	2	1.0000	1.0000	0	1	1.416
128	1	44	2	1.0000	1.0000	0	1	1.041
128	1	45	1	1.0000	1.0000	0	0	1.760
128	1	46	1	1.0000	1.0000	0	1	0.860
128	1	47	1	1.0000	1.0000	1	1	1.562
128	1	48	1	1.0000	1.0000	0	1	1.526
128	1	49	2	1.0000	1.0000	1	0	0.914
128	1	50	1	1.0000	1.0000	0	0	1.695
128	1	51	1	1.0000	1.0000	0	1	0.915
128	1	52	1	1.0000	1.0000	0	0	0.686
128	1	53	2	1.0000	1.0000	0	1	0.878
128	1	54	2	1.0000	1.0000	1	1	0.602
128	1	55	1	1.0000	1.0000	0	1	0.901
128	1	56	1	1.0000	1.0000	1	1	1.129
128	1	57	2	1.0000	1.0000	0	1	1.212
128	1	58	2	1.0000	1.0000	1	1	1.355
128	1	59	1	1.0000	1.0000	1	0	1.390
128	1	60	1	1.0000	1.0000	1	0	0.808
128	1	61	1	1.0000	1.0000	1	1	1.099
128	1	62	1	1.0000	1.0000	1	0	1.202
128	1	63	2	1.0000	1.0000	1	1	0.818
128	1	64	1	1.0000	1.0000	0	1	1.113
128	1	65	2	1.0000	1.0000	0	0	1.245
128	1	66	2	1.0000	1.0000	0	0	2.724
128	1	67	2	1.0000	1.0000	1	1	0.722
128	1	68	2	1.0000	1.0000	1	1	1.096
128	1	69	2	1.0000	1.0000	0	1	1.182
128	1	70	1	1.0000	1.0000	1	0	1.769
128	1	71	1	1.0000	1.0000	0	0	1.197
128	1	72	2	1.0000	1.0000	0	1	1.196
128	1	73	1	1.0000	1.0000	0	1	1.836
128	1	74	2	1.0000	1.0000	0	1	1.067
128	1	75	2	1.0000	1.0000	0	1	0.855
128	1	76	1	1.0000	1.0000	0	1	1.358
128	1	77	1	1.0000	1.0000	1	1	0.904
128	1	78	1	1.0000	1.0000	0	1	0.780
128	1	79	1	1.0000	1.0000	1	1	0.958
128	1	80	2	1.0000	1.0000	1	1	0.794
128	1	81	2	1.0000	1.0000	0	1	0.948
128	1	82	1	1.0000	1.0000	0	1	0.960
128	1	83	1	1.0000	1.0000	1	1	1.482
128	1	84	1	1.0000	1.0000	0	1	0.607
128	1	85	2	1.0000	1.0000	1	1	0.703
128	1	86	1	1.0000	1.0000	0	1	1.319
128	1	87	1	1.0000	1.0000	1	1	1.845
128	1	88	1	1.0000	1.0000	0	1	0.662
