sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
95	1	2	0	1	-1	0.3336	0.1389	0	1	1.268
95	1	4	0	2	-1	0.3336	0.1389	1	1	1.831
95	1	6	0	1	-1	0.3336	0.1389	1	0	0.889
95	1	8	0	2	-1	0.3336	0.1389	1	1	0.928
95	1	10	0	2	-1	0.3336	0.1389	0	1	0.933
95	1	12	0	1	-1	0.3336	0.1389	1	1	0.921
95	1	14	0	2	-1	0.3336	0.1389	0	1	0.895
95	1	16	0	1	-1	0.3336	0.1389	1	1	0.870
95	1	18	0	2	-1	0.3336	0.1389	0	1	0.769
95	1	20	0	1	-1	0.3336	0.1389	1	1	1.666
95	1	22	0	1	-1	0.3336	0.1389	1	0	0.793
95	1	24	0	2	-1	0.3336	0.1389	0	1	1.543
95	1	26	0	2	-1	0.3336	0.1389	1	0	0.863
95	1	28	0	1	-1	0.3336	0.1389	0	1	0.868
95	1	30	0	1	-1	0.3336	0.1389	0	1	0.742
95	1	32	0	2	-1	0.3336	0.1389	0	1	0.697
95	1	34	0	1	-1	0.3336	0.1389	0	1	0.750
95	1	36	0	1	-1	0.3336	0.1389	1	0	0.674
95	1	38	0	2	-1	0.3336	0.1389	1	1	1.758
95	1	40	0	1	-1	0.3336	0.1389	0	1	0.749
95	1	42	0	2	-1	0.3336	0.1389	1	0	0.618
95	1	44	0	1	-1	0.3336	0.1389	0	0	0.858
95	1	46	0	2	-1	0.3336	0.1389	1	0	0.759
95	1	48	0	2	-1	0.3336	0.1389	0	1	0.652
95	1	50	0	2	-1	0.3336	0.1389	1	0	1.156
95	1	52	0	2	-1	0.3336	0.1389	0	1	1.807
95	1	54	0	2	-1	0.3336	0.1389	1	1	0.922
95	1	56	0	1	-1	0.3336	0.1389	0	1	0.723
95	1	58	0	1	-1	0.3336	0.1389	1	1	1.056
95	1	60	0	2	-1	0.3336	0.1389	0	0	0.700
95	1	62	0	1	-1	0.3336	0.1389	1	1	0.780
95	1	64	0	1	-1	0.3336	0.1389	0	1	0.719
95	1	66	1	2	-1	0.3336	0.1389	1	1	2.098
95	1	68	1	1	-1	0.3336	0.1389	1	1	0.916
95	1	70	1	1	-1	0.3336	0.1389	0	1	0.503
95	1	72	1	2	-1	0.3336	0.1389	1	0	0.728
95	1	74	1	2	-1	0.3336	0.1389	1	0	0.655
95	1	76	1	2	-1	0.3336	0.1389	0	1	1.155
95	1	78	1	1	-1	0.3336	0.1389	0	1	0.861
95	1	80	1	1	-1	0.3336	0.1389	0	1	0.603
95	1	82	1	1	-1	0.3336	0.1389	0	1	0.551
95	1	84	1	1	-1	0.3336	0.1389	0	0	0.665
95	1	86	1	2	-1	0.3336	0.1389	1	0	0.656
95	1	88	1	2	-1	0.3336	0.1389	1	0	0.905
95	1	90	1	1	-1	0.3336	0.1389	1	1	0.763
95	1	92	1	2	-1	0.3336	0.1389	1	1	0.940
95	1	94	1	2	-1	0.3336	0.1389	0	0	0.678
95	1	96	1	2	-1	0.3336	0.1389	0	1	0.835
95	1	98	1	2	-1	0.3336	0.1389	0	1	0.923
95	1	100	1	1	-1	0.3336	0.1389	1	0	0.764
95	1	102	1	2	-1	0.3336	0.1389	0	1	0.778
95	1	104	1	1	-1	0.3336	0.1389	0	1	0.613
95	1	106	1	2	-1	0.3336	0.1389	1	0	0.617
95	1	108	1	2	-1	0.3336	0.1389	0	1	0.917
95	1	110	1	1	-1	0.3336	0.1389	1	0	0.660
95	1	112	1	2	-1	0.3336	0.1389	0	1	0.840
95	1	114	1	2	-1	0.3336	0.1389	1	0	0.804
95	1	116	1	1	-1	0.3336	0.1389	1	0	1.251
95	1	118	1	1	-1	0.3336	0.1389	1	1	1.269
95	1	120	1	1	-1	0.3336	0.1389	1	0	0.983
95	1	122	1	1	-1	0.3336	0.1389	1	1	0.680
95	1	124	1	1	-1	0.3336	0.1389	0	1	0.517
95	1	126	1	1	-1	0.3336	0.1389	0	1	0.763
95	1	128	1	2	-1	0.3336	0.1389	0	0	1.394
