sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
122	1	1	1	2	-1	0.0804	0.0538	0	1	0.873
122	1	2	1	2	-1	0.0804	0.0538	0	1	0.807
122	1	3	1	1	-1	0.0804	0.0538	0	1	0.567
122	1	4	1	2	-1	0.0804	0.0538	0	1	0.978
122	1	5	1	1	-1	0.0804	0.0538	0	1	0.597
122	1	6	1	1	-1	0.0804	0.0538	1	1	0.544
122	1	7	1	2	-1	0.0804	0.0538	1	1	0.610
122	1	8	1	1	-1	0.0804	0.0538	0	1	0.579
122	1	9	1	2	-1	0.0804	0.0538	1	1	0.789
122	1	10	1	1	-1	0.0804	0.0538	0	1	0.576
122	1	11	1	1	-1	0.0804	0.0538	1	1	0.722
122	1	12	1	2	-1	0.0804	0.0538	1	1	0.974
122	1	13	1	2	-1	0.0804	0.0538	0	1	0.650
122	1	14	1	1	-1	0.0804	0.0538	0	1	0.504
122	1	15	1	2	-1	0.0804	0.0538	1	1	0.533
122	1	16	1	1	-1	0.0804	0.0538	1	1	0.450
122	1	17	1	1	-1	0.0804	0.0538	1	1	0.649
122	1	18	1	2	-1	0.0804	0.0538	1	1	0.511
122	1	19	1	2	-1	0.0804	0.0538	0	1	0.500
122	1	20	1	2	-1	0.0804	0.0538	0	1	0.407
122	1	21	1	1	-1	0.0804	0.0538	1	1	0.542
122	1	22	1	1	-1	0.0804	0.0538	0	1	0.474
122	1	23	1	1	-1	0.0804	0.0538	1	1	0.472
122	1	24	1	2	-1	0.0804	0.0538	0	1	0.533
122	1	25	1	1	-1	0.0804	0.0538	0	1	0.448
122	1	26	1	2	-1	0.0804	0.0538	1	1	0.575
122	1	27	1	2	-1	0.0804	0.0538	1	1	0.545
122	1	28	1	2	-1	0.0804	0.0538	0	1	0.542
122	1	29	1	1	-1	0.0804	0.0538	1	1	0.472
122	1	30	1	1	-1	0.0804	0.0538	0	1	0.453
122	1	31	1	2	-1	0.0804	0.0538	1	1	0.515
122	1	32	1	1	-1	0.0804	0.0538	1	1	0.541
122	1	33	0	1	-1	0.0804	0.0538	1	1	0.878
122	1	34	0	2	-1	0.0804	0.0538	0	1	0.500
122	1	35	0	2	-1	0.0804	0.0538	1	1	0.713
122	1	36	0	1	-1	0.0804	0.0538	0	1	0.365
122	1	37	0	2	-1	0.0804	0.0538	0	1	0.535
122	1	38	0	2	-1	0.0804	0.0538	0	1	0.523
122	1	39	0	2	-1	0.0804	0.0538	0	1	0.577
122	1	40	0	2	-1	0.0804	0.0538	0	1	0.459
122	1	41	0	2	-1	0.0804	0.0538	0	1	0.433
122	1	42	0	1	-1	0.0804	0.0538	1	1	0.464
122	1	43	0	2	-1	0.0804	0.0538	1	1	0.569
122	1	44	0	1	-1	0.0804	0.0538	1	1	0.484
122	1	45	0	2	-1	0.0804	0.0538	1	0	0.570
122	1	46	0	2	-1	0.0804	0.0538	1	1	0.796
122	1	47	0	2	-1	0.0804	0.0538	1	1	1.036
122	1	48	0	2	-1	0.0804	0.0538	0	1	0.586
122	1	49	0	1	-1	0.0804	0.0538	1	1	0.827
122	1	50	0	1	-1	0.0804	0.0538	0	1	0.724
122	1	51	0	1	-1	0.0804	0.0538	0	1	0.601
122	1	52	0	1	-1	0.0804	0.0538	0	1	0.457
122	1	53	0	2	-1	0.0804	0.0538	1	1	0.575
122	1	54	0	1	-1	0.0804	0.0538	1	1	0.553
122	1	55	0	2	-1	0.0804	0.0538	1	1	0.629
122	1	56	0	1	-1	0.0804	0.0538	1	1	0.549
122	1	57	0	1	-1	0.0804	0.0538	1	1	0.434
122	1	58	0	2	-1	0.0804	0.0538	1	1	0.600
122	1	59	0	1	-1	0.0804	0.0538	0	1	0.587
122	1	60	0	2	-1	0.0804	0.0538	0	1	0.845
122	1	61	0	1	-1	0.0804	0.0538	0	1	0.502
122	1	62	0	1	-1	0.0804	0.0538	0	1	0.684
122	1	63	0	1	-1	0.0804	0.0538	1	0	0.642
122	1	64	0	1	-1	0.0804	0.0538	0	1	0.442
