sub	sess	t	loc	co1	co2	or	resp	rt
19	1	1	1	1.0000	1.0000	0	0	2.145
19	1	2	2	1.0000	1.0000	0	1	1.407
19	1	3	1	1.0000	1.0000	1	1	0.954
19	1	4	2	1.0000	1.0000	1	0	0.632
19	1	5	1	1.0000	1.0000	1	1	1.546
19	1	6	1	1.0000	1.0000	1	1	0.823
19	1	7	2	1.0000	1.0000	1	1	1.461
19	1	8	1	1.0000	1.0000	0	1	1.003
19	1	9	2	1.0000	1.0000	0	1	0.738
19	1	10	1	1.0000	1.0000	0	0	0.698
19	1	11	2	1.0000	1.0000	1	1	0.874
19	1	12	1	1.0000	1.0000	0	1	0.971
19	1	13	1	1.0000	1.0000	0	1	0.886
19	1	14	2	1.0000	1.0000	0	1	0.874
19	1	15	2	1.0000	1.0000	1	1	1.046
19	1	16	1	1.0000	1.0000	0	1	0.904
19	1	17	2	1.0000	1.0000	0	1	0.981
19	1	18	1	1.0000	1.0000	1	1	0.838
19	1	19	2	1.0000	1.0000	1	1	1.143
19	1	20	2	1.0000	1.0000	0	1	0.597
19	1	21	1	1.0000	1.0000	1	1	1.914
19	1	22	2	1.0000	1.0000	0	1	0.834
19	1	23	1	1.0000	1.0000	1	1	1.972
19	1	24	1	1.0000	1.0000	0	0	1.039
19	1	25	2	1.0000	1.0000	1	1	1.099
19	1	26	2	1.0000	1.0000	0	1	0.766
19	1	27	1	1.0000	1.0000	0	0	0.800
19	1	28	2	1.0000	1.0000	1	1	0.832
19	1	29	2	0.2500	0.2500	0	1	0.670
19	1	30	2	0.2629	0.2629	1	1	0.989
19	1	31	2	0.2758	0.2758	1	1	0.703
19	1	32	1	0.2887	0.2887	1	1	1.055
19	1	33	2	0.3016	0.3016	0	1	0.767
19	1	34	1	0.3145	0.3145	1	1	0.929
19	1	35	1	0.3274	0.3274	0	1	0.749
19	1	36	2	0.3403	0.3403	1	1	0.773
19	1	37	2	0.3532	0.3532	1	1	1.506
19	1	38	2	0.3661	0.3661	0	1	0.587
19	1	39	1	0.3790	0.3790	1	0	0.880
19	1	40	1	0.3919	0.3919	0	1	1.136
19	1	41	1	0.4048	0.4048	0	1	0.790
19	1	42	2	0.4177	0.4177	0	1	0.699
19	1	43	2	0.4306	0.4306	0	1	0.670
19	1	44	2	0.4435	0.4435	1	1	1.257
19	1	45	2	0.4565	0.4565	1	1	0.772
19	1	46	2	0.4694	0.4694	0	1	0.577
19	1	47	2	0.4823	0.4823	0	1	0.575
19	1	48	1	0.4952	0.4952	0	0	0.862
19	1	49	2	0.5081	0.5081	0	1	0.727
19	1	50	1	0.5210	0.5210	0	1	1.381
19	1	51	2	0.5339	0.5339	0	1	0.729
19	1	52	1	0.5468	0.5468	0	1	0.784
19	1	53	2	0.5597	0.5597	1	1	0.693
19	1	54	1	0.5726	0.5726	1	1	0.750
19	1	55	1	0.5855	0.5855	1	1	0.595
19	1	56	2	0.5984	0.5984	1	1	0.809
19	1	57	2	0.6113	0.6113	1	1	0.577
19	1	58	2	0.6242	0.6242	0	1	0.610
19	1	59	1	0.6371	0.6371	1	1	0.529
19	1	60	2	0.6500	0.6500	1	0	1.019
19	1	61	1	0.2500	0.2500	0	1	0.748
19	1	62	2	0.2629	0.2629	0	1	0.568
19	1	63	2	0.2758	0.2758	1	1	0.775
19	1	64	2	0.2887	0.2887	0	1	0.617
19	1	65	2	0.3016	0.3016	0	1	0.509
19	1	66	2	0.3145	0.3145	1	1	0.584
19	1	67	1	0.3274	0.3274	1	1	0.626
19	1	68	1	0.3403	0.3403	1	1	0.597
19	1	69	2	0.3532	0.3532	0	1	0.555
19	1	70	1	0.3661	0.3661	1	1	0.735
19	1	71	2	0.3790	0.3790	1	1	0.709
19	1	72	1	0.3919	0.3919	0	0	0.737
19	1	73	1	0.4048	0.4048	0	0	0.767
19	1	74	1	0.4177	0.4177	1	1	0.669
19	1	75	1	0.4306	0.4306	1	1	0.691
19	1	76	1	0.4435	0.4435	0	1	0.531
19	1	77	1	0.4565	0.4565	0	1	0.659
19	1	78	2	0.4694	0.4694	1	1	1.043
19	1	79	1	0.4823	0.4823	1	1	0.728
19	1	80	2	0.4952	0.4952	1	1	0.937
19	1	81	1	0.5081	0.5081	1	1	0.672
19	1	82	2	0.5210	0.5210	1	1	1.214
19	1	83	1	0.5339	0.5339	0	1	0.997
19	1	84	1	0.5468	0.5468	0	1	1.010
19	1	85	1	0.5597	0.5597	0	1	0.742
19	1	86	1	0.5726	0.5726	0	1	0.558
19	1	87	2	0.5855	0.5855	0	1	0.630
19	1	88	1	0.5984	0.5984	0	1	0.754
19	1	89	1	0.6113	0.6113	1	1	0.684
19	1	90	1	0.6242	0.6242	1	1	0.621
19	1	91	1	0.6371	0.6371	1	1	0.618
19	1	92	2	0.6500	0.6500	0	1	0.643
19	1	93	1	0.3962	0.6500	1	1	0.539
19	1	94	2	0.3962	0.1510	0	1	1.533
19	1	95	1	0.3912	0.1510	1	1	0.596
19	1	96	1	0.3864	0.1510	0	1	0.974
19	1	97	2	0.3864	0.1407	0	1	0.699
19	1	98	1	0.3817	0.1407	0	1	0.705
19	1	99	2	0.3817	0.1302	0	1	0.561
19	1	100	2	0.3817	0.1196	1	1	0.722
19	1	101	1	0.3770	0.1196	0	1	0.890
19	1	102	1	0.3725	0.1196	0	1	0.862
19	1	103	1	0.3680	0.1196	1	1	0.576
19	1	104	2	0.3680	0.1089	1	1	0.720
19	1	105	1	0.3636	0.1089	1	1	0.891
19	1	106	1	0.3592	0.1089	1	1	0.571
19	1	107	2	0.3592	0.0980	1	0	1.710
19	1	108	1	0.3549	0.0980	0	1	0.883
19	1	109	1	0.3507	0.0980	1	1	0.537
19	1	110	1	0.3466	0.0980	1	1	0.629
19	1	111	1	0.3424	0.0980	0	1	0.663
19	1	112	2	0.3424	0.1301	0	1	0.779
19	1	113	2	0.3424	0.1215	1	1	1.066
19	1	114	2	0.3424	0.1129	1	1	0.846
19	1	115	2	0.3424	0.1044	0	1	0.579
19	1	116	2	0.3424	0.0959	1	1	0.847
19	1	117	1	0.3383	0.0959	1	1	0.657
19	1	118	2	0.3383	0.0876	0	1	0.637
19	1	119	2	0.3383	0.0794	1	0	0.744
19	1	120	1	0.3343	0.0794	0	1	1.061
19	1	121	1	0.3303	0.0794	0	1	0.644
19	1	122	2	0.3303	0.1035	0	1	0.704
19	1	123	1	0.3264	0.1035	1	1	0.576
19	1	124	2	0.3264	0.0962	0	1	0.573
19	1	125	1	0.3224	0.0962	0	1	0.708
19	1	126	1	0.3185	0.0962	1	1	0.774
19	1	127	2	0.3185	0.0891	1	1	0.703
19	1	128	2	0.3185	0.0823	1	1	0.941
19	1	129	2	0.3185	0.0755	0	1	1.096
19	1	130	2	0.3185	0.0690	1	1	0.762
19	1	131	2	0.3185	0.0626	1	1	0.843
19	1	132	1	0.3146	0.0626	0	0	0.748
19	1	133	2	0.3146	0.0564	0	1	0.585
19	1	134	2	0.3146	0.0504	0	1	0.643
19	1	135	1	0.3258	0.0504	0	1	1.021
19	1	136	1	0.3222	0.0504	1	1	0.741
19	1	137	1	0.3185	0.0504	1	1	0.584
19	1	138	1	0.3150	0.0504	0	1	0.586
19	1	139	2	0.3150	0.0446	0	1	0.653
19	1	140	2	0.3150	0.0389	1	0	0.657
19	1	141	2	0.3150	0.0557	0	1	0.858
19	1	142	1	0.3115	0.0557	1	1	0.764
19	1	143	2	0.3115	0.0502	1	1	0.905
19	1	144	1	0.3079	0.0502	1	1	0.748
19	1	145	1	0.3045	0.0502	0	1	0.614
19	1	146	2	0.3045	0.0451	0	1	0.519
19	1	147	1	0.3010	0.0451	1	1	0.403
19	1	148	1	0.2975	0.0451	0	1	0.663
19	1	149	2	0.2975	0.0399	0	1	0.681
19	1	150	1	0.2941	0.0399	1	1	0.693
19	1	151	1	0.2906	0.0399	0	1	0.551
19	1	152	2	0.2906	0.0351	1	0	0.794
19	1	153	2	0.2906	0.0499	1	1	0.599
19	1	154	1	0.2871	0.0499	0	1	0.664
19	1	155	2	0.2871	0.0453	0	1	0.549
19	1	156	2	0.2871	0.0406	1	0	0.512
