sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
116	1	2	0	2	-1	0.0500	0.0924	1	1	2.386
116	1	4	0	1	-1	0.0500	0.0924	0	1	1.187
116	1	6	0	1	-1	0.0500	0.0924	1	1	0.928
116	1	8	0	1	-1	0.0500	0.0924	1	1	0.786
116	1	10	0	2	-1	0.0500	0.0924	1	1	0.802
116	1	12	0	2	-1	0.0500	0.0924	1	1	2.572
116	1	14	0	2	-1	0.0500	0.0924	1	1	0.522
116	1	16	0	2	-1	0.0500	0.0924	0	1	0.483
116	1	18	0	2	-1	0.0500	0.0924	1	1	0.532
116	1	20	0	2	-1	0.0500	0.0924	0	1	0.527
116	1	22	0	2	-1	0.0500	0.0924	1	1	0.568
116	1	24	0	2	-1	0.0500	0.0924	0	1	0.475
116	1	26	0	2	-1	0.0500	0.0924	0	1	0.518
116	1	28	0	1	-1	0.0500	0.0924	1	1	0.556
116	1	30	0	1	-1	0.0500	0.0924	1	1	0.728
116	1	32	0	2	-1	0.0500	0.0924	1	1	0.602
116	1	34	0	1	-1	0.0500	0.0924	0	1	0.497
116	1	36	0	1	-1	0.0500	0.0924	1	1	0.473
116	1	38	0	2	-1	0.0500	0.0924	0	1	0.531
116	1	40	0	1	-1	0.0500	0.0924	0	1	1.575
116	1	42	0	1	-1	0.0500	0.0924	0	1	0.650
116	1	44	0	1	-1	0.0500	0.0924	0	1	0.532
116	1	46	0	1	-1	0.0500	0.0924	1	0	1.035
116	1	48	0	2	-1	0.0500	0.0924	1	1	0.514
116	1	50	0	1	-1	0.0500	0.0924	0	0	0.868
116	1	52	0	1	-1	0.0500	0.0924	1	1	0.661
116	1	54	0	2	-1	0.0500	0.0924	0	1	0.526
116	1	56	0	2	-1	0.0500	0.0924	0	1	0.516
116	1	58	0	1	-1	0.0500	0.0924	0	1	0.774
116	1	60	0	1	-1	0.0500	0.0924	1	1	0.522
116	1	62	0	1	-1	0.0500	0.0924	0	1	0.628
116	1	64	0	2	-1	0.0500	0.0924	0	1	0.516
116	1	66	1	2	-1	0.0500	0.0924	1	1	0.684
116	1	68	1	1	-1	0.0500	0.0924	0	0	1.175
116	1	70	1	1	-1	0.0500	0.0924	0	1	0.560
116	1	72	1	2	-1	0.0500	0.0924	0	1	0.425
116	1	74	1	1	-1	0.0500	0.0924	1	1	0.434
116	1	76	1	1	-1	0.0500	0.0924	1	1	0.479
116	1	78	1	1	-1	0.0500	0.0924	1	1	0.607
116	1	80	1	2	-1	0.0500	0.0924	0	1	0.473
116	1	82	1	2	-1	0.0500	0.0924	1	1	0.555
116	1	84	1	1	-1	0.0500	0.0924	1	1	0.778
116	1	86	1	2	-1	0.0500	0.0924	0	1	0.477
116	1	88	1	1	-1	0.0500	0.0924	0	0	0.669
116	1	90	1	2	-1	0.0500	0.0924	0	1	2.679
116	1	92	1	1	-1	0.0500	0.0924	1	1	0.602
116	1	94	1	2	-1	0.0500	0.0924	0	1	0.883
116	1	96	1	1	-1	0.0500	0.0924	0	1	0.624
116	1	98	1	2	-1	0.0500	0.0924	0	1	0.724
116	1	100	1	1	-1	0.0500	0.0924	0	1	0.711
116	1	102	1	2	-1	0.0500	0.0924	1	1	0.792
116	1	104	1	1	-1	0.0500	0.0924	0	1	0.522
116	1	106	1	2	-1	0.0500	0.0924	1	1	0.537
116	1	108	1	1	-1	0.0500	0.0924	1	1	0.766
116	1	110	1	1	-1	0.0500	0.0924	0	1	0.505
116	1	112	1	1	-1	0.0500	0.0924	0	1	0.636
116	1	114	1	1	-1	0.0500	0.0924	1	1	0.519
116	1	116	1	2	-1	0.0500	0.0924	1	1	0.627
116	1	118	1	2	-1	0.0500	0.0924	0	1	0.464
116	1	120	1	1	-1	0.0500	0.0924	1	1	0.704
116	1	122	1	2	-1	0.0500	0.0924	1	1	0.541
116	1	124	1	2	-1	0.0500	0.0924	1	1	0.516
116	1	126	1	2	-1	0.0500	0.0924	1	1	0.661
116	1	128	1	2	-1	0.0500	0.0924	0	1	0.562
