sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
16	1	1	0	2	-1	0.0500	0.0500	0	1	1.116
16	1	2	0	2	-1	0.0500	0.0500	1	1	0.807
16	1	3	0	1	-1	0.0500	0.0500	0	1	0.888
16	1	4	0	2	-1	0.0500	0.0500	0	1	0.680
16	1	5	0	2	-1	0.0500	0.0500	0	1	0.743
16	1	6	0	1	-1	0.0500	0.0500	0	1	0.753
16	1	7	0	1	-1	0.0500	0.0500	1	1	0.516
16	1	8	0	1	-1	0.0500	0.0500	0	1	0.558
16	1	9	0	2	-1	0.0500	0.0500	1	1	0.529
16	1	10	0	1	-1	0.0500	0.0500	1	1	0.990
16	1	11	0	2	-1	0.0500	0.0500	1	1	0.521
16	1	12	0	2	-1	0.0500	0.0500	0	1	0.573
16	1	13	0	1	-1	0.0500	0.0500	1	1	0.586
16	1	14	0	1	-1	0.0500	0.0500	1	0	0.684
16	1	15	0	1	-1	0.0500	0.0500	0	1	0.595
16	1	16	0	2	-1	0.0500	0.0500	1	1	0.645
16	1	17	0	1	-1	0.0500	0.0500	0	1	0.934
16	1	18	0	1	-1	0.0500	0.0500	0	1	0.624
16	1	19	0	2	-1	0.0500	0.0500	1	1	0.528
16	1	20	0	1	-1	0.0500	0.0500	0	1	0.579
16	1	21	0	2	-1	0.0500	0.0500	0	1	0.987
16	1	22	0	1	-1	0.0500	0.0500	1	1	0.477
16	1	23	0	2	-1	0.0500	0.0500	0	0	0.860
16	1	24	0	1	-1	0.0500	0.0500	0	1	0.636
16	1	25	0	1	-1	0.0500	0.0500	1	1	0.454
16	1	26	0	2	-1	0.0500	0.0500	1	1	0.508
16	1	27	0	2	-1	0.0500	0.0500	1	1	0.503
16	1	28	0	2	-1	0.0500	0.0500	0	1	0.539
16	1	29	0	2	-1	0.0500	0.0500	1	1	0.462
16	1	30	0	1	-1	0.0500	0.0500	1	1	0.443
16	1	31	0	2	-1	0.0500	0.0500	0	1	0.812
16	1	32	0	1	-1	0.0500	0.0500	1	1	0.527
16	1	33	9	2	-1	0.0500	0.0500	0	1	0.663
16	1	34	9	2	-1	0.0500	0.0500	0	1	0.799
16	1	35	9	2	-1	0.0500	0.0500	0	1	0.649
16	1	36	9	1	-1	0.0500	0.0500	0	1	0.849
16	1	37	9	2	-1	0.0500	0.0500	1	1	0.681
16	1	38	9	2	-1	0.0500	0.0500	0	1	0.566
16	1	39	9	2	-1	0.0500	0.0500	1	1	0.561
16	1	40	9	2	-1	0.0500	0.0500	1	1	0.524
16	1	41	9	2	-1	0.0500	0.0500	1	1	0.712
16	1	42	9	1	-1	0.0500	0.0500	1	1	0.570
16	1	43	9	2	-1	0.0500	0.0500	1	1	0.509
16	1	44	9	1	-1	0.0500	0.0500	0	1	0.476
16	1	45	9	1	-1	0.0500	0.0500	0	1	0.483
16	1	46	9	1	-1	0.0500	0.0500	1	1	0.554
16	1	47	9	2	-1	0.0500	0.0500	0	1	0.917
16	1	48	9	1	-1	0.0500	0.0500	0	1	0.458
16	1	49	9	2	-1	0.0500	0.0500	0	1	1.018
16	1	50	9	1	-1	0.0500	0.0500	1	1	0.441
16	1	51	9	2	-1	0.0500	0.0500	1	1	0.497
16	1	52	9	2	-1	0.0500	0.0500	1	1	0.433
16	1	53	9	1	-1	0.0500	0.0500	1	1	0.379
16	1	54	9	2	-1	0.0500	0.0500	1	1	0.484
16	1	55	9	2	-1	0.0500	0.0500	0	1	0.482
16	1	56	9	1	-1	0.0500	0.0500	1	1	0.458
16	1	57	9	1	-1	0.0500	0.0500	1	1	0.472
16	1	58	9	1	-1	0.0500	0.0500	0	1	0.528
16	1	59	9	1	-1	0.0500	0.0500	0	1	0.580
16	1	60	9	1	-1	0.0500	0.0500	0	1	0.508
16	1	61	9	1	-1	0.0500	0.0500	1	1	0.523
16	1	62	9	1	-1	0.0500	0.0500	1	1	0.449
16	1	63	9	2	-1	0.0500	0.0500	0	1	0.512
16	1	64	9	1	-1	0.0500	0.0500	0	1	0.524
