sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt	rew_tot	left_col	right_col
79	1	1	0	1	1	0.0500	0.0500	0	1	0.974	5	0	0
79	1	2	1	2	2	0.0500	0.0500	0	1	0.630	72	82	82
79	1	3	0	1	1	0.0500	0.0500	0	1	1.109	5	0	0
79	1	4	0	2	3	0.0500	0.0500	1	1	0.694	7	82	0
79	1	5	1	2	3	0.0500	0.0500	0	1	0.983	50	82	82
79	1	6	9	2	3	0.0500	0.0500	0	1	0.889	0	0	0
79	1	7	1	2	1	0.0500	0.0500	0	1	0.589	76	82	82
79	1	8	1	1	3	0.0500	0.0500	0	0	0.857	0	82	82
79	1	9	9	2	1	0.0500	0.0500	0	1	0.671	0	82	82
79	1	10	1	1	1	0.0500	0.0500	0	0	0.690	0	82	82
79	1	11	1	1	3	0.0500	0.0500	0	1	0.621	73	82	82
79	1	12	0	1	3	0.0500	0.0500	0	1	0.676	7	0	0
79	1	13	9	2	2	0.0500	0.0500	1	0	1.230	0	82	0
79	1	14	9	1	1	0.0500	0.0500	0	0	0.797	0	82	82
79	1	15	9	2	1	0.0500	0.0500	1	1	0.942	0	0	82
79	1	16	9	1	3	0.0500	0.0500	1	0	0.726	0	0	82
79	1	17	0	1	1	0.0500	0.0500	1	1	0.685	7	0	82
79	1	18	0	1	3	0.0500	0.0500	1	1	0.864	5	0	82
79	1	19	0	1	1	0.0500	0.0500	0	1	1.074	5	0	0
79	1	20	9	1	2	0.0500	0.0500	1	0	0.685	0	0	82
79	1	21	0	1	1	0.0500	0.0500	1	1	0.654	7	0	82
79	1	22	0	2	1	0.0500	0.0500	0	1	0.976	5	0	0
79	1	23	0	1	1	0.0500	0.0500	0	1	0.541	8	0	0
79	1	24	0	1	1	0.0500	0.0500	0	1	0.561	8	0	0
79	1	25	9	2	3	0.0500	0.0500	1	1	0.595	0	82	0
79	1	26	0	1	3	0.0500	0.0500	0	1	0.546	8	0	0
79	1	27	9	1	1	0.0500	0.0500	0	1	0.646	0	82	82
79	1	28	9	1	3	0.0500	0.0500	1	1	0.545	0	82	0
79	1	29	1	2	3	0.0500	0.0500	0	1	0.621	73	82	82
79	1	30	1	1	3	0.0500	0.0500	1	0	0.592	0	82	0
79	1	31	0	1	3	0.0500	0.0500	1	1	0.623	7	0	82
79	1	32	1	1	1	0.0500	0.0500	1	1	0.533	82	82	0
79	1	33	1	2	3	0.0500	0.0500	0	1	0.631	72	82	82
79	1	34	1	1	1	0.0500	0.0500	0	1	0.602	75	82	82
79	1	35	1	2	3	0.0500	0.0500	1	1	0.613	74	0	82
79	1	36	1	1	2	0.0500	0.0500	1	1	0.549	80	82	0
79	1	37	9	2	3	0.0500	0.0500	1	1	0.684	0	0	82
79	1	38	1	1	3	0.0500	0.0500	1	1	0.646	70	82	0
79	1	39	1	2	3	0.0500	0.0500	1	1	0.653	70	0	82
79	1	40	1	1	3	0.0500	0.0500	0	1	0.474	88	82	82
79	1	41	9	2	2	0.0500	0.0500	0	1	0.767	0	0	0
79	1	42	9	1	1	0.0500	0.0500	0	1	0.560	0	0	0
79	1	43	9	2	3	0.0500	0.0500	1	1	0.552	0	0	82
79	1	44	0	2	3	0.0500	0.0500	1	1	0.719	6	82	0
79	1	45	9	2	3	0.0500	0.0500	0	1	1.031	0	0	0
79	1	46	0	2	3	0.0500	0.0500	0	1	1.085	5	0	0
79	1	47	0	2	2	0.0500	0.0500	1	1	0.601	7	82	0
79	1	48	1	1	3	0.0500	0.0500	1	1	0.726	62	82	0
79	1	49	0	2	2	0.0500	0.0500	0	1	0.763	6	0	0
79	1	50	0	2	3	0.0500	0.0500	0	1	1.156	5	0	0
79	1	51	0	2	3	0.0500	0.0500	0	1	0.693	7	0	0
79	1	52	1	2	3	0.0500	0.0500	0	1	0.564	79	82	82
79	1	53	0	2	3	0.0500	0.0500	1	1	0.587	8	82	0
79	1	54	1	2	3	0.0500	0.0500	0	1	0.601	75	82	82
