sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt	rew_tot	left_col	right_col
92	1	1	9	2	2	0.5273	0.3497	1	1	1.382	0	0	82
92	1	2	1	2	2	0.5273	0.3497	0	1	0.774	58	0	0
92	1	3	0	2	3	0.5273	0.3497	1	1	0.586	8	0	82
92	1	4	1	1	3	0.5273	0.3497	1	1	0.627	72	0	82
92	1	5	0	1	1	0.5273	0.3497	1	1	1.113	5	82	0
92	1	6	0	2	3	0.5273	0.3497	0	1	0.502	8	82	82
92	1	7	1	2	3	0.5273	0.3497	0	1	0.413	94	0	0
92	1	8	1	2	2	0.5273	0.3497	0	1	0.392	96	0	0
92	1	9	0	2	3	0.5273	0.3497	0	1	0.519	8	82	82
92	1	10	1	1	3	0.5273	0.3497	0	1	0.491	86	0	0
92	1	11	1	2	3	0.5273	0.3497	0	1	0.417	93	0	0
92	1	12	0	2	2	0.5273	0.3497	0	1	0.419	9	82	82
92	1	13	1	2	2	0.5273	0.3497	1	1	0.372	98	82	0
92	1	14	1	1	1	0.5273	0.3497	0	0	0.387	0	0	0
92	1	15	1	2	2	0.5273	0.3497	0	1	0.371	98	0	0
92	1	16	1	2	2	0.5273	0.3497	0	1	0.409	94	0	0
92	1	17	9	2	2	0.5273	0.3497	0	1	0.362	0	82	82
92	1	18	0	1	3	0.5273	0.3497	0	1	0.402	9	82	82
92	1	19	1	1	3	0.5273	0.3497	1	1	0.513	84	0	82
92	1	20	9	1	3	0.5273	0.3497	1	1	0.391	0	0	82
92	1	21	9	1	3	0.5273	0.3497	1	1	0.376	0	0	82
92	1	22	1	1	2	0.5273	0.3497	0	1	0.449	90	0	0
92	1	23	1	1	3	0.5273	0.3497	0	1	0.474	88	0	0
92	1	24	1	2	2	0.5273	0.3497	1	1	0.380	97	82	0
92	1	25	9	1	1	0.5273	0.3497	1	1	0.832	0	82	0
92	1	26	1	2	3	0.5273	0.3497	1	1	0.487	86	82	0
92	1	27	0	2	3	0.5273	0.3497	1	0	0.392	0	0	82
92	1	28	0	1	1	0.5273	0.3497	1	1	0.445	9	82	0
92	1	29	0	1	1	0.5273	0.3497	1	0	0.401	0	82	0
92	1	30	9	2	2	0.5273	0.3497	1	0	0.910	0	0	82
92	1	31	0	2	2	0.5273	0.3497	0	1	0.391	10	82	82
92	1	32	1	2	2	0.5273	0.3497	1	1	0.369	98	82	0
92	1	33	1	1	1	0.5273	0.3497	1	1	0.346	100	0	82
92	1	34	1	2	2	0.5273	0.3497	0	1	0.391	96	0	0
92	1	35	1	2	2	0.5273	0.3497	1	1	0.399	95	82	0
92	1	36	0	2	2	0.5273	0.3497	1	0	0.348	0	0	82
92	1	37	1	2	3	0.5273	0.3497	1	1	0.274	100	82	0
92	1	38	1	1	3	0.5273	0.3497	0	0	0.367	0	0	0
92	1	39	0	2	2	0.5273	0.3497	1	0	0.325	0	0	82
92	1	40	0	1	3	0.5273	0.3497	0	0	0.428	0	82	82
92	1	41	9	1	3	0.5273	0.3497	1	1	1.123	0	82	0
92	1	42	0	1	3	0.5273	0.3497	1	0	0.570	0	82	0
92	1	43	9	2	3	0.5273	0.3497	1	0	0.952	0	0	82
92	1	44	0	2	3	0.5273	0.3497	0	1	0.486	9	82	82
92	1	45	1	1	3	0.5273	0.3497	1	1	0.475	88	0	82
92	1	46	0	1	1	0.5273	0.3497	1	0	0.462	0	82	0
92	1	47	1	1	3	0.5273	0.3497	1	1	0.470	88	0	82
92	1	48	0	1	3	0.5273	0.3497	0	0	0.696	0	82	82
92	1	49	1	1	3	0.5273	0.3497	1	1	0.427	92	0	82
92	1	50	0	2	3	0.5273	0.3497	0	1	0.547	8	82	82
92	1	51	1	1	3	0.5273	0.3497	0	1	0.509	84	0	0
92	1	52	0	2	3	0.5273	0.3497	1	1	0.536	8	0	82
92	1	53	1	2	2	0.5273	0.3497	0	1	0.865	50	0	0
92	1	54	9	2	3	0.5273	0.3497	0	1	0.625	0	82	82
92	1	55	1	1	1	0.5273	0.3497	0	0	0.715	0	0	0
92	1	56	1	1	1	0.5273	0.3497	0	1	0.527	82	0	0
92	1	57	1	2	1	0.5273	0.3497	1	1	0.659	69	82	0
92	1	58	0	2	3	0.5273	0.3497	1	0	0.848	0	0	82
92	1	59	9	2	3	0.5273	0.3497	1	1	1.316	0	82	0
92	1	60	0	2	3	0.5273	0.3497	1	1	1.137	5	0	82
92	1	61	1	2	2	0.5273	0.3497	1	1	0.737	61	82	0
92	1	62	1	1	3	0.5273	0.3497	0	1	0.511	84	0	0
92	1	63	0	1	1	0.5273	0.3497	0	1	0.431	9	82	82
92	1	64	0	1	1	0.5273	0.3497	1	0	0.363	0	82	0
92	1	65	1	2	1	0.5273	0.3497	0	1	0.602	75	0	0
92	1	66	9	1	2	0.5273	0.3497	0	1	0.446	0	0	0
92	1	67	9	1	1	0.5273	0.3497	0	1	0.460	0	82	82
92	1	68	0	2	2	0.5273	0.3497	1	0	0.507	0	0	82
92	1	69	0	1	3	0.5273	0.3497	0	1	0.557	8	82	82
92	1	70	0	2	3	0.5273	0.3497	1	1	0.328	10	0	82
92	1	71	0	2	3	0.5273	0.3497	0	1	0.386	10	82	82
92	1	72	0	2	1	0.5273	0.3497	0	1	0.399	10	82	82
92	1	73	1	2	3	0.5273	0.3497	1	1	0.401	95	82	0
92	1	74	1	2	3	0.5273	0.3497	0	1	0.480	87	0	0
92	1	75	0	2	3	0.5273	0.3497	1	0	0.555	0	0	82
92	1	76	0	2	1	0.5273	0.3497	0	1	0.508	8	82	82
92	1	77	0	1	2	0.5273	0.3497	1	0	0.471	0	82	0
92	1	78	9	1	1	0.5273	0.3497	0	1	0.428	0	82	82
92	1	79	1	1	1	0.5273	0.3497	0	1	0.538	81	0	0
92	1	80	9	2	3	0.5273	0.3497	0	1	0.509	0	82	82
92	1	81	9	1	1	0.5273	0.3497	1	1	0.568	0	82	0
92	1	82	0	2	2	0.5273	0.3497	1	0	0.623	0	0	82
92	1	83	0	1	1	0.5273	0.3497	0	1	0.501	8	82	82
92	1	84	9	1	1	0.5273	0.3497	1	1	0.639	0	0	82
92	1	85	9	2	1	0.5273	0.3497	0	1	0.556	0	0	0
92	1	86	1	2	2	0.5273	0.3497	1	1	0.422	93	82	0
92	1	87	1	2	3	0.5273	0.3497	1	1	0.524	83	82	0
92	1	88	1	2	1	0.5273	0.3497	1	1	0.792	56	82	0
92	1	89	1	1	1	0.5273	0.3497	1	1	0.468	88	0	82
92	1	90	1	2	3	0.5273	0.3497	1	0	0.375	0	82	0
92	1	91	1	2	3	0.5273	0.3497	1	1	0.638	71	82	0
92	1	92	1	1	1	0.5273	0.3497	1	1	0.455	89	0	82
92	1	93	1	2	3	0.5273	0.3497	1	1	0.414	94	82	0
92	1	94	0	2	2	0.5273	0.3497	0	1	0.498	9	82	82
92	1	95	9	2	2	0.5273	0.3497	0	1	0.580	0	82	82
92	1	96	9	2	2	0.5273	0.3497	1	1	0.431	0	82	0
92	1	97	0	1	1	0.5273	0.3497	1	1	0.537	8	82	0
92	1	98	0	2	2	0.5273	0.3497	0	1	0.482	9	82	82
92	1	99	1	1	2	0.5273	0.3497	0	1	0.571	78	0	0
92	1	100	0	1	1	0.5273	0.3497	1	1	0.560	8	82	0
92	1	101	9	1	3	0.5273	0.3497	0	1	0.533	0	82	82
92	1	102	9	2	2	0.5273	0.3497	1	0	0.685	0	82	0
92	1	103	1	1	3	0.5273	0.3497	0	1	0.495	86	0	0
92	1	104	0	1	3	0.5273	0.3497	1	1	0.753	6	82	0
92	1	105	1	1	1	0.5273	0.3497	1	1	0.443	91	0	82
92	1	106	1	1	2	0.5273	0.3497	0	1	0.669	68	0	0
92	1	107	1	2	1	0.5273	0.3497	0	1	0.358	99	0	0
92	1	108	9	1	3	0.5273	0.3497	0	1	0.450	0	0	0
92	1	109	1	2	3	0.5273	0.3497	0	1	0.323	100	0	0
92	1	110	9	1	3	0.5273	0.3497	1	0	1.377	0	0	82
92	1	111	0	2	2	0.5273	0.3497	0	1	0.577	8	82	82
92	1	112	1	2	1	0.5273	0.3497	1	1	0.655	70	82	0
92	1	113	1	1	1	0.5273	0.3497	0	1	0.435	91	0	0
92	1	114	0	2	2	0.5273	0.3497	1	0	0.490	0	0	82
