sub	sess	t	loc	cue	co1	co2	or	resp	rt
139	1	1	1	1	0.0500	0.0500	1	0	1.112
139	1	2	2	3	0.0500	0.0500	0	1	0.651
139	1	3	1	1	0.0500	0.0500	1	1	0.956
139	1	4	1	1	0.0500	0.0500	0	1	0.631
139	1	5	2	1	0.0500	0.0500	1	1	0.781
139	1	6	1	1	0.0500	0.0500	0	1	0.703
139	1	7	1	3	0.0500	0.0500	0	1	0.548
139	1	8	1	2	0.0500	0.0500	0	1	0.576
139	1	9	1	2	0.0500	0.0500	1	1	0.668
139	1	10	1	3	0.0500	0.0500	0	1	0.580
139	1	11	2	3	0.0500	0.0500	1	1	0.677
139	1	12	2	2	0.0500	0.0500	0	1	0.546
139	1	13	1	1	0.0500	0.0500	0	1	0.540
139	1	14	2	2	0.0500	0.0500	0	1	0.551
139	1	15	2	2	0.0500	0.0500	1	1	0.578
139	1	16	1	2	0.0500	0.0500	1	1	0.590
139	1	17	2	2	0.0500	0.0500	0	1	0.582
139	1	18	1	3	0.0500	0.0500	1	1	0.593
139	1	19	2	2	0.0500	0.0500	1	1	0.629
139	1	20	2	3	0.0500	0.0500	0	1	0.573
139	1	21	2	2	0.0500	0.0500	0	1	0.506
139	1	22	1	1	0.0500	0.0500	1	1	0.767
139	1	23	1	1	0.0500	0.0500	0	1	0.551
139	1	24	2	1	0.0500	0.0500	1	1	0.637
139	1	25	2	3	0.0500	0.0500	0	1	0.556
139	1	26	2	1	0.0500	0.0500	0	1	0.510
139	1	27	1	1	0.0500	0.0500	0	1	0.546
139	1	28	2	2	0.0500	0.0500	1	1	0.563
139	1	29	1	2	0.0500	0.0500	0	1	0.583
139	1	30	2	2	0.0500	0.0500	0	1	0.495
139	1	31	2	2	0.0500	0.0500	1	1	0.699
139	1	32	1	3	0.0500	0.0500	1	1	0.554
139	1	33	2	3	0.0500	0.0500	1	1	0.604
139	1	34	2	3	0.0500	0.0500	1	1	0.540
139	1	35	1	1	0.0500	0.0500	0	1	0.687
139	1	36	2	1	0.0500	0.0500	0	1	0.526
139	1	37	2	2	0.0500	0.0500	0	0	0.747
139	1	38	1	3	0.0500	0.0500	1	0	0.680
139	1	39	2	2	0.0500	0.0500	1	1	0.607
139	1	40	2	3	0.0500	0.0500	1	1	0.537
139	1	41	2	2	0.0500	0.0500	1	1	0.665
139	1	42	1	1	0.0500	0.0500	1	1	0.672
139	1	43	1	3	0.0500	0.0500	0	1	0.656
139	1	44	2	3	0.0500	0.0500	0	1	0.576
139	1	45	1	3	0.0500	0.0500	1	1	0.601
139	1	46	2	2	0.0500	0.0500	0	1	0.482
139	1	47	1	1	0.0500	0.0500	1	1	0.519
139	1	48	2	2	0.0500	0.0500	1	0	0.861
139	1	49	1	1	0.0500	0.0500	1	1	0.612
139	1	50	2	2	0.0500	0.0500	0	1	0.555
139	1	51	1	1	0.0500	0.0500	1	1	0.509
139	1	52	1	3	0.0500	0.0500	0	1	0.817
139	1	53	2	2	0.0500	0.0500	1	0	0.800
139	1	54	1	1	0.0500	0.0500	1	1	0.995
139	1	55	1	1	0.0500	0.0500	0	1	0.970
139	1	56	1	1	0.0500	0.0500	0	1	0.539
139	1	57	2	2	0.0500	0.0500	0	1	0.638
139	1	58	2	2	0.0500	0.0500	1	0	0.664
