sub	sess	t	loc	co1	co2	or	resp	rt
13	1	1	2	1.0000	1.0000	1	0	4.940
13	1	2	1	1.0000	1.0000	1	0	2.575
13	1	3	1	1.0000	1.0000	1	1	2.093
13	1	4	2	1.0000	1.0000	1	1	3.551
13	1	5	2	1.0000	1.0000	0	0	2.977
13	1	6	2	1.0000	1.0000	0	1	3.122
13	1	7	2	1.0000	1.0000	1	0	2.252
13	1	8	1	1.0000	1.0000	1	0	3.276
13	1	9	2	1.0000	1.0000	1	1	2.547
13	1	10	2	1.0000	1.0000	0	0	4.013
13	1	11	2	1.0000	1.0000	0	1	2.409
13	1	12	2	1.0000	1.0000	1	0	2.897
13	1	13	1	1.0000	1.0000	0	1	2.277
13	1	14	1	1.0000	1.0000	0	1	1.552
13	1	15	1	1.0000	1.0000	0	1	0.647
13	1	16	1	1.0000	1.0000	1	0	0.701
13	1	17	2	1.0000	1.0000	1	0	0.612
13	1	18	1	1.0000	1.0000	0	1	2.563
13	1	19	2	1.0000	1.0000	0	0	1.846
13	1	20	2	1.0000	1.0000	0	1	1.026
13	1	21	1	1.0000	1.0000	1	0	1.120
13	1	22	1	1.0000	1.0000	0	0	1.835
13	1	23	1	1.0000	1.0000	1	0	1.409
13	1	24	1	1.0000	1.0000	0	0	1.895
13	1	25	2	1.0000	1.0000	0	0	1.878
13	1	26	1	1.0000	1.0000	0	1	3.657
13	1	27	2	1.0000	1.0000	1	0	3.193
13	1	28	1	1.0000	1.0000	1	1	2.278
13	1	29	1	1.0000	1.0000	0	0	1.452
13	1	30	2	1.0000	1.0000	0	1	1.951
13	1	31	2	1.0000	1.0000	0	1	3.439
13	1	32	1	1.0000	1.0000	0	1	3.207
13	1	33	2	1.0000	1.0000	1	1	0.989
13	1	34	1	1.0000	1.0000	0	1	0.935
13	1	35	1	1.0000	1.0000	1	0	0.681
13	1	36	2	1.0000	1.0000	1	1	0.758
13	1	37	1	1.0000	1.0000	1	0	0.598
13	1	38	1	1.0000	1.0000	1	0	1.042
13	1	39	1	1.0000	1.0000	1	0	1.109
13	1	40	2	1.0000	1.0000	1	1	0.671
13	1	41	1	1.0000	1.0000	0	0	1.706
