sub	sess	t	loc	cue	co1	co2	or	resp	rt
13	1	1	2	2	0.1134	0.0824	0	1	1.768
13	1	2	2	2	0.1134	0.0824	1	1	1.109
13	1	3	2	2	0.1134	0.0824	0	1	0.815
13	1	4	2	2	0.1134	0.0824	1	1	0.773
13	1	5	1	1	0.1134	0.0824	1	1	1.318
13	1	6	2	2	0.1134	0.0824	1	1	0.996
13	1	7	2	3	0.1134	0.0824	0	0	1.541
13	1	8	2	2	0.1134	0.0824	1	1	0.695
13	1	9	2	2	0.1134	0.0824	1	1	0.598
13	1	10	2	1	0.1134	0.0824	1	0	0.899
13	1	11	1	2	0.1134	0.0824	1	1	1.305
13	1	12	2	2	0.1134	0.0824	1	1	0.651
13	1	13	2	3	0.1134	0.0824	0	1	1.127
13	1	14	1	3	0.1134	0.0824	0	1	1.092
13	1	15	2	2	0.1134	0.0824	0	1	0.813
13	1	16	2	2	0.1134	0.0824	0	1	0.655
13	1	17	2	2	0.1134	0.0824	1	1	0.770
13	1	18	1	3	0.1134	0.0824	1	1	1.154
13	1	19	1	1	0.1134	0.0824	0	1	0.669
13	1	20	1	1	0.1134	0.0824	1	1	0.654
13	1	21	2	2	0.1134	0.0824	0	1	0.719
13	1	22	1	2	0.1134	0.0824	0	0	0.849
13	1	23	1	1	0.1134	0.0824	1	1	0.684
13	1	24	1	2	0.1134	0.0824	1	1	1.438
13	1	25	1	1	0.1134	0.0824	0	1	0.632
13	1	26	1	3	0.1134	0.0824	0	1	0.756
13	1	27	2	1	0.1134	0.0824	0	1	1.046
13	1	28	1	3	0.1134	0.0824	1	1	0.787
13	1	29	2	2	0.1134	0.0824	0	1	0.799
13	1	30	2	2	0.1134	0.0824	0	1	0.709
13	1	31	1	3	0.1134	0.0824	0	1	0.722
13	1	32	2	1	0.1134	0.0824	0	1	0.911
13	1	33	1	3	0.1134	0.0824	1	1	0.862
13	1	34	1	1	0.1134	0.0824	0	1	0.610
13	1	35	2	3	0.1134	0.0824	1	1	1.051
13	1	36	2	3	0.1134	0.0824	1	1	0.693
13	1	37	2	3	0.1134	0.0824	0	0	0.723
13	1	38	2	3	0.1134	0.0824	0	1	0.655
13	1	39	1	1	0.1134	0.0824	0	1	0.672
13	1	40	1	1	0.1134	0.0824	0	1	0.563
13	1	41	2	3	0.1134	0.0824	1	1	0.594
13	1	42	2	2	0.1134	0.0824	0	1	0.611
13	1	43	1	1	0.1134	0.0824	1	1	0.574
13	1	44	1	1	0.1134	0.0824	0	1	0.522
13	1	45	1	1	0.1134	0.0824	1	1	0.562
13	1	46	1	1	0.1134	0.0824	0	1	0.565
13	1	47	2	3	0.1134	0.0824	1	1	0.592
13	1	48	1	1	0.1134	0.0824	1	1	0.569
13	1	49	1	3	0.1134	0.0824	0	1	0.727
13	1	50	2	1	0.1134	0.0824	1	1	0.629
13	1	51	1	1	0.1134	0.0824	0	1	0.548
13	1	52	1	2	0.1134	0.0824	0	1	0.597
13	1	53	1	1	0.1134	0.0824	1	1	0.617
13	1	54	1	1	0.1134	0.0824	1	1	1.589
13	1	55	1	3	0.1134	0.0824	1	1	0.618
13	1	56	2	2	0.1134	0.0824	1	0	0.672
13	1	57	1	1	0.1134	0.0824	1	1	0.603
13	1	58	1	1	0.1134	0.0824	1	1	0.626
13	1	59	1	1	0.1134	0.0824	0	1	0.585
13	1	60	1	1	0.1134	0.0824	0	0	0.585
13	1	61	2	2	0.1134	0.0824	1	1	0.687
