sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
109	1	1	1	1	-1	0.2063	0.0817	0	1	2.412
109	1	2	1	1	-1	0.2063	0.0817	0	1	0.677
109	1	3	1	2	-1	0.2063	0.0817	1	1	0.626
109	1	4	1	1	-1	0.2063	0.0817	0	1	0.404
109	1	5	1	1	-1	0.2063	0.0817	1	1	0.773
109	1	6	1	2	-1	0.2063	0.0817	0	1	0.831
109	1	7	1	1	-1	0.2063	0.0817	0	1	0.599
109	1	8	1	2	-1	0.2063	0.0817	1	1	0.599
109	1	9	1	1	-1	0.2063	0.0817	1	1	0.722
109	1	10	1	2	-1	0.2063	0.0817	1	1	0.806
109	1	11	1	2	-1	0.2063	0.0817	0	1	0.679
109	1	12	1	2	-1	0.2063	0.0817	1	1	0.639
109	1	13	1	1	-1	0.2063	0.0817	0	1	0.758
109	1	14	1	1	-1	0.2063	0.0817	1	1	0.641
109	1	15	1	1	-1	0.2063	0.0817	1	1	0.558
109	1	16	1	2	-1	0.2063	0.0817	0	1	0.522
109	1	17	1	1	-1	0.2063	0.0817	0	1	0.399
109	1	18	1	1	-1	0.2063	0.0817	0	1	0.522
109	1	19	1	1	-1	0.2063	0.0817	1	1	0.584
109	1	20	1	2	-1	0.2063	0.0817	1	1	0.635
109	1	21	1	2	-1	0.2063	0.0817	1	1	0.538
109	1	22	1	2	-1	0.2063	0.0817	1	1	0.447
109	1	23	1	1	-1	0.2063	0.0817	1	1	0.454
109	1	24	1	2	-1	0.2063	0.0817	1	1	0.494
109	1	25	1	2	-1	0.2063	0.0817	0	1	0.461
109	1	26	1	2	-1	0.2063	0.0817	0	1	0.596
109	1	27	1	2	-1	0.2063	0.0817	0	1	0.558
109	1	28	1	1	-1	0.2063	0.0817	0	1	0.450
109	1	29	1	2	-1	0.2063	0.0817	0	1	0.411
109	1	30	1	2	-1	0.2063	0.0817	0	1	0.411
109	1	31	1	1	-1	0.2063	0.0817	1	1	0.468
109	1	32	1	1	-1	0.2063	0.0817	1	1	0.425
109	1	33	9	1	-1	0.2063	0.0817	0	1	0.430
109	1	34	9	1	-1	0.2063	0.0817	0	1	0.398
109	1	35	9	1	-1	0.2063	0.0817	0	1	0.472
109	1	36	9	1	-1	0.2063	0.0817	1	1	0.351
109	1	37	9	1	-1	0.2063	0.0817	1	1	0.501
109	1	38	9	2	-1	0.2063	0.0817	0	1	0.521
109	1	39	9	2	-1	0.2063	0.0817	1	1	0.544
109	1	40	9	2	-1	0.2063	0.0817	1	1	0.405
109	1	41	9	2	-1	0.2063	0.0817	0	1	0.493
109	1	42	9	2	-1	0.2063	0.0817	0	1	0.617
109	1	43	9	2	-1	0.2063	0.0817	1	1	0.418
109	1	44	9	2	-1	0.2063	0.0817	1	1	0.433
109	1	45	9	2	-1	0.2063	0.0817	1	1	0.435
109	1	46	9	2	-1	0.2063	0.0817	0	1	0.409
109	1	47	9	1	-1	0.2063	0.0817	0	1	0.441
109	1	48	9	1	-1	0.2063	0.0817	1	1	0.538
109	1	49	9	1	-1	0.2063	0.0817	0	1	0.440
109	1	50	9	1	-1	0.2063	0.0817	1	1	0.338
109	1	51	9	2	-1	0.2063	0.0817	1	1	0.751
109	1	52	9	1	-1	0.2063	0.0817	1	1	0.401
109	1	53	9	2	-1	0.2063	0.0817	0	1	0.299
109	1	54	9	2	-1	0.2063	0.0817	1	1	0.369
109	1	55	9	1	-1	0.2063	0.0817	0	0	0.342
109	1	56	9	2	-1	0.2063	0.0817	0	1	0.496
109	1	57	9	1	-1	0.2063	0.0817	1	1	0.517
109	1	58	9	2	-1	0.2063	0.0817	0	1	0.442
109	1	59	9	2	-1	0.2063	0.0817	1	1	0.467
109	1	60	9	1	-1	0.2063	0.0817	0	1	0.371
109	1	61	9	2	-1	0.2063	0.0817	0	1	0.485
109	1	62	9	1	-1	0.2063	0.0817	1	1	0.555
109	1	63	9	1	-1	0.2063	0.0817	0	1	0.637
109	1	64	9	1	-1	0.2063	0.0817	1	1	0.452
