sub	sess	t	loc	cue	co1	co2	or	resp	rt
21	1	1	1	1	0.0995	0.0500	0	1	4.557
21	1	2	1	1	0.0995	0.0500	0	1	2.848
21	1	3	1	3	0.0995	0.0500	1	1	0.899
21	1	4	2	3	0.0995	0.0500	0	1	1.291
21	1	5	2	2	0.0995	0.0500	0	1	1.048
21	1	6	1	2	0.0995	0.0500	1	1	0.816
21	1	7	1	3	0.0995	0.0500	0	1	1.661
21	1	8	1	2	0.0995	0.0500	0	1	0.734
21	1	9	2	2	0.0995	0.0500	1	1	0.940
21	1	10	1	1	0.0995	0.0500	0	1	0.776
21	1	11	1	3	0.0995	0.0500	0	1	0.669
21	1	12	2	2	0.0995	0.0500	1	0	1.113
21	1	13	2	3	0.0995	0.0500	0	1	0.840
21	1	14	1	3	0.0995	0.0500	1	1	0.718
21	1	15	2	2	0.0995	0.0500	1	0	1.218
21	1	16	2	2	0.0995	0.0500	0	1	1.049
21	1	17	2	3	0.0995	0.0500	0	0	0.981
21	1	18	1	3	0.0995	0.0500	0	1	0.772
21	1	19	2	1	0.0995	0.0500	1	1	1.002
21	1	20	2	2	0.0995	0.0500	1	1	1.360
21	1	21	2	3	0.0995	0.0500	1	1	1.129
21	1	22	2	1	0.0995	0.0500	0	1	1.098
21	1	23	2	3	0.0995	0.0500	1	1	1.594
21	1	24	1	1	0.0995	0.0500	1	1	0.835
21	1	25	2	3	0.0995	0.0500	0	0	1.216
21	1	26	1	1	0.0995	0.0500	1	1	1.370
21	1	27	2	2	0.0995	0.0500	0	1	0.918
21	1	28	2	2	0.0995	0.0500	1	1	1.042
21	1	29	1	1	0.0995	0.0500	0	1	0.798
21	1	30	2	2	0.0995	0.0500	0	0	1.031
21	1	31	2	1	0.0995	0.0500	0	1	1.284
21	1	32	2	2	0.0995	0.0500	1	1	1.028
21	1	33	1	1	0.0995	0.0500	1	1	2.373
21	1	34	1	1	0.0995	0.0500	1	1	0.919
21	1	35	1	2	0.0995	0.0500	1	1	1.198
21	1	36	2	2	0.0995	0.0500	0	1	0.778
21	1	37	1	1	0.0995	0.0500	1	0	2.699
21	1	38	1	3	0.0995	0.0500	1	1	0.708
21	1	39	2	3	0.0995	0.0500	1	0	2.050
21	1	40	1	3	0.0995	0.0500	0	1	1.489
21	1	41	1	3	0.0995	0.0500	1	1	1.706
21	1	42	2	2	0.0995	0.0500	1	1	1.383
21	1	43	1	2	0.0995	0.0500	0	1	0.521
21	1	44	1	1	0.0995	0.0500	1	0	1.437
21	1	45	1	1	0.0995	0.0500	0	1	0.658
21	1	46	2	2	0.0995	0.0500	0	1	1.255
21	1	47	2	3	0.0995	0.0500	1	1	1.044
21	1	48	2	2	0.0995	0.0500	0	0	0.960
21	1	49	1	1	0.0995	0.0500	0	1	1.489
21	1	50	1	1	0.0995	0.0500	1	1	1.151
21	1	51	2	1	0.0995	0.0500	1	1	1.426
21	1	52	2	2	0.0995	0.0500	1	1	1.039
21	1	53	2	2	0.0995	0.0500	0	1	0.711
21	1	54	1	1	0.0995	0.0500	1	1	1.846
21	1	55	1	1	0.0995	0.0500	0	1	0.864
21	1	56	1	1	0.0995	0.0500	0	1	1.212
21	1	57	2	1	0.0995	0.0500	1	1	1.300
21	1	58	1	3	0.0995	0.0500	1	1	1.468
21	1	59	1	1	0.0995	0.0500	0	1	0.808
21	1	60	1	2	0.0995	0.0500	0	1	3.829
21	1	61	2	3	0.0995	0.0500	0	1	2.740
21	1	62	2	2	0.0995	0.0500	1	1	0.970
21	1	63	2	3	0.0995	0.0500	1	0	1.143
21	1	64	1	1	0.0995	0.0500	1	1	4.168
21	1	65	1	3	0.0995	0.0500	1	0	1.038
21	1	66	2	3	0.0995	0.0500	1	0	1.377
21	1	67	1	1	0.0995	0.0500	0	1	1.368
21	1	68	2	1	0.0995	0.0500	1	1	0.711
21	1	69	1	1	0.0995	0.0500	1	1	2.098
21	1	70	1	1	0.0995	0.0500	0	1	0.955
21	1	71	2	3	0.0995	0.0500	0	1	1.265
21	1	72	2	3	0.0995	0.0500	0	1	0.856
21	1	73	1	1	0.0995	0.0500	1	1	1.231
21	1	74	1	2	0.0995	0.0500	1	1	2.139
21	1	75	1	1	0.0995	0.0500	0	1	1.759
21	1	76	1	1	0.0995	0.0500	1	1	1.300
21	1	77	1	1	0.0995	0.0500	0	1	1.016
21	1	78	2	3	0.0995	0.0500	0	1	2.600
21	1	79	1	1	0.0995	0.0500	1	0	0.755
21	1	80	1	3	0.0995	0.0500	0	1	0.721
21	1	81	2	2	0.0995	0.0500	1	1	1.275
21	1	82	1	3	0.0995	0.0500	1	0	0.718
21	1	83	2	1	0.0995	0.0500	0	1	1.017
21	1	84	1	1	0.0995	0.0500	1	0	0.919
21	1	85	2	2	0.0995	0.0500	0	1	0.942
21	1	86	2	2	0.0995	0.0500	0	1	0.968
21	1	87	2	2	0.0995	0.0500	1	1	0.895
21	1	88	2	2	0.0995	0.0500	1	0	0.795
21	1	89	2	2	0.0995	0.0500	0	1	0.680
21	1	90	2	2	0.0995	0.0500	0	1	0.582
21	1	91	2	1	0.0995	0.0500	0	1	0.695
21	1	92	2	2	0.0995	0.0500	1	1	0.625
21	1	93	2	2	0.0995	0.0500	0	1	1.053
21	1	94	2	3	0.0995	0.0500	1	0	0.761
21	1	95	1	3	0.0995	0.0500	1	1	0.893
