sub	sess	t	loc	cue	co1	co2	or	resp	rt
3	1	1	1	1	0.0562	0.0634	1	1	2.572
3	1	2	2	2	0.0562	0.0634	0	1	2.161
3	1	3	1	1	0.0562	0.0634	0	1	1.688
3	1	4	2	2	0.0562	0.0634	1	1	0.682
3	1	5	1	2	0.0562	0.0634	1	1	0.939
3	1	6	2	2	0.0562	0.0634	0	1	0.918
3	1	7	2	2	0.0562	0.0634	1	1	0.768
3	1	8	1	1	0.0562	0.0634	0	0	0.668
3	1	9	2	1	0.0562	0.0634	0	1	0.671
3	1	10	1	1	0.0562	0.0634	1	0	0.665
3	1	11	1	3	0.0562	0.0634	0	1	1.550
3	1	12	2	3	0.0562	0.0634	1	1	0.804
3	1	13	1	3	0.0562	0.0634	1	1	0.898
3	1	14	1	2	0.0562	0.0634	1	1	0.645
3	1	15	2	2	0.0562	0.0634	1	1	1.174
3	1	16	1	1	0.0562	0.0634	1	1	0.757
3	1	17	1	2	0.0562	0.0634	0	0	1.204
3	1	18	1	2	0.0562	0.0634	0	1	0.966
3	1	19	2	2	0.0562	0.0634	1	0	1.181
3	1	20	2	2	0.0562	0.0634	0	1	0.819
3	1	21	2	1	0.0562	0.0634	0	1	0.909
3	1	22	2	3	0.0562	0.0634	0	1	0.911
3	1	23	1	1	0.0562	0.0634	0	1	0.740
3	1	24	2	3	0.0562	0.0634	1	1	1.905
3	1	25	2	3	0.0562	0.0634	0	1	0.928
3	1	26	2	2	0.0562	0.0634	1	1	0.674
3	1	27	2	3	0.0562	0.0634	1	1	0.679
3	1	28	2	2	0.0562	0.0634	1	1	0.645
3	1	29	1	1	0.0562	0.0634	0	0	1.074
3	1	30	2	2	0.0562	0.0634	0	1	0.676
3	1	31	1	1	0.0562	0.0634	1	1	0.713
3	1	32	1	3	0.0562	0.0634	0	1	0.840
3	1	33	1	1	0.0562	0.0634	0	1	0.833
3	1	34	1	1	0.0562	0.0634	1	1	0.628
3	1	35	1	3	0.0562	0.0634	1	1	0.668
3	1	36	1	3	0.0562	0.0634	0	0	0.636
3	1	37	2	3	0.0562	0.0634	0	0	0.733
3	1	38	1	1	0.0562	0.0634	0	1	0.811
3	1	39	2	3	0.0562	0.0634	1	1	0.741
3	1	40	2	2	0.0562	0.0634	0	1	0.554
3	1	41	1	1	0.0562	0.0634	1	1	0.704
3	1	42	2	1	0.0562	0.0634	1	1	0.863
3	1	43	1	1	0.0562	0.0634	1	1	1.205
3	1	44	2	2	0.0562	0.0634	1	1	0.617
3	1	45	2	2	0.0562	0.0634	1	1	0.596
3	1	46	1	3	0.0562	0.0634	1	0	1.315
3	1	47	2	1	0.0562	0.0634	1	1	1.095
3	1	48	2	2	0.0562	0.0634	0	1	0.723
3	1	49	1	1	0.0562	0.0634	0	0	1.413
3	1	50	1	1	0.0562	0.0634	1	0	1.161
3	1	51	1	3	0.0562	0.0634	0	0	1.449
3	1	52	1	3	0.0562	0.0634	1	1	0.900
3	1	53	2	2	0.0562	0.0634	0	1	1.281
3	1	54	1	1	0.0562	0.0634	0	0	0.934
3	1	55	2	3	0.0562	0.0634	0	0	1.056
3	1	56	2	2	0.0562	0.0634	0	1	0.550
3	1	57	2	2	0.0562	0.0634	0	1	0.653
3	1	58	1	3	0.0562	0.0634	0	0	0.806
3	1	59	2	2	0.0562	0.0634	1	1	0.598
3	1	60	2	3	0.0562	0.0634	0	1	0.606
3	1	61	1	1	0.0562	0.0634	1	1	0.709
3	1	62	1	3	0.0562	0.0634	1	0	0.899
3	1	63	1	1	0.0562	0.0634	0	1	0.852
3	1	64	1	1	0.0562	0.0634	1	0	0.726
3	1	65	1	1	0.0562	0.0634	0	1	0.695
3	1	66	1	2	0.0562	0.0634	0	0	1.971
3	1	67	2	1	0.0562	0.0634	1	1	0.703
3	1	68	1	1	0.0562	0.0634	1	0	0.626
3	1	69	2	3	0.0562	0.0634	0	0	0.791
3	1	70	2	2	0.0562	0.0634	1	1	0.656
3	1	71	1	3	0.0562	0.0634	1	1	0.651
3	1	72	2	3	0.0562	0.0634	1	1	0.756
3	1	73	2	1	0.0562	0.0634	0	1	0.627
3	1	74	1	2	0.0562	0.0634	1	1	0.717
3	1	75	2	2	0.0562	0.0634	1	1	0.847
3	1	76	1	1	0.0562	0.0634	1	1	0.939
3	1	77	1	2	0.0562	0.0634	0	1	0.624
3	1	78	1	3	0.0562	0.0634	1	1	0.596
3	1	79	1	3	0.0562	0.0634	1	1	0.642
3	1	80	1	1	0.0562	0.0634	1	1	0.640
3	1	81	2	1	0.0562	0.0634	0	1	1.003
3	1	82	2	2	0.0562	0.0634	1	1	0.628
3	1	83	2	2	0.0562	0.0634	1	1	0.516
3	1	84	1	1	0.0562	0.0634	1	1	0.864
3	1	85	2	3	0.0562	0.0634	0	1	0.832
3	1	86	2	2	0.0562	0.0634	0	1	0.571
3	1	87	2	2	0.0562	0.0634	0	1	0.614
3	1	88	1	1	0.0562	0.0634	0	0	0.693
3	1	89	2	2	0.0562	0.0634	1	1	0.630
3	1	90	1	1	0.0562	0.0634	0	1	0.743
3	1	91	2	2	0.0562	0.0634	0	1	0.555
3	1	92	2	2	0.0562	0.0634	0	0	0.925
3	1	93	1	1	0.0562	0.0634	0	1	0.698
3	1	94	2	3	0.0562	0.0634	1	0	1.005
3	1	95	1	1	0.0562	0.0634	1	1	0.600
3	1	96	2	3	0.0562	0.0634	0	0	0.797
3	1	97	2	2	0.0562	0.0634	0	1	0.643
3	1	98	1	1	0.0562	0.0634	0	1	0.692
3	1	99	2	1	0.0562	0.0634	1	0	1.459
3	1	100	2	2	0.0562	0.0634	0	1	0.739
3	1	101	1	3	0.0562	0.0634	0	1	1.282
3	1	102	1	3	0.0562	0.0634	0	1	0.689
3	1	103	2	2	0.0562	0.0634	1	1	0.675
3	1	104	2	3	0.0562	0.0634	1	0	0.929
3	1	105	1	1	0.0562	0.0634	0	0	0.669
3	1	106	1	1	0.0562	0.0634	0	1	0.592
3	1	107	2	2	0.0562	0.0634	0	1	0.683
3	1	108	1	2	0.0562	0.0634	1	1	0.840
3	1	109	1	3	0.0562	0.0634	0	1	0.739
3	1	110	2	3	0.0562	0.0634	1	1	0.831
3	1	111	2	2	0.0562	0.0634	1	1	0.725
3	1	112	1	1	0.0562	0.0634	1	1	0.761
