sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt	rew_tot	left_col	right_col
3	1	1	1	2	3	0.0562	0.0634	0	1	0.650	70	82	82
3	1	2	9	2	1	0.0562	0.0634	1	1	0.600	0	0	82
3	1	3	0	1	1	0.0562	0.0634	0	1	0.741	6	0	0
3	1	4	1	2	2	0.0562	0.0634	1	1	0.518	83	0	82
3	1	5	1	1	3	0.0562	0.0634	0	1	0.739	61	82	82
3	1	6	0	2	3	0.0562	0.0634	1	1	0.482	9	82	0
3	1	7	0	1	1	0.0562	0.0634	0	1	0.539	8	0	0
3	1	8	0	1	3	0.0562	0.0634	1	1	0.568	8	0	82
3	1	9	1	1	1	0.0562	0.0634	0	0	0.616	0	82	82
3	1	10	0	1	3	0.0562	0.0634	0	1	0.648	7	0	0
3	1	11	1	1	1	0.0562	0.0634	0	1	0.590	76	82	82
3	1	12	1	2	2	0.0562	0.0634	0	1	0.638	71	82	82
3	1	13	0	1	1	0.0562	0.0634	0	1	0.654	7	0	0
3	1	14	0	1	3	0.0562	0.0634	1	1	0.727	6	0	82
3	1	15	1	2	3	0.0562	0.0634	1	1	0.553	80	0	82
3	1	16	9	2	2	0.0562	0.0634	0	1	0.493	0	0	0
3	1	17	0	2	3	0.0562	0.0634	1	1	0.481	9	82	0
3	1	18	1	1	1	0.0562	0.0634	0	1	0.671	68	82	82
3	1	19	9	1	3	0.0562	0.0634	0	1	0.571	0	0	0
3	1	20	0	2	3	0.0562	0.0634	1	1	0.593	8	82	0
3	1	21	0	1	1	0.0562	0.0634	1	0	0.639	0	0	82
3	1	22	1	2	2	0.0562	0.0634	0	1	0.580	77	82	82
3	1	23	0	1	3	0.0562	0.0634	1	1	0.539	8	0	82
3	1	24	9	1	3	0.0562	0.0634	1	1	0.542	0	0	82
3	1	25	1	2	3	0.0562	0.0634	1	0	0.839	0	0	82
3	1	26	1	2	2	0.0562	0.0634	1	1	0.694	66	0	82
3	1	27	1	1	2	0.0562	0.0634	0	1	0.835	51	82	82
3	1	28	0	2	3	0.0562	0.0634	1	1	0.621	7	82	0
3	1	29	0	1	1	0.0562	0.0634	1	1	0.528	8	0	82
3	1	30	1	1	3	0.0562	0.0634	1	1	0.732	62	82	0
3	1	31	1	2	2	0.0562	0.0634	1	1	0.668	68	0	82
3	1	32	9	1	3	0.0562	0.0634	1	1	0.604	0	0	82
3	1	33	9	2	3	0.0562	0.0634	1	1	0.660	0	82	0
3	1	34	1	2	3	0.0562	0.0634	1	1	0.770	58	0	82
3	1	35	1	2	1	0.0562	0.0634	0	1	0.806	54	82	82
3	1	36	9	1	3	0.0562	0.0634	0	1	0.608	0	82	82
3	1	37	0	2	3	0.0562	0.0634	1	0	0.742	0	82	0
3	1	38	0	1	3	0.0562	0.0634	1	1	0.476	9	0	82
3	1	39	0	2	3	0.0562	0.0634	0	1	0.739	6	0	0
3	1	40	0	2	2	0.0562	0.0634	0	1	0.465	9	0	0
3	1	41	9	2	2	0.0562	0.0634	0	1	0.350	0	0	0
3	1	42	1	1	1	0.0562	0.0634	0	0	0.469	0	82	82
3	1	43	9	2	1	0.0562	0.0634	1	1	0.881	0	82	0
3	1	44	9	1	3	0.0562	0.0634	0	1	0.708	0	0	0
3	1	45	1	1	1	0.0562	0.0634	1	1	0.654	70	82	0
3	1	46	1	2	3	0.0562	0.0634	0	1	0.788	56	82	82
3	1	47	9	2	1	0.0562	0.0634	0	1	1.429	0	0	0
3	1	48	1	2	3	0.0562	0.0634	1	1	0.722	63	0	82
3	1	49	0	1	1	0.0562	0.0634	1	1	0.791	6	0	82
3	1	50	1	1	1	0.0562	0.0634	1	1	0.551	80	82	0
3	1	51	9	2	3	0.0562	0.0634	1	1	0.691	0	0	82
3	1	52	1	1	3	0.0562	0.0634	0	0	1.126	0	82	82
3	1	53	1	1	3	0.0562	0.0634	1	1	0.507	84	82	0
3	1	54	9	2	2	0.0562	0.0634	0	0	1.291	0	0	0
3	1	55	1	2	2	0.0562	0.0634	1	0	0.939	0	0	82
3	1	56	1	2	3	0.0562	0.0634	1	1	0.517	83	0	82
3	1	57	1	2	3	0.0562	0.0634	0	1	0.524	83	82	82
3	1	58	0	2	3	0.0562	0.0634	0	1	0.544	8	0	0
3	1	59	1	2	2	0.0562	0.0634	0	1	0.399	95	82	82
3	1	60	0	2	3	0.0562	0.0634	0	1	0.372	10	0	0
3	1	61	0	2	2	0.0562	0.0634	1	1	0.550	8	82	0
3	1	62	9	1	3	0.0562	0.0634	0	1	0.774	0	0	0
3	1	63	1	2	3	0.0562	0.0634	0	1	0.450	90	82	82
3	1	64	1	1	3	0.0562	0.0634	0	1	0.715	64	82	82
3	1	65	1	1	3	0.0562	0.0634	1	1	0.593	76	82	0
3	1	66	0	2	1	0.0562	0.0634	1	0	0.657	0	82	0
3	1	67	9	1	1	0.0562	0.0634	1	1	0.634	0	82	0
3	1	68	1	2	1	0.0562	0.0634	0	1	0.499	85	82	82
3	1	69	1	1	3	0.0562	0.0634	1	1	0.536	81	82	0
3	1	70	0	2	2	0.0562	0.0634	0	1	0.519	8	0	0
3	1	71	9	1	3	0.0562	0.0634	1	1	0.495	0	82	0
3	1	72	0	2	2	0.0562	0.0634	0	1	0.526	8	0	0
3	1	73	1	1	1	0.0562	0.0634	1	1	0.815	53	82	0
3	1	74	1	1	1	0.0562	0.0634	0	1	0.543	81	82	82
3	1	75	0	2	3	0.0562	0.0634	0	1	0.674	7	0	0
3	1	76	0	1	1	0.0562	0.0634	1	1	0.550	8	0	82
3	1	77	0	1	3	0.0562	0.0634	0	1	0.490	9	0	0
3	1	78	1	1	3	0.0562	0.0634	1	1	0.635	72	82	0
3	1	79	1	2	3	0.0562	0.0634	1	1	0.715	63	0	82
3	1	80	1	2	2	0.0562	0.0634	0	1	0.458	89	82	82
3	1	81	0	2	2	0.0562	0.0634	1	1	0.611	7	82	0
3	1	82	1	2	2	0.0562	0.0634	0	1	0.439	91	82	82
3	1	83	1	2	1	0.0562	0.0634	0	1	0.615	74	82	82
3	1	84	1	1	3	0.0562	0.0634	1	1	0.542	81	82	0
3	1	85	1	1	2	0.0562	0.0634	1	1	0.527	82	82	0
3	1	86	1	1	1	0.0562	0.0634	0	0	0.599	0	82	82
3	1	87	9	2	3	0.0562	0.0634	1	1	0.484	0	0	82
3	1	88	1	2	2	0.0562	0.0634	0	1	0.457	89	82	82
3	1	89	0	1	1	0.0562	0.0634	0	0	0.903	0	0	0
3	1	90	1	2	2	0.0562	0.0634	1	1	0.522	83	0	82
3	1	91	1	1	1	0.0562	0.0634	1	1	0.576	77	82	0
3	1	92	1	1	1	0.0562	0.0634	0	1	0.702	65	82	82
3	1	93	0	2	3	0.0562	0.0634	1	0	0.780	0	82	0
3	1	94	1	1	3	0.0562	0.0634	1	1	0.825	52	82	0
3	1	95	9	2	3	0.0562	0.0634	1	1	0.873	0	82	0
3	1	96	1	2	3	0.0562	0.0634	0	1	0.582	77	82	82
3	1	97	0	1	3	0.0562	0.0634	0	1	0.680	7	0	0
3	1	98	9	2	3	0.0562	0.0634	0	1	0.603	0	0	0
3	1	99	9	1	2	0.0562	0.0634	0	1	0.654	0	0	0
3	1	100	1	2	2	0.0562	0.0634	1	1	0.732	62	0	82
3	1	101	0	1	1	0.0562	0.0634	1	1	0.591	8	0	82
3	1	102	1	2	2	0.0562	0.0634	1	1	0.667	68	0	82
3	1	103	1	2	1	0.0562	0.0634	0	1	0.456	89	82	82
3	1	104	0	1	3	0.0562	0.0634	0	1	1.001	5	0	0
3	1	105	9	2	2	0.0562	0.0634	1	1	0.504	0	82	0
3	1	106	1	1	2	0.0562	0.0634	0	1	0.734	62	82	82
3	1	107	0	1	1	0.0562	0.0634	1	1	0.756	6	0	82
3	1	108	9	1	3	0.0562	0.0634	0	1	0.837	0	82	82
3	1	109	1	2	3	0.0562	0.0634	0	1	0.731	62	82	82
3	1	110	1	1	2	0.0562	0.0634	1	1	0.731	62	82	0
3	1	111	9	1	1	0.0562	0.0634	1	1	1.141	0	0	82
3	1	112	1	1	1	0.0562	0.0634	1	1	0.715	64	82	0
3	1	113	0	1	2	0.0562	0.0634	1	1	0.694	7	0	82
3	1	114	1	1	1	0.0562	0.0634	0	1	0.789	56	82	82
3	1	115	0	2	2	0.0562	0.0634	0	1	0.705	6	0	0
3	1	116	0	1	1	0.0562	0.0634	1	1	0.568	8	0	82
3	1	117	1	2	2	0.0562	0.0634	0	1	0.800	55	82	82
3	1	118	9	2	2	0.0562	0.0634	0	1	0.506	0	82	82
3	1	119	9	2	3	0.0562	0.0634	1	0	0.839	0	0	82
3	1	120	1	1	1	0.0562	0.0634	1	1	0.611	74	82	0
3	1	121	1	2	3	0.0562	0.0634	0	1	0.562	79	82	82
3	1	122	0	2	1	0.0562	0.0634	1	1	0.480	9	82	0
3	1	123	9	2	3	0.0562	0.0634	0	1	0.529	0	82	82
3	1	124	1	2	2	0.0562	0.0634	0	1	0.493	86	82	82
3	1	125	0	1	3	0.0562	0.0634	0	1	0.603	7	0	0
3	1	126	0	2	3	0.0562	0.0634	0	1	0.552	8	0	0
3	1	127	9	1	3	0.0562	0.0634	1	1	0.604	0	0	82
3	1	128	1	1	1	0.0562	0.0634	1	1	0.497	85	82	0
3	1	129	9	1	1	0.0562	0.0634	0	1	0.553	0	0	0
3	1	130	1	1	1	0.0562	0.0634	1	0	0.589	0	82	0
3	1	131	0	2	3	0.0562	0.0634	0	1	0.530	8	0	0
3	1	132	0	2	2	0.0562	0.0634	0	1	0.446	9	0	0
3	1	133	9	2	3	0.0562	0.0634	0	1	0.427	0	0	0
3	1	134	1	2	3	0.0562	0.0634	0	1	0.480	87	82	82
3	1	135	1	1	3	0.0562	0.0634	0	0	0.706	0	82	82
3	1	136	1	1	1	0.0562	0.0634	0	0	0.785	0	82	82
3	1	137	0	2	3	0.0562	0.0634	0	1	0.530	8	0	0
3	1	138	0	1	1	0.0562	0.0634	0	0	0.850	0	0	0
3	1	139	1	1	1	0.0562	0.0634	1	1	0.715	64	82	0
3	1	140	0	2	3	0.0562	0.0634	0	0	0.641	0	0	0
3	1	141	0	2	2	0.0562	0.0634	0	1	0.558	8	0	0
3	1	142	1	2	2	0.0562	0.0634	0	1	0.422	93	82	82
3	1	143	9	2	3	0.0562	0.0634	0	1	0.407	0	82	82
3	1	144	1	2	3	0.0562	0.0634	1	1	0.485	86	0	82
3	1	145	0	1	1	0.0562	0.0634	0	1	0.877	5	0	0
