sub	sess	t	loc	co1	co2	or	resp	rt
3	1	1	2	1.0000	1.0000	1	0	1.564
3	1	2	2	1.0000	1.0000	1	0	5.168
3	1	3	2	1.0000	1.0000	1	1	2.391
3	1	4	2	1.0000	1.0000	1	1	0.933
3	1	5	1	1.0000	1.0000	0	1	1.216
3	1	6	1	1.0000	1.0000	1	1	1.357
3	1	7	1	1.0000	1.0000	0	1	1.218
3	1	8	2	1.0000	1.0000	1	1	0.843
3	1	9	2	1.0000	1.0000	0	1	1.021
3	1	10	1	1.0000	1.0000	0	1	0.861
3	1	11	1	1.0000	1.0000	1	1	0.777
3	1	12	1	1.0000	1.0000	1	1	0.938
3	1	13	1	1.0000	1.0000	0	1	0.834
3	1	14	1	1.0000	1.0000	0	1	0.645
3	1	15	1	1.0000	1.0000	1	1	0.599
3	1	16	1	1.0000	1.0000	1	1	0.709
3	1	17	1	1.0000	1.0000	1	1	0.628
3	1	18	2	1.0000	1.0000	0	1	0.952
3	1	19	2	1.0000	1.0000	0	1	0.668
3	1	20	2	1.0000	1.0000	0	1	0.690
3	1	21	1	1.0000	1.0000	0	1	1.215
3	1	22	2	1.0000	1.0000	1	1	1.030
3	1	23	1	1.0000	1.0000	1	1	1.099
3	1	24	2	1.0000	1.0000	0	0	1.535
3	1	25	1	1.0000	1.0000	1	1	1.234
3	1	26	2	1.0000	1.0000	1	1	0.764
3	1	27	2	1.0000	1.0000	0	1	1.175
3	1	28	1	1.0000	1.0000	0	1	1.987
3	1	29	1	0.2500	0.2500	1	1	0.606
3	1	30	2	0.2629	0.2629	0	0	2.057
3	1	31	2	0.2758	0.2758	0	1	1.064
3	1	32	2	0.2887	0.2887	0	1	2.002
3	1	33	1	0.3016	0.3016	0	1	1.029
3	1	34	2	0.3145	0.3145	1	1	0.764
3	1	35	2	0.3274	0.3274	0	1	0.988
3	1	36	1	0.3403	0.3403	1	1	1.490
3	1	37	2	0.3532	0.3532	0	1	0.794
3	1	38	2	0.3661	0.3661	0	1	0.644
3	1	39	1	0.3790	0.3790	0	1	0.853
3	1	40	1	0.3919	0.3919	1	1	1.438
3	1	41	2	0.4048	0.4048	0	1	0.715
3	1	42	1	0.4177	0.4177	1	1	0.696
3	1	43	1	0.4306	0.4306	1	1	0.752
3	1	44	1	0.4435	0.4435	0	1	0.778
3	1	45	1	0.4565	0.4565	0	1	0.709
3	1	46	2	0.4694	0.4694	1	1	0.794
3	1	47	2	0.4823	0.4823	1	1	0.641
3	1	48	2	0.4952	0.4952	0	0	0.640
3	1	49	2	0.5081	0.5081	1	1	0.731
3	1	50	1	0.5210	0.5210	1	1	1.048
3	1	51	2	0.5339	0.5339	1	1	0.640
3	1	52	1	0.5468	0.5468	1	1	1.709
3	1	53	2	0.5597	0.5597	1	1	0.605
3	1	54	1	0.5726	0.5726	0	1	0.877
3	1	55	1	0.5855	0.5855	1	1	0.635
3	1	56	2	0.5984	0.5984	1	1	0.632
3	1	57	2	0.6113	0.6113	1	1	0.481
3	1	58	1	0.6242	0.6242	1	1	0.616
3	1	59	1	0.6371	0.6371	0	1	0.801
3	1	60	2	0.6500	0.6500	1	1	0.587
3	1	61	2	0.2500	0.2500	0	1	0.876
3	1	62	1	0.2629	0.2629	0	1	0.785
3	1	63	1	0.2758	0.2758	0	1	0.715
3	1	64	2	0.2887	0.2887	0	1	1.117
3	1	65	1	0.3016	0.3016	1	1	0.931
3	1	66	2	0.3145	0.3145	0	1	0.895
3	1	67	2	0.3274	0.3274	1	1	0.603
3	1	68	2	0.3403	0.3403	1	1	0.577
3	1	69	1	0.3532	0.3532	1	1	0.953
3	1	70	2	0.3661	0.3661	1	1	0.593
3	1	71	1	0.3790	0.3790	1	1	0.705
3	1	72	1	0.3919	0.3919	0	1	0.629
3	1	73	2	0.4048	0.4048	0	1	0.659
3	1	74	2	0.4177	0.4177	1	1	0.683
3	1	75	2	0.4306	0.4306	0	1	0.542
3	1	76	1	0.4435	0.4435	0	1	0.872
3	1	77	2	0.4565	0.4565	1	1	0.622
3	1	78	1	0.4694	0.4694	0	1	0.714
3	1	79	1	0.4823	0.4823	1	1	0.593
3	1	80	1	0.4952	0.4952	0	1	0.614
3	1	81	2	0.5081	0.5081	0	1	0.690
3	1	82	1	0.5210	0.5210	0	1	0.657
3	1	83	2	0.5339	0.5339	1	1	0.801
3	1	84	1	0.5468	0.5468	0	1	0.709
3	1	85	1	0.5597	0.5597	1	1	0.634
3	1	86	1	0.5726	0.5726	0	1	0.646
3	1	87	2	0.5855	0.5855	1	1	0.553
3	1	88	1	0.5984	0.5984	1	1	0.765
3	1	89	1	0.6113	0.6113	1	1	0.574
3	1	90	1	0.6242	0.6242	0	1	0.579
3	1	91	2	0.6371	0.6371	0	1	0.711
3	1	92	2	0.6500	0.6500	0	1	0.491
3	1	93	2	0.6242	0.2819	1	1	0.736
3	1	94	2	0.6242	0.2690	1	1	0.530
3	1	95	2	0.6242	0.2554	1	1	0.424
3	1	96	1	0.1789	0.2554	1	1	0.919
3	1	97	2	0.1789	0.2413	0	1	0.638
3	1	98	2	0.1789	0.2274	1	1	0.632
3	1	99	1	0.1676	0.2274	0	1	0.974
3	1	100	2	0.1676	0.2144	0	1	0.934
3	1	101	2	0.1676	0.2024	0	1	0.561
3	1	102	1	0.1560	0.2024	1	1	0.765
3	1	103	1	0.1442	0.2024	0	1	1.394
3	1	104	1	0.1322	0.2024	1	1	0.643
3	1	105	1	0.1200	0.2024	0	1	0.723
3	1	106	1	0.1078	0.2024	0	1	0.693
3	1	107	1	0.0957	0.2024	0	0	0.943
3	1	108	1	0.1320	0.2024	0	0	0.793
3	1	109	2	0.1320	0.1915	0	1	0.708
3	1	110	1	0.1607	0.1915	1	1	0.600
3	1	111	1	0.1523	0.1915	1	1	0.540
3	1	112	1	0.1440	0.1915	1	1	0.523
3	1	113	1	0.1359	0.1915	1	1	0.525
3	1	114	1	0.1280	0.1915	1	1	0.552
3	1	115	1	0.1203	0.1915	0	1	0.688
3	1	116	1	0.1128	0.1915	0	1	0.628
3	1	117	2	0.1128	0.1816	0	1	0.560
3	1	118	1	0.1056	0.1816	1	1	0.995
3	1	119	2	0.1056	0.1725	0	1	0.646
3	1	120	1	0.0985	0.1725	1	1	0.803
3	1	121	1	0.0917	0.1725	1	1	0.941
3	1	122	2	0.0917	0.1641	1	0	0.695
3	1	123	2	0.0917	0.1882	0	1	1.163
3	1	124	2	0.0917	0.1799	0	1	0.613
3	1	125	1	0.0852	0.1799	0	1	1.259
3	1	126	1	0.0788	0.1799	1	1	2.399
3	1	127	2	0.0788	0.1724	0	1	0.601
3	1	128	1	0.0727	0.1724	0	1	1.407
3	1	129	2	0.0727	0.1654	1	1	0.652
3	1	130	1	0.0667	0.1654	0	1	0.819
3	1	131	1	0.0610	0.1654	0	1	0.768
3	1	132	2	0.0610	0.1588	0	1	1.190
3	1	133	2	0.0610	0.1526	1	1	0.643
3	1	134	1	0.0555	0.1526	0	0	0.739
3	1	135	2	0.0555	0.1468	1	1	0.794
3	1	136	2	0.0555	0.1411	0	1	0.627
3	1	137	2	0.0555	0.1357	1	1	0.496
3	1	138	2	0.0555	0.1304	0	1	0.913
3	1	139	2	0.0555	0.1254	1	1	0.664
3	1	140	2	0.0555	0.1203	0	1	0.870
3	1	141	2	0.0555	0.1155	1	1	0.676
3	1	142	1	0.0723	0.1155	1	0	1.136
3	1	143	1	0.0881	0.1155	1	1	1.402
3	1	144	2	0.0881	0.1106	1	1	0.740
3	1	145	2	0.0881	0.1059	1	1	0.587
3	1	146	1	0.0828	0.1059	0	1	0.824
3	1	147	1	0.0777	0.1059	1	1	1.056
3	1	148	2	0.0777	0.1011	1	1	0.759
3	1	149	1	0.0728	0.1011	0	1	0.747
3	1	150	2	0.0728	0.0964	1	1	1.182
3	1	151	2	0.0728	0.0917	1	1	0.725
3	1	152	2	0.0728	0.0869	0	1	1.266
3	1	153	2	0.0728	0.0821	0	1	0.673
3	1	154	1	0.0680	0.0821	0	1	0.899
3	1	155	2	0.0680	0.0773	0	1	1.188
3	1	156	1	0.0635	0.0773	1	1	0.790
