sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
38	1	2	1	1	-1	0.3703	0.2372	1	1	0.861
38	1	4	1	1	-1	0.3703	0.2372	0	1	0.770
38	1	6	1	1	-1	0.3703	0.2372	0	1	0.644
38	1	8	1	2	-1	0.3703	0.2372	0	0	0.947
38	1	10	1	1	-1	0.3703	0.2372	1	1	0.678
38	1	12	1	2	-1	0.3703	0.2372	0	1	0.678
38	1	14	1	1	-1	0.3703	0.2372	1	1	0.525
38	1	16	1	2	-1	0.3703	0.2372	0	1	0.484
38	1	18	1	1	-1	0.3703	0.2372	1	1	0.402
38	1	20	1	1	-1	0.3703	0.2372	1	1	0.570
38	1	22	1	1	-1	0.3703	0.2372	0	1	0.733
38	1	24	1	1	-1	0.3703	0.2372	0	1	0.665
38	1	26	1	1	-1	0.3703	0.2372	1	1	0.526
38	1	28	1	2	-1	0.3703	0.2372	1	1	0.643
38	1	30	1	1	-1	0.3703	0.2372	1	1	0.578
38	1	32	1	1	-1	0.3703	0.2372	0	1	0.500
38	1	34	1	1	-1	0.3703	0.2372	0	1	0.536
38	1	36	1	2	-1	0.3703	0.2372	1	1	0.500
38	1	38	1	2	-1	0.3703	0.2372	1	1	0.465
38	1	40	1	2	-1	0.3703	0.2372	1	1	0.472
38	1	42	1	2	-1	0.3703	0.2372	1	1	0.461
38	1	44	1	1	-1	0.3703	0.2372	1	1	0.515
38	1	46	1	2	-1	0.3703	0.2372	0	1	0.615
38	1	48	1	2	-1	0.3703	0.2372	1	1	0.536
38	1	50	1	2	-1	0.3703	0.2372	1	1	0.405
38	1	52	1	2	-1	0.3703	0.2372	0	1	0.454
38	1	54	1	2	-1	0.3703	0.2372	1	1	0.414
38	1	56	1	1	-1	0.3703	0.2372	0	1	0.439
38	1	58	1	2	-1	0.3703	0.2372	0	1	0.569
38	1	60	1	2	-1	0.3703	0.2372	0	0	0.459
38	1	62	1	2	-1	0.3703	0.2372	0	1	0.490
38	1	64	1	1	-1	0.3703	0.2372	0	1	0.481
38	1	66	0	1	-1	0.3703	0.2372	0	1	0.533
38	1	68	0	2	-1	0.3703	0.2372	0	1	0.481
38	1	70	0	2	-1	0.3703	0.2372	0	1	0.585
38	1	72	0	2	-1	0.3703	0.2372	1	1	0.570
38	1	74	0	1	-1	0.3703	0.2372	0	1	0.445
38	1	76	0	1	-1	0.3703	0.2372	1	1	0.565
38	1	78	0	1	-1	0.3703	0.2372	0	1	0.463
38	1	80	0	2	-1	0.3703	0.2372	0	1	0.750
38	1	82	0	1	-1	0.3703	0.2372	1	0	0.626
38	1	84	0	2	-1	0.3703	0.2372	0	1	0.665
38	1	86	0	1	-1	0.3703	0.2372	1	1	0.377
38	1	88	0	2	-1	0.3703	0.2372	0	1	0.659
38	1	90	0	1	-1	0.3703	0.2372	0	1	0.689
38	1	92	0	2	-1	0.3703	0.2372	1	1	0.535
38	1	94	0	2	-1	0.3703	0.2372	1	1	0.705
38	1	96	0	2	-1	0.3703	0.2372	1	1	0.768
38	1	98	0	1	-1	0.3703	0.2372	0	1	0.466
38	1	100	0	1	-1	0.3703	0.2372	1	1	0.586
38	1	102	0	2	-1	0.3703	0.2372	1	1	0.772
38	1	104	0	1	-1	0.3703	0.2372	1	1	0.876
38	1	106	0	1	-1	0.3703	0.2372	0	1	0.626
38	1	108	0	1	-1	0.3703	0.2372	0	1	0.601
38	1	110	0	2	-1	0.3703	0.2372	0	1	0.987
38	1	112	0	2	-1	0.3703	0.2372	1	1	0.767
38	1	114	0	2	-1	0.3703	0.2372	1	1	0.546
38	1	116	0	2	-1	0.3703	0.2372	0	1	0.613
38	1	118	0	2	-1	0.3703	0.2372	1	1	0.597
38	1	120	0	1	-1	0.3703	0.2372	1	1	0.790
38	1	122	0	1	-1	0.3703	0.2372	1	1	0.762
38	1	124	0	2	-1	0.3703	0.2372	0	1	0.699
38	1	126	0	1	-1	0.3703	0.2372	0	1	0.825
38	1	128	0	1	-1	0.3703	0.2372	1	1	0.769
