sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
119	1	2	0	2	-1	0.0877	0.0500	1	0	1.150
119	1	4	0	2	-1	0.0877	0.0500	0	1	0.640
119	1	6	0	1	-1	0.0877	0.0500	0	1	0.888
119	1	8	0	2	-1	0.0877	0.0500	1	1	0.572
119	1	10	0	1	-1	0.0877	0.0500	1	1	0.604
119	1	12	0	1	-1	0.0877	0.0500	0	1	0.032
119	1	14	0	1	-1	0.0877	0.0500	0	1	0.711
119	1	16	0	2	-1	0.0877	0.0500	1	1	0.469
119	1	18	0	1	-1	0.0877	0.0500	0	1	0.599
119	1	20	0	1	-1	0.0877	0.0500	1	1	0.208
119	1	22	0	2	-1	0.0877	0.0500	0	1	0.626
119	1	24	0	2	-1	0.0877	0.0500	0	1	0.983
119	1	26	0	2	-1	0.0877	0.0500	1	1	0.627
119	1	28	0	2	-1	0.0877	0.0500	0	1	0.514
119	1	30	0	1	-1	0.0877	0.0500	0	1	0.438
119	1	32	0	2	-1	0.0877	0.0500	1	1	0.683
119	1	34	0	1	-1	0.0877	0.0500	1	1	0.545
119	1	36	0	2	-1	0.0877	0.0500	1	1	0.637
119	1	38	0	2	-1	0.0877	0.0500	0	1	0.487
119	1	40	0	2	-1	0.0877	0.0500	1	1	0.620
119	1	42	0	1	-1	0.0877	0.0500	1	1	0.530
119	1	44	0	2	-1	0.0877	0.0500	0	1	0.502
119	1	46	0	1	-1	0.0877	0.0500	0	1	0.482
119	1	48	0	1	-1	0.0877	0.0500	1	1	0.470
119	1	50	0	1	-1	0.0877	0.0500	1	1	0.731
119	1	52	0	2	-1	0.0877	0.0500	0	1	0.574
119	1	54	0	1	-1	0.0877	0.0500	1	1	0.513
119	1	56	0	1	-1	0.0877	0.0500	1	1	0.452
119	1	58	0	2	-1	0.0877	0.0500	1	1	0.622
119	1	60	0	1	-1	0.0877	0.0500	0	1	0.421
119	1	62	0	1	-1	0.0877	0.0500	0	1	0.433
119	1	64	0	2	-1	0.0877	0.0500	0	1	0.469
119	1	66	1	1	-1	0.0877	0.0500	0	1	0.480
119	1	68	1	1	-1	0.0877	0.0500	1	1	0.400
119	1	70	1	1	-1	0.0877	0.0500	0	1	0.399
119	1	72	1	1	-1	0.0877	0.0500	1	1	0.423
119	1	74	1	2	-1	0.0877	0.0500	0	1	0.423
119	1	76	1	2	-1	0.0877	0.0500	1	1	0.420
119	1	78	1	1	-1	0.0877	0.0500	1	1	0.477
119	1	80	1	2	-1	0.0877	0.0500	0	1	0.467
119	1	82	1	1	-1	0.0877	0.0500	1	1	0.377
119	1	84	1	2	-1	0.0877	0.0500	1	1	0.532
119	1	86	1	1	-1	0.0877	0.0500	0	1	0.402
119	1	88	1	2	-1	0.0877	0.0500	0	1	0.405
119	1	90	1	1	-1	0.0877	0.0500	1	1	0.427
119	1	92	1	2	-1	0.0877	0.0500	1	1	0.414
119	1	94	1	2	-1	0.0877	0.0500	1	1	0.363
119	1	96	1	2	-1	0.0877	0.0500	0	1	0.531
119	1	98	1	2	-1	0.0877	0.0500	0	1	0.425
119	1	100	1	1	-1	0.0877	0.0500	0	1	0.390
119	1	102	1	2	-1	0.0877	0.0500	0	1	0.518
119	1	104	1	2	-1	0.0877	0.0500	1	1	0.499
119	1	106	1	2	-1	0.0877	0.0500	1	1	0.445
119	1	108	1	1	-1	0.0877	0.0500	0	1	0.336
119	1	110	1	1	-1	0.0877	0.0500	0	1	0.417
119	1	112	1	1	-1	0.0877	0.0500	0	1	0.364
119	1	114	1	2	-1	0.0877	0.0500	1	1	0.406
119	1	116	1	1	-1	0.0877	0.0500	1	1	0.443
119	1	118	1	1	-1	0.0877	0.0500	1	1	0.418
119	1	120	1	2	-1	0.0877	0.0500	0	1	0.441
119	1	122	1	2	-1	0.0877	0.0500	0	1	0.663
119	1	124	1	1	-1	0.0877	0.0500	0	1	0.378
119	1	126	1	2	-1	0.0877	0.0500	1	1	0.389
119	1	128	1	1	-1	0.0877	0.0500	1	1	0.382
