sub	sess	t	loc	co1	co2	or	resp	rt
107	1	1	1	1.0000	1.0000	1	0	18.284
107	1	2	1	1.0000	1.0000	0	0	0.791
107	1	3	2	1.0000	1.0000	1	0	0.675
107	1	4	2	1.0000	1.0000	1	1	1.124
107	1	5	2	1.0000	1.0000	0	1	0.939
107	1	6	1	1.0000	1.0000	0	0	1.324
107	1	7	1	1.0000	1.0000	0	1	0.965
107	1	8	2	1.0000	1.0000	0	1	0.922
107	1	9	1	1.0000	1.0000	1	1	0.794
107	1	10	1	1.0000	1.0000	1	1	0.653
107	1	11	2	1.0000	1.0000	1	1	1.040
107	1	12	1	1.0000	1.0000	0	1	0.528
107	1	13	2	1.0000	1.0000	1	1	0.569
107	1	14	1	1.0000	1.0000	1	1	0.693
107	1	15	2	1.0000	1.0000	0	1	0.834
107	1	16	2	1.0000	1.0000	1	1	1.595
107	1	17	2	1.0000	1.0000	1	1	0.626
107	1	18	1	1.0000	1.0000	0	1	0.707
107	1	19	1	1.0000	1.0000	1	1	0.634
107	1	20	2	1.0000	1.0000	0	1	0.650
107	1	21	2	1.0000	1.0000	0	1	0.737
107	1	22	1	1.0000	1.0000	1	1	1.763
107	1	23	2	1.0000	1.0000	1	0	1.382
107	1	24	2	1.0000	1.0000	1	1	0.911
107	1	25	2	1.0000	1.0000	0	1	0.612
107	1	26	2	1.0000	1.0000	0	1	0.527
107	1	27	1	1.0000	1.0000	1	1	0.592
107	1	28	1	1.0000	1.0000	0	0	0.695
107	1	29	1	1.0000	1.0000	0	1	0.675
107	1	30	1	0.2500	0.2500	1	1	0.616
107	1	31	2	0.2629	0.2629	1	1	0.787
107	1	32	1	0.2758	0.2758	0	1	0.703
107	1	33	2	0.2887	0.2887	1	1	0.572
107	1	34	1	0.3016	0.3016	0	1	0.667
107	1	35	1	0.3145	0.3145	0	1	1.800
107	1	36	1	0.3274	0.3274	1	1	0.658
107	1	37	1	0.3403	0.3403	1	1	0.647
107	1	38	2	0.3532	0.3532	0	1	0.730
107	1	39	2	0.3661	0.3661	0	1	0.662
107	1	40	2	0.3790	0.3790	0	0	1.403
107	1	41	1	0.3919	0.3919	1	1	0.566
107	1	42	2	0.4048	0.4048	1	1	1.340
107	1	43	1	0.4177	0.4177	1	1	0.629
107	1	44	1	0.4306	0.4306	1	1	0.748
107	1	45	2	0.4435	0.4435	1	1	0.941
107	1	46	1	0.4565	0.4565	0	1	0.654
107	1	47	1	0.4694	0.4694	1	1	0.958
107	1	48	2	0.4823	0.4823	1	1	1.149
107	1	49	1	0.4952	0.4952	0	0	0.613
107	1	50	1	0.5081	0.5081	0	1	0.861
107	1	51	2	0.5210	0.5210	1	1	1.173
107	1	52	2	0.5339	0.5339	0	1	0.560
107	1	53	1	0.5468	0.5468	0	1	0.879
107	1	54	1	0.5597	0.5597	0	1	0.596
107	1	55	2	0.5726	0.5726	0	1	0.667
107	1	56	2	0.5855	0.5855	0	1	0.653
107	1	57	2	0.5984	0.5984	1	1	0.613
107	1	58	1	0.6113	0.6113	0	1	0.776
107	1	59	1	0.6242	0.6242	1	1	0.922
107	1	60	2	0.6371	0.6371	0	1	0.706
107	1	61	1	0.6500	0.6500	0	1	0.886
107	1	62	2	0.2500	0.2500	1	1	1.047
107	1	63	1	0.2629	0.2629	0	1	0.821
107	1	64	2	0.2758	0.2758	1	1	0.799
107	1	65	2	0.2887	0.2887	0	1	0.741
107	1	66	2	0.3016	0.3016	0	1	0.671
107	1	67	1	0.3145	0.3145	1	1	1.238
107	1	68	2	0.3274	0.3274	0	1	0.670
107	1	69	1	0.3403	0.3403	1	1	0.711
107	1	70	2	0.3532	0.3532	1	1	0.681
107	1	71	1	0.3661	0.3661	0	1	0.660
107	1	72	1	0.3790	0.3790	0	1	0.695
107	1	73	2	0.3919	0.3919	1	1	0.729
107	1	74	1	0.4048	0.4048	1	1	0.714
107	1	75	1	0.4177	0.4177	1	1	0.559
107	1	76	2	0.4306	0.4306	0	1	0.544
107	1	77	2	0.4435	0.4435	0	1	1.016
107	1	78	2	0.4565	0.4565	1	1	0.728
107	1	79	1	0.4694	0.4694	1	1	0.643
107	1	80	1	0.4823	0.4823	0	1	0.580
107	1	81	2	0.4952	0.4952	0	1	0.712
107	1	82	2	0.5081	0.5081	0	1	0.947
107	1	83	2	0.5210	0.5210	1	1	0.573
107	1	84	2	0.5339	0.5339	1	1	0.813
107	1	85	1	0.5468	0.5468	1	1	0.883
107	1	86	2	0.5597	0.5597	1	0	1.118
107	1	87	2	0.5726	0.5726	0	1	0.673
107	1	88	1	0.5855	0.5855	1	1	0.676
107	1	89	1	0.5984	0.5984	0	1	0.633
107	1	90	1	0.6113	0.6113	0	1	0.642
107	1	91	2	0.6242	0.6242	0	1	0.918
107	1	92	2	0.6371	0.6371	1	1	0.606
107	1	93	1	0.6500	0.6500	1	0	0.985
107	1	94	1	0.2176	0.6371	1	1	0.792
107	1	95	1	0.1950	0.6371	0	1	0.856
107	1	96	1	0.1752	0.6371	0	1	1.432
107	1	97	1	0.1578	0.6371	0	1	0.772
107	1	98	1	0.1421	0.6371	0	1	1.836
107	1	99	1	0.1276	0.6371	0	0	5.220
107	1	100	2	0.1276	0.3076	0	1	1.675
107	1	101	2	0.1276	0.2926	0	0	1.804
107	1	102	2	0.1276	0.3347	1	0	0.951
107	1	103	2	0.1276	0.3638	1	1	0.777
107	1	104	2	0.1276	0.3559	1	1	0.663
107	1	105	2	0.1276	0.3479	1	1	0.718
107	1	106	2	0.1276	0.3397	1	0	1.926
107	1	107	1	0.1703	0.3397	1	0	1.315
107	1	108	1	0.2145	0.3397	0	0	2.619
107	1	109	2	0.2145	0.3637	1	1	0.855
107	1	110	1	0.2623	0.3637	1	1	2.727
107	1	111	2	0.2623	0.3570	1	1	0.737
107	1	112	1	0.2467	0.3570	1	1	1.133
107	1	113	2	0.2467	0.3502	1	1	0.665
107	1	114	2	0.2467	0.3434	0	1	0.558
107	1	115	2	0.2467	0.3364	1	1	0.529
107	1	116	2	0.2467	0.3294	0	1	0.636
